Rank,RegionRank,Team,Record,WinPct,Rating,Region,Conference,Division,SoS,PDC
1,NE 1,Brown,38-2,0.95,2209.79,New England,Greater New England DI,D-I,1825.83,383.96
2,AC 1,North Carolina,43-3,0.9347826086956522,2179.26,Atlantic Coast,Carolina DI,D-I,1754.07,425.19
3,SC 1,Colorado,30-2,0.9375,2144.95,South Central,Rocky Mountain DI,D-I,1762.65,382.3
4,NW 1,Brigham Young,22-1,0.9565217391304348,2039.12,Northwest,Big Sky DI,D-I,1557.26,481.86
5,OV 1,Pittsburgh,25-9,0.7352941176470589,1999.22,Ohio Valley,West Penn DI,D-I,1788.3,210.93
6,SW 1,Cal Poly-SLO,31-7,0.8157894736842105,1985.66,Southwest,SoCal DI,D-I,1703.02,282.64
7,NE 2,Massachusetts,21-4,0.84,1936.21,New England,Greater New England DI,D-I,1722.18,214.03
8,SE 1,Georgia,25-10,0.7142857142857143,1930.07,Southeast,Southern Appalachian DI,D-I,1733.74,196.33
9,NE 3,Vermont,25-10,0.7142857142857143,1901.02,New England,Greater New England DI,D-I,1785.04,115.98
10,SW 2,California,33-12,0.7333333333333333,1849.7,Southwest,NorCal DI,D-I,1680.78,168.92
11,NW 2,Washington,19-4,0.8260869565217391,1847.95,Northwest,Cascadia DI,D-I,1634.79,213.16
12,NE 4,Northeastern,25-8,0.7575757575757576,1839.64,New England,Metro Boston DI,D-I,1648.75,190.89
13,NC 1,Minnesota,22-12,0.6470588235294118,1834.48,North Central,Northwoods DI,D-I,1783,51.48
14,AC 2,North Carolina State,27-17,0.6136363636363636,1827.64,Atlantic Coast,Carolina DI,D-I,1691.28,136.35
15,NW 3,Utah State,15-3,0.8333333333333334,1823.82,Northwest,Big Sky DI,D-I,1602.97,220.85
16,GL 1,Michigan,21-9,0.7,1807.83,Great Lakes,Michigan DI,D-I,1667.52,140.31
17,SC 2,Texas,22-13,0.6285714285714286,1769.66,South Central,South Texas DI,D-I,1706.75,62.91
18,NE 5,Tufts,17-7,0.7083333333333334,1715.78,New England,Metro Boston DI,D-I,1643.17,72.61
19,NW 4,Oregon,17-10,0.6296296296296297,1709,Northwest,Cascadia DI,D-I,1521.73,187.28
20,NA,McGill,11-8,0.5789473684210527,1686.18,New England,,D-I,1611.47,74.71
21,NA,Wisconsin,11-8,0.5789473684210527,1679.64,North Central,Lake Superior DI,D-I,1631.13,48.51
22,NA,Carleton College,13-14,0.48148148148148145,1672.93,North Central,,D-I,1720.32,-47.39
23,NA,Duke,13-9,0.5909090909090909,1670.4,Atlantic Coast,Carolina DI,D-I,1620.78,49.61
24,NA,Ohio State,19-17,0.5277777777777778,1662.49,Ohio Valley,Ohio DI,D-I,1714.23,-51.74
25,NA,Maryland,20-11,0.6451612903225806,1657.91,Atlantic Coast,Colonial DI,D-I,1642.52,15.39
26,NA,Auburn,24-12,0.6666666666666666,1617.76,Southeast,Gulf Coast DI,D-I,1506.66,111.1
27,NA,William & Mary,24-13,0.6486486486486487,1615.6,Atlantic Coast,Virginia DI,D-I,1520.98,94.62
28,NA,British Columbia,6-4,0.6,1612.3,Northwest,Cascadia DI,D-I,1640.01,-27.71
29,NA,UCLA,20-15,0.5714285714285714,1597.35,Southwest,SoCal DI,D-I,1540.17,57.19
30,NA,North Carolina-Wilmington,15-16,0.4838709677419355,1594.83,Atlantic Coast,Carolina DI,D-I,1630.08,-35.25
31,NA,Oklahoma Christian,19-4,0.8260869565217391,1591.76,South Central,,D-III,1269.01,322.74
32,NA,Washington University,26-10,0.7222222222222222,1590.18,South Central,,D-I,1440.76,149.42
33,NA,Purdue,17-4,0.8095238095238095,1588.79,Great Lakes,East Plains DI,D-I,1375.39,213.4
34,NA,St. Olaf,19-1,0.95,1535.28,North Central,,D-III,1134.2,401.08
35,NA,Middlebury,23-2,0.92,1530.51,New England,North New England DIII,D-III,1120.92,409.6
36,NA,California-Santa Cruz,27-12,0.6923076923076923,1524.13,Southwest,NorCal DI,D-I,1361.1,163.02
37,NA,Virginia,21-11,0.65625,1514.83,Atlantic Coast,Virginia DI,D-I,1408.32,106.51
38,NA,Oregon State,6-5,0.5454545454545454,1513.79,Northwest,Cascadia DI,D-I,1486.06,27.74
39,NA,Western Washington,16-8,0.6666666666666666,1510.39,Northwest,Northwest DI,D-I,1476.92,33.47
40,NA,Colorado State,11-18,0.3793103448275862,1509.55,South Central,Rocky Mountain DI,D-I,1605.35,-95.79
