OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
161,Mississippi State,Loss 9-10,20.17,Counts,0.087,2023-04-02,Magic City Invite,0,9,10,-125,-1,903.76,546.78,778.76,526.61,778.76,67.75211999999999,Alabama-B,1
202,Spring Hill College,Loss 8-13,-30.14,Counts,0.087,2023-04-02,Magic City Invite,0,8,13,-496.16,-5,746.71,597.09,250.55,627.23,250.55,21.79785,Alabama-B,2
83,Union (Tennessee),Loss 8-13,17.01,Counts,0.087,2023-04-02,Magic City Invite,0,8,13,-496.16,-5,1241.67,549.94,745.51,532.9300000000001,745.51,64.85937,Alabama-B,3
207,Clemson,Loss 7-8,2.57,Counts,0.07730000000000001,2023-04-03,Magic City Invite,0,7,8,-125,-1,722.7,564.38,597.7,561.81,597.7,46.20221000000001,Alabama-B,4
144,Alabama-Birmingham,Loss 6-13,-18.71,Counts,0.087,2023-04-03,Magic City Invite,0,6,13,-600,-7,970.46,585.66,370.46000000000004,604.37,370.46000000000004,32.23002,Alabama-B,5
335,University of Memphis,Win 9-3,12.03,Counts,0.0719,2023-04-03,Magic City Invite,1,9,3,600,6,122.1,554.92,722.1,542.89,722.1,51.91899000000001,Alabama-B,6
294,Tulane-B,Win 13-7,41.27,Counts,0.10339999999999999,2023-04-23,Southeast Dev College Mens CC 2022,1,13,7,557.53,6,367.22,525.68,924.75,484.40999999999997,924.75,95.61914999999999,Alabama-B,7
171,Georgia-B,Loss 6-10,-19.57,Counts,0.0949,2023-04-23,Southeast Dev College Mens CC 2022,0,6,10,-496.16,-4,876.43,586.52,380.2699999999999,606.09,380.2699999999999,36.087622999999994,Alabama-B,8
204,Georgia Tech-B,Loss 6-11,-41.92,Counts,0.0978,2023-04-23,Southeast Dev College Mens CC 2022,0,6,11,-546.69,-5,726.99,608.87,180.29999999999995,650.79,180.29999999999995,17.633339999999997,Alabama-B,9
171,Georgia-B,Loss 9-14,-18.96,Counts,0.10339999999999999,2023-04-24,Southeast Dev College Mens CC 2022,0,9,14,-473.87,-5,876.43,585.91,402.55999999999995,604.87,402.55999999999995,41.624703999999994,Alabama-B,10
294,Tulane-B,Win 15-9,36.42,Counts,0.10339999999999999,2023-04-24,Southeast Dev College Mens CC 2022,1,15,9,515.48,6,367.22,530.53,882.7,494.10999999999996,882.7,91.27118,Alabama-B,11
