OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
51,Penn State,Loss 6-10,-3.1,Counts,0.0232,2023-01-29,Carolina Kickoff 2022,0,6,10,-496.16,-4,1449.51,1086.67,953.3499999999999,1089.77,953.3499999999999,22.117719999999995,Appalachian State,1
2,North Carolina,Loss 2-15,0,Ignored,0,2023-01-29,Carolina Kickoff 2022,0,2,15,-600,-13,2179.26,1083.57,1579.2600000000002,1083.57,0,0,Appalachian State,2
23,Duke,Loss 7-15,-0.34,Counts,0.0253,2023-01-29,Carolina Kickoff 2022,0,7,15,-600,-8,1670.4,1083.91,1070.4,1084.25,1070.4,27.081120000000002,Appalachian State,3
14,North Carolina State,Loss 6-15,0,Ignored,0,2023-01-30,Carolina Kickoff 2022,0,6,15,-600,-9,1827.64,1083.57,1227.64,1083.57,0,0,Appalachian State,4
2,North Carolina,Loss 4-13,0,Ignored,0,2023-02-11,Queen City Tune Up 2022,0,4,13,-600,-9,2179.26,1083.57,1579.2600000000002,1083.57,0,0,Appalachian State,5
25,Maryland,Loss 2-13,-0.75,Counts,0.028399999999999998,2023-02-12,Queen City Tune Up 2022,0,2,13,-600,-11,1657.91,1084.32,1057.91,1085.07,1057.91,30.044644,Appalachian State,6
48,Case Western Reserve,Win 11-9,18.43,Counts,0.028399999999999998,2023-02-12,Queen City Tune Up 2022,1,11,9,249.21,2,1464.33,1065.14,1713.54,1046.71,1713.54,48.664536,Appalachian State,7
60,Notre Dame,Loss 8-13,-5.31,Counts,0.028399999999999998,2023-02-12,Queen City Tune Up 2022,0,8,13,-496.16,-5,1398.11,1088.89,901.9499999999998,1094.2,901.9499999999998,25.615379999999995,Appalachian State,8
51,Penn State,Loss 10-13,1.11,Counts,0.028399999999999998,2023-02-13,Queen City Tune Up 2022,0,10,13,-328.14,-3,1449.51,1082.47,1121.37,1081.3600000000001,1121.37,31.846907999999996,Appalachian State,9
30,North Carolina-Wilmington,Loss 6-10,0.4,Counts,0.026099999999999998,2023-02-13,Queen City Tune Up 2022,0,6,10,-496.16,-4,1594.83,1083.17,1098.6699999999998,1082.77,1098.6699999999998,28.675286999999994,Appalachian State,10
233,Navy-B,Win 12-4,5.47,Counts,0.030600000000000002,2023-02-26,Cutlass Classic 2022,1,12,4,600,8,656.78,1078.1,1256.78,1072.6299999999999,1256.78,38.457468,Appalachian State,11
235,Vermont-B,Win 13-6,5.61,Counts,0.0319,2023-02-26,Cutlass Classic 2022,1,13,6,600,7,653.78,1077.96,1253.78,1072.3500000000001,1253.78,39.995582,Appalachian State,12
266,East Carolina,Win 13-4,0.68,Counts,0.0319,2023-02-26,Cutlass Classic 2022,1,13,4,600,9,504.16,1082.89,1104.16,1082.21,1104.16,35.222704,Appalachian State,13
243,Elon,Win 12-3,4.47,Counts,0.030600000000000002,2023-02-26,Cutlass Classic 2022,1,12,3,600,9,624.96,1079.1,1224.96,1074.6299999999999,1224.96,37.483776000000006,Appalachian State,14
79,Charleston,Loss 10-13,-5.25,Counts,0.0319,2023-02-27,Cutlass Classic 2022,0,10,13,-328.14,-3,1252.6,1088.82,924.4599999999999,1094.07,924.4599999999999,29.490273999999996,Appalachian State,15
90,Carleton College-CHOP,Loss 8-11,-9.82,Counts,0.0379,2023-03-19,College Southerns XX,0,8,11,-365.61,-3,1200.18,1093.39,834.57,1103.21,834.57,31.630203000000005,Appalachian State,16
332,Florida-B,Win 13-3,0,Ignored,0,2023-03-19,College Southerns XX,1,13,3,600,10,131.83,1083.57,731.83,1083.57,0,0,Appalachian State,17
374,Wisconsin-Eau Claire-B,Win 13-1,0,Ignored,0,2023-03-19,College Southerns XX,1,13,1,600,12,481.32,1083.57,1081.32,1083.57,0,0,Appalachian State,18
35,Middlebury,Loss 12-14,8.91,Counts,0.0379,2023-03-20,College Southerns XX,0,12,14,-220.96,-2,1530.51,1074.66,1309.55,1065.75,1309.55,49.631945,Appalachian State,19
90,Carleton College-CHOP,Loss 8-12,-12.8,Counts,0.0379,2023-03-20,College Southerns XX,0,8,12,-441.15,-4,1200.18,1096.37,759.0300000000001,1109.1699999999998,759.0300000000001,28.767237000000005,Appalachian State,20
195,Georgia College,Win 12-11,-7.21,Counts,0.0379,2023-03-20,College Southerns XX,1,12,11,125,1,775.91,1090.78,900.91,1097.99,900.91,34.144489,Appalachian State,21
110,Christopher Newport,Loss 3-14,-23.85,Counts,0.04019999999999999,2023-03-26,Needle in a Ho Stack,0,3,14,-600,-11,1114.15,1107.42,514.1500000000001,1131.27,514.1500000000001,20.66883,Appalachian State,22
218,Samford,Win 12-6,7.82,Counts,0.0391,2023-03-26,Needle in a Ho Stack,1,12,6,579.31,6,696.34,1075.75,1275.65,1067.93,1275.65,49.87791500000001,Appalachian State,23
282,High Point,Win 15-3,0,Ignored,0,2023-03-26,Needle in a Ho Stack,1,15,3,600,12,423.59,1083.57,1023.5899999999999,1083.57,0,0,Appalachian State,24
