OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
283,Stevens Tech,Win 10-4,19.61,Counts,0.0571,2023-02-26,Bring The Huckus 12,1,10,4,600,6,409.26,666.04,1009.26,646.43,1009.26,57.628746,Army,1
290,Stockton University -Upper,Win 8-6,-0.39,Counts,0.056100000000000004,2023-02-26,Bring The Huckus 12,1,8,6,300.49,2,378.52,686.04,679.01,686.43,679.01,38.092461,Army,2
132,Ithaca,Loss 6-10,-10.11,Counts,0.06,2023-02-26,Bring The Huckus 12,0,6,10,-496.16,-4,1023.44,695.76,527.28,705.87,527.28,31.636799999999997,Army,3
183,Wesleyan,Loss 9-10,0.37,Counts,0.0654,2023-02-26,Bring The Huckus 12,0,9,10,-125,-1,815.88,685.28,690.88,684.91,690.88,45.183552,Army,4
247,SUNY-Albany,Win 11-5,33.66,Counts,0.06,2023-02-27,Bring The Huckus 12,1,11,5,600,6,612.9,651.99,1212.9,618.33,1212.9,72.774,Army,5
256,Penn State-B,Win 10-9,1.63,Counts,0.0654,2023-02-27,Bring The Huckus 12,1,10,9,125,1,583.9,684.02,708.9,682.39,708.9,46.36206,Army,6
132,Ithaca,Loss 4-11,-16.74,Counts,0.06,2023-02-27,Bring The Huckus 12,0,4,11,-600,-7,1023.44,702.39,423.44000000000005,719.13,423.44000000000005,25.4064,Army,7
183,Wesleyan,Win 14-11,31.04,Counts,0.0654,2023-02-27,Bring The Huckus 12,1,14,11,313.34,3,815.88,654.61,1129.22,623.57,1129.22,73.850988,Army,8
303,Skidmore College,Win 11-8,-2.52,Counts,0.1038,2023-04-23,Hudson Valley D III College Mens CC 2022,1,11,8,365.61,3,298.24,688.18,663.85,690.6999999999999,663.85,68.90763000000001,Army,9
344,Hartford,Win 12-4,0,Ignored,0,2023-04-23,Hudson Valley D III College Mens CC 2022,1,12,4,600,8,47.12,685.65,647.12,685.65,0,0,Army,10
210,Vassar,Win 10-9,17.94,Counts,0.1038,2023-04-23,Hudson Valley D III College Mens CC 2022,1,10,9,125,1,715.56,667.71,840.56,649.77,840.56,87.250128,Army,11
180,Connecticut College,Loss 7-13,-48.05,Counts,0.1038,2023-04-23,Hudson Valley D III College Mens CC 2022,0,7,13,-557.53,-6,828.33,733.7,270.80000000000007,781.75,270.80000000000007,28.109040000000007,Army,12
183,Wesleyan,Loss 5-15,-54.42,Counts,0.1038,2023-04-24,Hudson Valley D III College Mens CC 2022,0,5,15,-600,-10,815.88,740.07,215.88,794.49,215.88,22.408344,Army,13
300,Union,Win 11-4,25.01,Counts,0.0953,2023-04-24,Hudson Valley D III College Mens CC 2022,1,11,4,600,7,323.19,660.64,923.19,635.63,923.19,87.980007,Army,14
