OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
13,Minnesota,Loss 11-13,-0.24,Counts,0.0192,2023-02-05,Warm Up 2022,0,11,13,-228.84,-2,1834.48,1618,1605.64,1618.24,1605.64,30.828288,Auburn,1
158,South Florida,Win 13-6,-1.97,Counts,0.0192,2023-02-05,Warm Up 2022,1,13,6,600,7,917.32,1619.73,1517.3200000000002,1621.7,1517.3200000000002,29.132544,Auburn,2
5,Pittsburgh,Loss 4-13,-4.28,Counts,0.0192,2023-02-05,Warm Up 2022,0,4,13,-600,-9,1999.22,1622.04,1399.22,1626.32,1399.22,26.865024,Auburn,3
12,Northeastern,Loss 9-13,-3.85,Counts,0.0192,2023-02-05,Warm Up 2022,0,9,13,-418.57,-4,1839.64,1621.61,1421.0700000000002,1625.4599999999998,1421.0700000000002,27.284544,Auburn,4
7,Massachusetts,Loss 5-13,-5.51,Counts,0.0192,2023-02-05,Warm Up 2022,0,5,13,-600,-8,1936.21,1623.27,1336.21,1628.78,1336.21,25.655231999999998,Auburn,5
89,Central Florida,Win 13-7,2.89,Counts,0.0192,2023-02-05,Warm Up 2022,1,13,7,557.53,6,1207.83,1614.87,1765.36,1611.9799999999998,1765.36,33.894912,Auburn,6
7,Massachusetts,Loss 6-13,-5.51,Counts,0.0192,2023-02-05,Warm Up 2022,0,6,13,-600,-7,1936.21,1623.27,1336.21,1628.78,1336.21,25.655231999999998,Auburn,7
47,Florida,Win 14-13,-0.31,Counts,0.0192,2023-02-05,Warm Up 2022,1,14,13,125,1,1476.89,1618.07,1601.89,1618.3799999999999,1601.89,30.756287999999998,Auburn,8
13,Minnesota,Loss 10-15,-4.64,Counts,0.0192,2023-02-05,Warm Up 2022,0,10,15,-453.6,-5,1834.48,1622.4,1380.88,1627.0400000000002,1380.88,26.512896,Auburn,9
46,Cincinnati,Win 15-10,7.43,Counts,0.022799999999999997,2023-02-26,Easterns Qualifiers 2022,1,15,10,453.6,5,1482.34,1610.33,1935.94,1602.8999999999999,1935.94,44.139432,Auburn,10
207,Clemson,Win 15-10,-10.31,Counts,0.022799999999999997,2023-02-26,Easterns Qualifiers 2022,1,15,10,453.6,5,722.7,1628.07,1176.3000000000002,1638.3799999999999,1176.3000000000002,26.81964,Auburn,11
41,North Carolina-Charlotte,Win 14-11,4.77,Counts,0.022799999999999997,2023-02-26,Easterns Qualifiers 2022,1,14,11,313.34,3,1508.52,1613,1821.86,1608.23,1821.86,41.53840799999999,Auburn,12
42,South Carolina,Win 15-12,4.14,Counts,0.022799999999999997,2023-02-27,Easterns Qualifiers 2022,1,15,12,300.49,3,1494.37,1613.63,1794.86,1609.49,1794.86,40.922807999999996,Auburn,13
23,Duke,Loss 8-15,-11.96,Counts,0.022799999999999997,2023-02-27,Easterns Qualifiers 2022,0,8,15,-564.81,-7,1670.4,1629.72,1105.5900000000001,1641.68,1105.5900000000001,25.207452,Auburn,14
27,William & Mary,Win 11-5,12.79,Counts,0.0209,2023-02-27,Easterns Qualifiers 2022,1,11,5,600,6,1615.6,1604.97,2215.6,1592.18,2215.6,46.306039999999996,Auburn,15
161,Mississippi State,Win 11-4,0,Ignored,0,2023-03-12,Tally Classic XVI,1,11,4,600,7,903.76,1617.76,1503.76,1617.76,0,0,Auburn,16
92,Alabama-Huntsville,Win 12-6,4.04,Counts,0.024900000000000002,2023-03-12,Tally Classic XVI,1,12,6,579.31,6,1196.4,1613.72,1775.71,1609.68,1775.71,44.215179000000006,Auburn,17
111,Georgia State,Win 11-7,-1.03,Counts,0.024900000000000002,2023-03-12,Tally Classic XVI,1,11,7,466.89,4,1110.77,1618.79,1577.6599999999999,1619.82,1577.6599999999999,39.283734,Auburn,18
152,Jacksonville State,Win 14-11,-9.21,Counts,0.0256,2023-03-13,Tally Classic XVI,1,14,11,313.34,3,954.29,1626.97,1267.6299999999999,1636.18,1267.6299999999999,32.451328,Auburn,19
60,Notre Dame,Win 15-12,2.13,Counts,0.0256,2023-03-13,Tally Classic XVI,1,15,12,300.49,3,1398.11,1615.64,1698.6,1613.51,1698.6,43.48416,Auburn,20
30,North Carolina-Wilmington,Win 15-7,15.17,Counts,0.0256,2023-03-13,Tally Classic XVI,1,15,7,600,8,1594.83,1602.59,2194.83,1587.4199999999998,2194.83,56.187648,Auburn,21
161,Mississippi State,Win 13-6,-4.29,Counts,0.0362,2023-04-23,Gulf Coast D I College Mens CC 2022,1,13,6,600,7,903.76,1622.05,1503.76,1626.34,1503.76,54.436112,Auburn,22
