OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
148,Bates College,Loss 9-14,7.13,Counts,0.08199999999999999,2023-03-26,Layout Pigout 2022,0,9,14,-473.87,-5,958.83,398.01,484.96000000000004,390.88,484.96000000000004,39.76672,Bentley,1
295,Haverford,Loss 10-15,-43.92,Counts,0.08199999999999999,2023-03-26,Layout Pigout 2022,0,10,15,-453.6,-5,367.14,449.06,-86.46000000000004,492.98,-86.46000000000004,-7.0897200000000025,Bentley,2
138,Bowdoin,Loss 6-15,-1.71,Counts,0.08199999999999999,2023-03-26,Layout Pigout 2022,0,6,15,-600,-9,986.01,406.85,386.01,408.56,386.01,31.652819999999995,Bentley,3
123,Williams,Loss 5-15,0,Ignored,0,2023-03-27,Layout Pigout 2022,0,5,15,-600,-10,1073.97,405.14,473.97,405.14,0,0,Bentley,4
317,Stonehill,Win 14-12,6.82,Counts,0.1033,2023-04-23,Metro Boston D III College Mens CC 2022,1,14,12,220.96,2,243.34,398.32,464.3,391.5,464.3,47.96219,Bentley,5
146,Brandeis,Loss 7-15,-5.01,Counts,0.1033,2023-04-23,Metro Boston D III College Mens CC 2022,0,7,15,-600,-8,961.68,410.15,361.67999999999995,415.15999999999997,361.67999999999995,37.361543999999995,Bentley,6
35,Middlebury,Loss 3-13,0,Ignored,0,2023-04-30,New England D III College Mens Regionals 2022,0,3,13,-600,-10,1530.51,405.14,930.51,405.14,0,0,Bentley,7
148,Bates College,Loss 9-12,25.61,Counts,0.10949999999999999,2023-04-30,New England D III College Mens Regionals 2022,0,9,12,-345.37,-3,958.83,379.53,613.46,353.91999999999996,613.46,67.17387,Bentley,8
123,Williams,Loss 6-13,8.46,Counts,0.10949999999999999,2023-04-30,New England D III College Mens Regionals 2022,0,6,13,-600,-7,1073.97,396.68,473.97,388.22,473.97,51.89971499999999,Bentley,9
248,Worcester Polytechnic Institute,Win 12-10,54.58,Counts,0.10949999999999999,2023-04-30,New England D III College Mens Regionals 2022,1,12,10,238.12,2,611.08,350.56,849.2,295.98,849.2,92.9874,Bentley,10
138,Bowdoin,Loss 3-15,-2.35,Counts,0.10949999999999999,2023-05-01,New England D III College Mens Regionals 2022,0,3,15,-600,-12,986.01,407.49,386.01,409.84000000000003,386.01,42.268094999999995,Bentley,11
248,Worcester Polytechnic Institute,Loss 5-15,-48.44,Counts,0.10949999999999999,2023-05-01,New England D III College Mens Regionals 2022,0,5,15,-600,-10,611.08,453.58,11.080000000000041,502.02,11.080000000000041,1.2132600000000042,Bentley,12
