OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
277,Villanova,Win 13-4,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,4,600,9,447.31,1050.21,1047.31,1050.21,0,0,Boston University,1
98,Pennsylvania,Win 9-7,28.14,Counts,0.0666,2023-03-26,Hucktastic 2022,1,9,7,279.34,2,1165.17,1022.07,1444.51,993.9300000000001,1444.51,96.20436600000001,Boston University,2
366,Jefferson,Win 13-1,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,1,600,12,341.43,1050.21,941.4300000000001,1050.21,0,0,Boston University,3
341,Temple-B,Win 13-1,0,Ignored,0,2023-03-26,Hucktastic 2022,1,13,1,600,12,69.83,1050.21,669.83,1050.21,0,0,Boston University,4
154,NYU,Win 13-8,31.03,Counts,0.0726,2023-03-26,Hucktastic 2022,1,13,8,496.16,5,950.57,1019.17,1446.73,988.14,1446.73,105.032598,Boston University,5
68,Colorado College,Loss 7-11,-14.25,Counts,0.07490000000000001,2023-04-02,Huck Finn 2022,0,7,11,-466.89,-4,1340.93,1064.46,874.0400000000001,1078.71,874.0400000000001,65.46559600000002,Boston University,6
232,Oklahoma,Win 13-5,17.51,Counts,0.07690000000000001,2023-04-02,Huck Finn 2022,1,13,5,600,8,660.44,1032.69,1260.44,1015.1800000000001,1260.44,96.92783600000001,Boston University,7
120,Grand Valley State,Win 10-9,12.91,Counts,0.07690000000000001,2023-04-02,Huck Finn 2022,1,10,9,125,1,1080.22,1037.29,1205.22,1024.3799999999999,1205.22,92.68141800000001,Boston University,8
133,Wisconsin-Milwaukee,Win 10-9,8.18,Counts,0.07690000000000001,2023-04-02,Huck Finn 2022,1,10,9,125,1,1023.38,1042.03,1148.38,1033.85,1148.38,88.31042200000002,Boston University,9
70,Chicago,Loss 7-10,-8.81,Counts,0.0727,2023-04-03,Huck Finn 2022,0,7,10,-389.67,-3,1327.52,1059.02,937.8499999999999,1067.83,937.8499999999999,68.18169499999999,Boston University,10
46,Cincinnati,Loss 11-13,16.94,Counts,0.07690000000000001,2023-04-03,Huck Finn 2022,0,11,13,-228.84,-2,1482.34,1033.27,1253.5,1016.3299999999999,1253.5,96.39415000000001,Boston University,11
57,Alabama,Win 12-11,40.72,Counts,0.07690000000000001,2023-04-03,Huck Finn 2022,1,12,11,125,1,1414,1009.48,1539,968.76,1539,118.34910000000002,Boston University,12
75,Boston College,Loss 8-10,-3.37,Counts,0.084,2023-04-16,Metro Boston D I College Mens CC 2022,0,8,10,-262.67,-2,1276.09,1053.58,1013.4199999999998,1056.9499999999998,1013.4199999999998,85.12728,Boston University,13
165,MIT,Loss 6-9,-47.41,Counts,0.0767,2023-04-16,Metro Boston D I College Mens CC 2022,0,6,9,-418.57,-3,898.08,1097.61,479.51000000000005,1145.02,479.51000000000005,36.778417000000005,Boston University,14
12,Northeastern,Loss 5-13,0,Ignored,0,2023-04-16,Metro Boston D I College Mens CC 2022,0,5,13,-600,-8,1839.64,1050.21,1239.64,1050.21,0,0,Boston University,15
93,Harvard,Loss 6-11,-36.01,Counts,0.0817,2023-04-16,Metro Boston D I College Mens CC 2022,0,6,11,-546.69,-5,1191.89,1086.22,645.2,1122.23,645.2,52.71284,Boston University,16
162,Massachusetts-Lowell,Loss 9-12,-46.64,Counts,0.0863,2023-04-17,Metro Boston D I College Mens CC 2022,0,9,12,-345.37,-3,901.86,1096.85,556.49,1143.49,556.49,48.025087,Boston University,17
18,Tufts,Loss 3-13,0,Ignored,0,2023-04-17,Metro Boston D I College Mens CC 2022,0,3,13,-600,-10,1715.78,1050.21,1115.78,1050.21,0,0,Boston University,18
