OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
148,Bates College,Win 11-10,4.96,Counts,0.0482,2023-03-26,Layout Pigout 2022,1,11,10,125,1,958.83,981.06,1083.83,976.0999999999999,1083.83,52.240606,Bowdoin,1
284,Bentley,Win 15-6,0.97,Counts,0.0482,2023-03-26,Layout Pigout 2022,1,15,6,600,9,405.14,985.04,1005.14,984.0699999999999,1005.14,48.447748,Bowdoin,2
295,Haverford,Win 14-9,-7.35,Counts,0.0482,2023-03-26,Layout Pigout 2022,1,14,9,473.87,5,367.14,993.36,841.01,1000.71,841.01,40.536682,Bowdoin,3
295,Haverford,Win 15-5,0,Ignored,0,2023-03-27,Layout Pigout 2022,1,15,5,600,10,367.14,986.01,967.14,986.01,0,0,Bowdoin,4
192,Rowan,Win 13-10,7.01,Counts,0.051100000000000007,2023-04-02,Northeast Classic,1,13,10,328.14,3,788.03,979.01,1116.17,972,1116.17,57.03628700000001,Bowdoin,5
183,Wesleyan,Win 11-7,15.53,Counts,0.049699999999999994,2023-04-02,Northeast Classic,1,11,7,466.89,4,815.88,970.48,1282.77,954.95,1282.77,63.753668999999995,Bowdoin,6
193,Vermont-C,Win 11-6,17.64,Counts,0.0483,2023-04-02,Northeast Classic,1,11,6,546.69,5,786.67,968.38,1333.3600000000001,950.74,1333.3600000000001,64.40128800000001,Bowdoin,7
247,SUNY-Albany,Win 13-5,12.22,Counts,0.051100000000000007,2023-04-03,Northeast Classic,1,13,5,600,8,612.9,973.8,1212.9,961.5799999999999,1212.9,61.97919000000001,Bowdoin,8
119,Connecticut,Win 13-12,11.82,Counts,0.051100000000000007,2023-04-03,Northeast Classic,1,13,12,125,1,1080.53,974.19,1205.53,962.37,1205.53,61.60258300000001,Bowdoin,9
125,Yale,Loss 12-13,-2.2,Counts,0.051100000000000007,2023-04-03,Northeast Classic,0,12,13,-125,-1,1070.13,988.21,945.1300000000001,990.4100000000001,945.1300000000001,48.296143000000015,Bowdoin,10
35,Middlebury,Loss 7-15,-3.38,Counts,0.057300000000000004,2023-04-17,North New England D III College Mens CC 2022,0,7,15,-600,-8,1530.51,989.39,930.51,992.77,930.51,53.318223,Bowdoin,11
267,Colby,Win 15-5,7.17,Counts,0.057300000000000004,2023-04-17,North New England D III College Mens CC 2022,1,15,5,600,10,503.92,978.84,1103.92,971.6700000000001,1103.92,63.254616000000006,Bowdoin,12
148,Bates College,Loss 9-10,-9.26,Counts,0.057300000000000004,2023-04-17,North New England D III College Mens CC 2022,0,9,10,-125,-1,958.83,995.27,833.83,1004.53,833.83,47.778459000000005,Bowdoin,13
148,Bates College,Win 10-9,6.73,Counts,0.0644,2023-04-30,New England D III College Mens Regionals 2022,1,10,9,125,1,958.83,979.28,1083.83,972.55,1083.83,69.79865199999999,Bowdoin,14
146,Brandeis,Loss 9-13,-30.47,Counts,0.0644,2023-04-30,New England D III College Mens Regionals 2022,0,9,13,-418.57,-4,961.68,1016.48,543.1099999999999,1046.95,543.1099999999999,34.97628399999999,Bowdoin,15
187,Bryant,Loss 7-9,-29.03,Counts,0.0591,2023-04-30,New England D III College Mens Regionals 2022,0,7,9,-279.34,-2,802.93,1015.04,523.5899999999999,1044.07,523.5899999999999,30.944168999999995,Bowdoin,16
148,Bates College,Loss 10-15,-33.08,Counts,0.0644,2023-05-01,New England D III College Mens Regionals 2022,0,10,15,-453.6,-5,958.83,1019.09,505.23,1052.17,505.23,32.536812,Bowdoin,17
284,Bentley,Win 15-3,1.32,Counts,0.0644,2023-05-01,New England D III College Mens Regionals 2022,1,15,3,600,12,405.14,984.7,1005.14,983.38,1005.14,64.731016,Bowdoin,18
187,Bryant,Win 13-3,28.68,Counts,0.0644,2023-05-01,New England D III College Mens Regionals 2022,1,13,3,600,10,802.93,957.33,1402.9299999999998,928.6500000000001,1402.9299999999998,90.34869199999999,Bowdoin,19
