OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
221,Loyola-Chicago,Loss 1-11,-3.12,Counts,0.0888,2023-03-26,Illinois Invite,0,1,11,-600,-10,691.51,126.68,91.50999999999999,129.8,91.50999999999999,8.126088,Bradley,1
315,Knox,Loss 6-7,0.81,Counts,0.08,2023-03-26,Illinois Invite,0,6,7,-125,-1,257.91,122.75,132.91000000000003,121.94,132.91000000000003,10.632800000000001,Bradley,2
286,Notre Dame-B,Loss 7-10,-11.91,Counts,0.0915,2023-03-26,Illinois Invite,0,7,10,-389.67,-3,394.95,135.47,5.279999999999973,147.38,5.279999999999973,0.4831199999999975,Bradley,3
340,Illinois-B,Win 10-9,8.36,Counts,0.0967,2023-03-27,Illinois Invite,1,10,9,125,1,76.66,115.2,201.66,106.84,201.66,19.500522,Bradley,4
230,North Park,Loss 1-15,-6.12,Counts,0.0967,2023-03-27,Illinois Invite,0,1,15,-600,-14,666.39,129.68,66.38999999999999,135.8,66.38999999999999,6.419912999999998,Bradley,5
340,Illinois-B,Win 7-6,6.79,Counts,0.08,2023-03-27,Illinois Invite,1,7,6,125,1,76.66,116.77,201.66,109.97999999999999,201.66,16.1328,Bradley,6
315,Knox,Loss 5-13,-64.61,Counts,0.1219,2023-04-23,Illinois D III College Mens CC 2022,0,5,13,-600,-8,257.91,188.17,-342.09,252.77999999999997,-342.09,-41.700770999999996,Bradley,7
141,Wheaton (Illinois),Loss 7-13,42.17,Counts,0.1219,2023-04-23,Illinois D III College Mens CC 2022,0,7,13,-557.53,-6,985.02,81.39,427.49,39.22,427.49,52.111031,Bradley,8
230,North Park,Loss 7-13,-2.04,Counts,0.1219,2023-04-23,Illinois D III College Mens CC 2022,0,7,13,-557.53,-6,666.39,125.6,108.86000000000001,127.64,108.86000000000001,13.270034,Bradley,9
315,Knox,Win 7-6,29.07,Counts,0.1008,2023-04-24,Illinois D III College Mens CC 2022,1,7,6,125,1,257.91,94.49,382.91,65.41999999999999,382.91,38.597328000000005,Bradley,10
141,Wheaton (Illinois),Loss 2-10,0,Ignored,0,2023-04-24,Illinois D III College Mens CC 2022,0,2,10,-600,-8,985.02,123.56,385.02,123.56,0,0,Bradley,11
