OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
63,California-Santa Barbara,Win 15-5,0,Ignored,0,2023-01-28,Santa Barbara Invite 2022,1,15,5,600,10,1375.9,2039.12,1975.9,2039.12,0,0,Brigham Young,1
6,Cal Poly-SLO,Win 13-9,17.81,Counts,0.04650000000000001,2023-01-28,Santa Barbara Invite 2022,1,13,9,418.57,4,1985.66,2021.32,2404.23,2003.51,2404.23,111.79669500000001,Brigham Young,2
70,Chicago,Win 15-9,-9.57,Counts,0.04650000000000001,2023-01-29,Santa Barbara Invite 2022,1,15,9,515.48,6,1327.52,2048.69,1843,2058.26,1843,85.69950000000001,Brigham Young,3
81,Santa Clara,Win 15-2,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,1,15,2,600,13,1243.95,2039.12,1843.95,2039.12,0,0,Brigham Young,4
29,UCLA,Win 13-11,-10.39,Counts,0.04650000000000001,2023-01-29,Santa Barbara Invite 2022,1,13,11,228.84,2,1597.35,2049.51,1826.1899999999998,2059.9,1826.1899999999998,84.91783500000001,Brigham Young,5
10,California,Win 15-13,1.21,Counts,0.04650000000000001,2023-01-29,Santa Barbara Invite 2022,1,15,13,214.18,2,1849.7,2037.91,2063.88,2036.7,2063.88,95.97042000000002,Brigham Young,6
114,Florida State,Win 13-8,-23.09,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,8,496.16,5,1097.48,2062.21,1593.64,2085.3,1593.64,78.566452,Brigham Young,7
158,South Florida,Win 13-6,-27.04,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,6,600,7,917.32,2066.16,1517.3200000000002,2093.2,1517.3200000000002,74.803876,Brigham Young,8
5,Pittsburgh,Win 13-7,26.83,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,7,557.53,6,1999.22,2012.3,2556.75,1985.47,2556.75,126.04777499999999,Brigham Young,9
106,LSU,Win 13-8,-20.79,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,8,496.16,5,1141.7,2059.92,1637.8600000000001,2080.71,1637.8600000000001,80.746498,Brigham Young,10
72,Texas A&M,Win 13-4,0,Ignored,0,2023-02-05,Warm Up 2022,1,13,4,600,9,1289.26,2039.12,1889.26,2039.12,0,0,Brigham Young,11
12,Northeastern,Win 13-7,18.55,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,7,557.53,6,1839.64,2020.57,2397.17,2002.02,2397.17,118.180481,Brigham Young,12
1,Brown,Loss 11-13,-3.01,Counts,0.0493,2023-02-05,Warm Up 2022,0,11,13,-228.84,-2,2209.79,2042.14,1980.95,2045.15,1980.95,97.66083499999999,Brigham Young,13
69,Virginia Tech,Win 13-8,-11.04,Counts,0.0493,2023-02-05,Warm Up 2022,1,13,8,496.16,5,1329.97,2050.16,1826.13,2061.2,1826.13,90.028209,Brigham Young,14
208,Nevada-Reno,Win 11-1,0,Ignored,0,2023-03-12,Big Sky Brawl,1,11,1,600,10,722.46,2039.12,1322.46,2039.12,0,0,Brigham Young,15
45,Utah,Win 11-5,3.04,Counts,0.0604,2023-03-12,Big Sky Brawl,1,11,5,600,6,1486.48,2036.08,2086.48,2033.04,2086.48,126.023392,Brigham Young,16
166,Northern Arizona,Win 11-2,0,Ignored,0,2023-03-12,Big Sky Brawl,1,11,2,600,9,897.05,2039.12,1497.05,2039.12,0,0,Brigham Young,17
178,Montana State,Win 11-5,-38.58,Counts,0.0604,2023-03-12,Big Sky Brawl,1,11,5,600,6,838.48,2077.7,1438.48,2116.2799999999997,1438.48,86.884192,Brigham Young,18
22,Carleton College,Win 13-6,17.51,Counts,0.0697,2023-03-18,Missouri Loves Company MLC,1,13,6,600,7,1672.93,2021.61,2272.9300000000003,2004.1,2272.9300000000003,158.423221,Brigham Young,19
13,Minnesota,Win 13-6,29.61,Counts,0.0697,2023-03-19,Missouri Loves Company MLC,1,13,6,600,7,1834.48,2009.51,2434.48,1979.9,2434.48,169.683256,Brigham Young,20
40,Colorado State,Win 13-8,-2.5,Counts,0.0697,2023-03-19,Missouri Loves Company MLC,1,13,8,496.16,5,1509.55,2041.62,2005.71,2044.12,2005.71,139.797987,Brigham Young,21
49,Illinois,Win 13-5,1.28,Counts,0.0697,2023-03-19,Missouri Loves Company MLC,1,13,5,600,8,1456.25,2037.84,2056.25,2036.56,2056.25,143.320625,Brigham Young,22
9,Vermont,Win 13-7,31.41,Counts,0.0697,2023-03-19,Missouri Loves Company MLC,1,13,7,557.53,6,1901.02,2007.71,2458.55,1976.3,2458.55,171.360935,Brigham Young,23
