OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
212,Oregon State-B,Win 13-0,0,Ignored,0,2023-04-16,Cascadia D I College Mens CC 2022,1,13,0,600,13,708.48,1612.3,1308.48,1612.3,0,0,British Columbia,1
11,Washington,Loss 10-11,17.22,Counts,0.13470000000000001,2023-04-16,Cascadia D I College Mens CC 2022,0,10,11,-125,-1,1847.95,1595.08,1722.95,1577.86,1722.95,232.08136500000003,British Columbia,2
43,Victoria,Loss 5-9,-84.58,Counts,0.11560000000000001,2023-04-16,Cascadia D I College Mens CC 2022,0,5,9,-529.06,-4,1494.23,1696.88,965.1700000000001,1781.46,965.1700000000001,111.57365200000001,British Columbia,3
38,Oregon State,Win 12-11,4.12,Counts,0.13470000000000001,2023-04-17,Cascadia D I College Mens CC 2022,1,12,11,125,1,1513.79,1608.18,1638.79,1604.0600000000002,1638.79,220.74501300000003,British Columbia,4
150,Portland State,Win 13-3,0,Ignored,0,2023-04-17,Cascadia D I College Mens CC 2022,1,13,3,600,10,956.75,1612.3,1556.75,1612.3,0,0,British Columbia,5
107,Washington-B,Win 12-7,6.8,Counts,0.13470000000000001,2023-04-17,Cascadia D I College Mens CC 2022,1,12,7,520.51,5,1135.5,1605.5,1656.01,1598.7,1656.01,223.06454700000003,British Columbia,6
19,Oregon,Win 10-9,42.27,Counts,0.16010000000000002,2023-05-07,Northwest D I College Mens Regionals 2022,1,10,9,125,1,1709,1570.03,1834,1527.76,1834,293.62340000000006,British Columbia,7
302,Idaho,Win 13-0,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,1,13,0,600,13,313.39,1612.3,913.39,1612.3,0,0,British Columbia,8
15,Utah State,Loss 9-10,16.5,Counts,0.16010000000000002,2023-05-07,Northwest D I College Mens Regionals 2022,0,9,10,-125,-1,1823.82,1595.8,1698.82,1579.3,1698.82,271.981082,British Columbia,9
11,Washington,Loss 11-13,1.3,Counts,0.16010000000000002,2023-05-08,Northwest D I College Mens Regionals 2022,0,11,13,-228.84,-2,1847.95,1611,1619.1100000000001,1609.7,1619.1100000000001,259.21951100000007,British Columbia,10
