OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
13,Minnesota,Loss 12-13,-9.62,Counts,0.0189,2023-02-05,Warm Up 2022,0,12,13,-125,-1,1834.48,2219.41,1709.48,2229.0299999999997,1709.48,32.309172000000004,Brown,1
69,Virginia Tech,Win 13-8,-7.38,Counts,0.0189,2023-02-05,Warm Up 2022,1,13,8,496.16,5,1329.97,2217.16,1826.13,2224.54,1826.13,34.513857,Brown,2
111,Georgia State,Win 13-4,0,Ignored,0,2023-02-05,Warm Up 2022,1,13,4,600,9,1110.77,2209.79,1710.77,2209.79,0,0,Brown,3
47,Florida,Win 13-6,-2.56,Counts,0.0189,2023-02-05,Warm Up 2022,1,13,6,600,7,1476.89,2212.34,2076.8900000000003,2214.9,2076.8900000000003,39.253221,Brown,4
89,Central Florida,Win 13-1,0,Ignored,0,2023-02-05,Warm Up 2022,1,13,1,600,12,1207.83,2209.79,1807.83,2209.79,0,0,Brown,5
4,Brigham Young,Win 13-11,1.12,Counts,0.0189,2023-02-05,Warm Up 2022,1,13,11,228.84,2,2039.12,2208.67,2267.96,2207.55,2267.96,42.864444,Brown,6
111,Georgia State,Win 15-5,0,Ignored,0,2023-02-05,Warm Up 2022,1,15,5,600,10,1110.77,2209.79,1710.77,2209.79,0,0,Brown,7
5,Pittsburgh,Win 14-12,0.2,Counts,0.0189,2023-02-05,Warm Up 2022,1,14,12,220.96,2,1999.22,2209.59,2220.18,2209.3900000000003,2220.18,41.961402,Brown,8
40,Colorado State,Win 15-8,-3.3,Counts,0.023799999999999998,2023-03-05,Smoky Mountain Invite 2022,1,15,8,564.81,7,1509.55,2213.09,2074.3599999999997,2216.3900000000003,2074.3599999999997,49.369767999999986,Brown,9
24,Ohio State,Win 13-11,-7.75,Counts,0.023799999999999998,2023-03-05,Smoky Mountain Invite 2022,1,13,11,228.84,2,1662.49,2217.54,1891.33,2225.29,1891.33,45.013653999999995,Brown,10
134,Tennessee,Win 13-4,0,Ignored,0,2023-03-05,Smoky Mountain Invite 2022,1,13,4,600,9,1017.86,2209.79,1617.8600000000001,2209.79,0,0,Brown,11
17,Texas,Win 10-9,-7.67,Counts,0.023799999999999998,2023-03-05,Smoky Mountain Invite 2022,1,10,9,125,1,1769.66,2217.46,1894.66,2225.13,1894.66,45.092908,Brown,12
3,Colorado,Win 15-14,1.46,Counts,0.023799999999999998,2023-03-06,Smoky Mountain Invite 2022,1,15,14,125,1,2144.95,2208.32,2269.95,2206.86,2269.95,54.024809999999995,Brown,13
2,North Carolina,Win 15-13,4.47,Counts,0.023799999999999998,2023-03-06,Smoky Mountain Invite 2022,1,15,13,214.18,2,2179.26,2205.32,2393.44,2200.8500000000004,2393.44,56.963871999999995,Brown,14
14,North Carolina State,Win 15-14,-6.26,Counts,0.023799999999999998,2023-03-06,Smoky Mountain Invite 2022,1,15,14,125,1,1827.64,2216.05,1952.64,2222.3100000000004,1952.64,46.472832,Brown,15
16,Michigan,Win 13-8,2.91,Counts,0.029900000000000003,2023-04-02,Easterns 2022,1,13,8,496.16,5,1807.83,2206.88,2303.99,2203.9700000000003,2303.99,68.889301,Brown,16
24,Ohio State,Win 13-7,0.32,Counts,0.029900000000000003,2023-04-02,Easterns 2022,1,13,7,557.53,6,1662.49,2209.47,2220.02,2209.1499999999996,2220.02,66.37859800000001,Brown,17
30,North Carolina-Wilmington,Win 13-8,-3.67,Counts,0.029900000000000003,2023-04-02,Easterns 2022,1,13,8,496.16,5,1594.83,2213.46,2090.99,2217.13,2090.99,62.520601,Brown,18
21,Wisconsin,Win 13-8,-1.05,Counts,0.029900000000000003,2023-04-02,Easterns 2022,1,13,8,496.16,5,1679.64,2210.84,2175.8,2211.8900000000003,2175.8,65.05642000000002,Brown,19
25,Maryland,Win 15-11,-5.27,Counts,0.029900000000000003,2023-04-03,Easterns 2022,1,15,11,381.16,4,1657.91,2215.06,2039.0700000000002,2220.33,2039.0700000000002,60.968193000000014,Brown,20
5,Pittsburgh,Win 15-10,7.5,Counts,0.029900000000000003,2023-04-03,Easterns 2022,1,15,10,453.6,5,1999.22,2202.29,2452.82,2194.79,2452.82,73.339318,Brown,21
8,Georgia,Win 15-13,-2.02,Counts,0.029900000000000003,2023-04-03,Easterns 2022,1,15,13,214.18,2,1930.07,2211.81,2144.25,2213.83,2144.25,64.11307500000001,Brown,22
156,Rhode Island,Win 15-4,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,15,4,600,11,934.93,2209.79,1534.9299999999998,2209.79,0,0,Brown,23
86,Maine,Win 13-5,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,13,5,600,8,1230.11,2209.79,1830.11,2209.79,0,0,Brown,24
252,New Hampshire,Win 13-4,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,13,4,600,9,602.58,2209.79,1202.58,2209.79,0,0,Brown,25
9,Vermont,Win 13-7,8.65,Counts,0.0336,2023-04-16,Greater New England D I College Mens CC 2022,1,13,7,557.53,6,1901.02,2201.14,2458.55,2192.49,2458.55,82.60728,Brown,26
20,McGill,Win 15-9,-0.28,Counts,0.0336,2023-04-17,Greater New England D I College Mens CC 2022,1,15,9,515.48,6,1686.18,2210.07,2201.66,2210.3500000000004,2201.66,73.975776,Brown,27
9,Vermont,Win 15-6,10.13,Counts,0.0336,2023-04-17,Greater New England D I College Mens CC 2022,1,15,6,600,9,1901.02,2199.66,2501.02,2189.5299999999997,2501.02,84.03427199999999,Brown,28
86,Maine,Win 13-4,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,1,13,4,600,9,1230.11,2209.79,1830.11,2209.79,0,0,Brown,29
