OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
36,California-Santa Cruz,Loss 5-12,0,Ignored,0,2023-02-05,Stanford Open 2022,0,5,12,-600,-7,1524.13,508.74,924.1300000000001,508.74,0,0,Cal Poly Humboldt,1
NA,Santa Clara-B,Win 13-5,31.22,Counts,0.08199999999999999,2023-02-05,Stanford Open 2022,1,13,5,600,8,258.37,477.51,858.37,446.28999999999996,858.37,70.38633999999999,Cal Poly Humboldt,2
258,California-B,Win 9-7,25.45,Counts,0.07519999999999999,2023-02-05,Stanford Open 2022,1,9,7,279.34,2,542.24,483.29,821.5799999999999,457.84000000000003,821.5799999999999,61.78281599999998,Cal Poly Humboldt,3
212,Oregon State-B,Loss 7-10,-15.97,Counts,0.0775,2023-02-06,Stanford Open 2022,0,7,10,-389.67,-3,708.48,524.7,318.81,540.6700000000001,318.81,24.707775,Cal Poly Humboldt,4
208,Nevada-Reno,Loss 7-8,6.97,Counts,0.0728,2023-02-06,Stanford Open 2022,0,7,8,-125,-1,722.46,501.77,597.46,494.79999999999995,597.46,43.495088,Cal Poly Humboldt,5
36,California-Santa Cruz,Loss 6-11,75.14,Counts,0.1382,2023-04-16,NorCal D I College Mens CC 2022,0,6,11,-546.69,-5,1524.13,433.59,977.44,358.45,977.44,135.082208,Cal Poly Humboldt,6
81,Santa Clara,Loss 2-13,0,Ignored,0,2023-04-16,NorCal D I College Mens CC 2022,0,2,13,-600,-11,1243.95,508.74,643.95,508.74,0,0,Cal Poly Humboldt,7
176,"California State University, Chico",Loss 5-10,-35.47,Counts,0.1298,2023-04-16,NorCal D I College Mens CC 2022,0,5,10,-573.9,-5,844.82,544.21,270.9200000000001,579.6800000000001,270.9200000000001,35.16541600000001,Cal Poly Humboldt,8
113,California-Davis,Loss 3-13,-0.43,Counts,0.1461,2023-04-16,NorCal D I College Mens CC 2022,0,3,13,-600,-10,1106.24,509.16,506.24,509.59000000000003,506.24,73.961664,Cal Poly Humboldt,9
321,San Jose State,Win 9-8,-27.05,Counts,0.1382,2023-04-17,NorCal D I College Mens CC 2022,1,9,8,125,1,215.04,535.78,340.03999999999996,562.8299999999999,340.03999999999996,46.99352799999999,Cal Poly Humboldt,10
81,Santa Clara,Loss 1-13,0,Ignored,0,2023-04-17,NorCal D I College Mens CC 2022,0,1,13,-600,-12,1243.95,508.74,643.95,508.74,0,0,Cal Poly Humboldt,11
208,Nevada-Reno,Loss 3-12,-62.98,Counts,0.1402,2023-04-17,NorCal D I College Mens CC 2022,0,3,12,-600,-9,722.46,571.72,122.46000000000004,634.7,122.46000000000004,17.168892000000003,Cal Poly Humboldt,12
