OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
4,Brigham Young,Loss 9-13,-7.12,Counts,0.0191,2023-01-28,Santa Barbara Invite 2022,0,9,13,-418.57,-4,2039.12,1992.78,1620.55,1999.8999999999999,1620.55,30.952505,Cal Poly-SLO,1
169,Kansas,Win 15-2,0,Ignored,0,2023-01-29,Santa Barbara Invite 2022,1,15,2,600,13,889.88,1985.66,1489.88,1985.66,0,0,Cal Poly-SLO,2
45,Utah,Win 12-9,-3,Counts,0.0191,2023-01-29,Santa Barbara Invite 2022,1,12,9,345.37,3,1486.48,1988.66,1831.85,1991.66,1831.85,34.988335,Cal Poly-SLO,3
63,California-Santa Barbara,Win 13-7,-1.02,Counts,0.0191,2023-01-29,Santa Barbara Invite 2022,1,13,7,557.53,6,1375.9,1986.68,1933.43,1987.7,1933.43,36.928513,Cal Poly-SLO,4
29,UCLA,Win 11-5,3.78,Counts,0.0176,2023-01-30,Santa Barbara Invite 2022,1,11,5,600,6,1597.35,1981.87,2197.35,1978.09,2197.35,38.67336,Cal Poly-SLO,5
45,Utah,Win 12-7,0.42,Counts,0.0191,2023-01-30,Santa Barbara Invite 2022,1,12,7,520.51,5,1486.48,1985.24,2006.99,1984.82,2006.99,38.333509,Cal Poly-SLO,6
10,California,Win 13-10,3.75,Counts,0.0191,2023-01-30,Santa Barbara Invite 2022,1,13,10,328.14,3,1849.7,1981.91,2177.84,1978.16,2177.84,41.596744,Cal Poly-SLO,7
226,San Diego State,Win 15-1,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,1,15,1,600,14,680.1,1985.66,1280.1,1985.66,0,0,Cal Poly-SLO,8
19,Oregon,Win 12-6,6.85,Counts,0.022099999999999998,2023-02-19,Presidents Day Invite 2022,1,12,6,579.31,6,1709,1978.8,2288.31,1971.95,2288.31,50.571650999999996,Cal Poly-SLO,9
63,California-Santa Barbara,Win 14-7,-0.63,Counts,0.022799999999999997,2023-02-19,Presidents Day Invite 2022,1,14,7,582.89,7,1375.9,1986.28,1958.79,1986.91,1958.79,44.660411999999994,Cal Poly-SLO,10
45,Utah,Win 11-7,-0.73,Counts,0.022099999999999998,2023-02-19,Presidents Day Invite 2022,1,11,7,466.89,4,1486.48,1986.39,1953.37,1987.1200000000001,1953.37,43.16947699999999,Cal Poly-SLO,11
29,UCLA,Win 12-7,3.08,Counts,0.022799999999999997,2023-02-20,Presidents Day Invite 2022,1,12,7,520.51,5,1597.35,1982.58,2117.8599999999997,1979.5,2117.8599999999997,48.287207999999985,Cal Poly-SLO,12
85,Cornell,Win 14-9,-6.51,Counts,0.022799999999999997,2023-02-20,Presidents Day Invite 2022,1,14,9,473.87,5,1232.33,1992.16,1706.1999999999998,1998.67,1706.1999999999998,38.90135999999999,Cal Poly-SLO,13
71,Southern California,Win 14-4,0,Ignored,0,2023-02-21,Presidents Day Invite 2022,1,14,4,600,10,1291.65,1985.66,1891.65,1985.66,0,0,Cal Poly-SLO,14
3,Colorado,Loss 10-11,0.8,Counts,0.022799999999999997,2023-02-21,Presidents Day Invite 2022,0,10,11,-125,-1,2144.95,1984.86,2019.9499999999998,1984.06,2019.9499999999998,46.05485999999999,Cal Poly-SLO,15
10,California,Win 12-10,2.38,Counts,0.022799999999999997,2023-02-21,Presidents Day Invite 2022,1,12,10,238.12,2,1849.7,1983.28,2087.82,1980.8999999999999,2087.82,47.602295999999996,Cal Poly-SLO,16
22,Carleton College,Loss 9-12,-21.88,Counts,0.0322,2023-04-02,Easterns 2022,0,9,12,-345.37,-3,1672.93,2007.54,1327.56,2029.42,1327.56,42.747431999999996,Cal Poly-SLO,17
