OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
71,Southern California,Loss 4-13,-41.69,Counts,0.0908,2023-04-09,SoCal D I College Mens CC 2022,0,4,13,-600,-9,1291.65,1150.78,691.6500000000001,1192.47,691.6500000000001,62.80182000000001,Cal State-Long Beach,1
226,San Diego State,Win 12-6,14.57,Counts,0.08839999999999999,2023-04-09,SoCal D I College Mens CC 2022,1,12,6,579.31,6,680.1,1094.52,1259.4099999999999,1079.95,1259.4099999999999,111.33184399999998,Cal State-Long Beach,2
29,UCLA,Loss 3-13,-11.16,Counts,0.0908,2023-04-09,SoCal D I College Mens CC 2022,0,3,13,-600,-10,1597.35,1120.25,997.3499999999999,1131.41,997.3499999999999,90.55938,Cal State-Long Beach,3
61,California-San Diego,Loss 6-13,-31.2,Counts,0.0908,2023-04-09,SoCal D I College Mens CC 2022,0,6,13,-600,-7,1396.69,1140.29,796.69,1171.49,796.69,72.33945200000001,Cal State-Long Beach,4
167,Loyola Marymount,Win 12-7,30.77,Counts,0.0908,2023-04-10,SoCal D I College Mens CC 2022,1,12,7,520.51,5,896.64,1078.33,1417.15,1047.56,1417.15,128.67722,Cal State-Long Beach,5
244,California-Irvine,Win 13-4,11.3,Counts,0.0908,2023-04-10,SoCal D I College Mens CC 2022,1,13,4,600,9,622.19,1097.8,1222.19,1086.5,1222.19,110.97485200000001,Cal State-Long Beach,6
58,Stanford,Loss 8-13,-24.96,Counts,0.1144,2023-05-07,Southwest D I College Mens Regionals 2022,0,8,13,-496.16,-5,1412.07,1134.05,915.9099999999999,1159.01,915.9099999999999,104.78010399999998,Cal State-Long Beach,7
208,Nevada-Reno,Win 13-8,14.15,Counts,0.1144,2023-05-07,Southwest D I College Mens Regionals 2022,1,13,8,496.16,5,722.46,1094.95,1218.6200000000001,1080.8,1218.6200000000001,139.41012800000001,Cal State-Long Beach,8
88,Arizona,Loss 9-11,-18.76,Counts,0.1144,2023-05-07,Southwest D I College Mens Regionals 2022,0,9,11,-249.21,-2,1213.12,1127.85,963.9099999999999,1146.61,963.9099999999999,110.27130399999999,Cal State-Long Beach,9
151,Arizona State,Win 13-5,57.67,Counts,0.1144,2023-05-08,Southwest D I College Mens Regionals 2022,1,13,5,600,8,955.51,1051.43,1555.51,993.7600000000001,1555.51,177.950344,Cal State-Long Beach,10
