OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
36,California-Santa Cruz,Loss 7-13,27.73,Counts,0.0613,2023-02-05,Stanford Open 2022,0,7,13,-557.53,-6,1524.13,514.5,966.6000000000001,486.77,966.6000000000001,59.25258000000001,California-B,1
NA,Santa Clara-B,Win 13-1,20.66,Counts,0.0613,2023-02-05,Stanford Open 2022,1,13,1,600,12,258.37,521.58,858.37,500.92,858.37,52.618081000000004,California-B,2
265,Cal Poly Humboldt,Loss 7-9,-18.66,Counts,0.056299999999999996,2023-02-05,Stanford Open 2022,0,7,9,-279.34,-2,508.74,560.9,229.40000000000003,579.56,229.40000000000003,12.915220000000001,California-B,3
212,Oregon State-B,Loss 5-10,-23.5,Counts,0.0545,2023-02-06,Stanford Open 2022,0,5,10,-573.9,-5,708.48,565.73,134.58000000000004,589.23,134.58000000000004,7.334610000000002,California-B,4
241,Cal Poly-SLO-B,Loss 6-8,-11.67,Counts,0.0527,2023-02-06,Stanford Open 2022,0,6,8,-300.49,-2,632.84,553.9,332.35,565.5699999999999,332.35,17.514845,California-B,5
280,Southern California-B,Win 11-5,56.09,Counts,0.1003,2023-04-16,Southwest Dev College Mens CC 2022,1,11,5,600,6,445.42,486.14,1045.42,430.04999999999995,1045.42,104.855626,California-B,6
241,Cal Poly-SLO-B,Win 9-6,54.76,Counts,0.0971,2023-04-16,Southwest Dev College Mens CC 2022,1,9,6,418.57,3,632.84,487.47,1051.41,432.71000000000004,1051.41,102.09191100000001,California-B,7
347,California-Santa Barbara-B,Win 10-8,-29.11,Counts,0.10640000000000001,2023-04-16,Southwest Dev College Mens CC 2022,1,10,8,262.67,2,35.04,571.35,297.71000000000004,600.46,297.71000000000004,31.676344000000007,California-B,8
333,UCLA-B,Win 11-6,15.2,Counts,0.10339999999999999,2023-04-16,Southwest Dev College Mens CC 2022,1,11,6,546.69,5,127.38,527.03,674.07,511.83,674.07,69.698838,California-B,9
241,Cal Poly-SLO-B,Loss 6-10,-45.21,Counts,0.1003,2023-04-17,Southwest Dev College Mens CC 2022,0,6,10,-496.16,-4,632.84,587.45,136.68,632.6600000000001,136.68,13.709004,California-B,10
288,California-San Diego-B,Loss 5-13,-92.38,Counts,0.1093,2023-04-17,Southwest Dev College Mens CC 2022,0,5,13,-600,-8,389.37,634.62,-210.63,727,-210.63,-23.021859,California-B,11
288,California-San Diego-B,Win 10-5,45.28,Counts,0.0971,2023-04-17,Southwest Dev College Mens CC 2022,1,10,5,573.9,5,389.37,496.95,963.27,451.66999999999996,963.27,93.533517,California-B,12
