OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
36,California-Santa Cruz,Win 15-8,3.81,Counts,0.015700000000000002,2023-01-29,Santa Barbara Invite 2022,1,15,8,564.81,7,1524.13,1845.89,2088.94,1842.0800000000002,2088.94,32.796358000000005,California,1
40,Colorado State,Win 14-9,2.13,Counts,0.015700000000000002,2023-01-29,Santa Barbara Invite 2022,1,14,9,473.87,5,1509.55,1847.57,1983.42,1845.4399999999998,1983.42,31.139694000000006,California,2
4,Brigham Young,Loss 13-15,-0.39,Counts,0.015700000000000002,2023-01-29,Santa Barbara Invite 2022,0,13,15,-214.18,-2,2039.12,1850.09,1824.9399999999998,1850.48,1824.9399999999998,28.651558,California,3
32,Washington University,Win 15-6,5.42,Counts,0.015700000000000002,2023-01-29,Santa Barbara Invite 2022,1,15,6,600,9,1590.18,1844.28,2190.1800000000003,1838.86,2190.1800000000003,34.38582600000001,California,4
6,Cal Poly-SLO,Loss 10-13,-3.06,Counts,0.015700000000000002,2023-01-30,Santa Barbara Invite 2022,0,10,13,-328.14,-3,1985.66,1852.75,1657.52,1855.81,1657.52,26.023064,California,5
45,Utah,Loss 12-13,-7.77,Counts,0.015700000000000002,2023-01-30,Santa Barbara Invite 2022,0,12,13,-125,-1,1486.48,1857.46,1361.48,1865.23,1361.48,21.375236000000005,California,6
29,UCLA,Win 11-10,-2.03,Counts,0.015700000000000002,2023-01-30,Santa Barbara Invite 2022,1,11,10,125,1,1597.35,1851.72,1722.35,1853.75,1722.35,27.040895000000003,California,7
19,Oregon,Win 9-5,6.31,Counts,0.016,2023-02-19,Presidents Day Invite 2022,1,9,5,529.06,4,1709,1843.39,2238.06,1837.0800000000002,2238.06,35.80896,California,8
88,Arizona,Win 13-3,0,Ignored,0,2023-02-19,Presidents Day Invite 2022,1,13,3,600,10,1213.12,1849.7,1813.12,1849.7,0,0,California,9
113,California-Davis,Win 13-6,-2.72,Counts,0.018600000000000002,2023-02-19,Presidents Day Invite 2022,1,13,6,600,7,1106.24,1852.42,1706.24,1855.14,1706.24,31.736064000000002,California,10
63,California-Santa Barbara,Win 13-9,-1.05,Counts,0.018600000000000002,2023-02-19,Presidents Day Invite 2022,1,13,9,418.57,4,1375.9,1850.75,1794.47,1851.8,1794.47,33.377142000000006,California,11
58,Stanford,Win 10-5,2.29,Counts,0.0165,2023-02-20,Presidents Day Invite 2022,1,10,5,573.9,5,1412.07,1847.4,1985.9699999999998,1845.1100000000001,1985.9699999999998,32.768505,California,12
3,Colorado,Loss 11-12,3.23,Counts,0.018600000000000002,2023-02-20,Presidents Day Invite 2022,0,11,12,-125,-1,2144.95,1846.47,2019.9499999999998,1843.24,2019.9499999999998,37.57107,California,13
19,Oregon,Win 12-8,5.7,Counts,0.018600000000000002,2023-02-21,Presidents Day Invite 2022,1,12,8,441.15,4,1709,1843.99,2150.15,1838.29,2150.15,39.99279000000001,California,14
6,Cal Poly-SLO,Loss 10-12,-1.94,Counts,0.018600000000000002,2023-02-21,Presidents Day Invite 2022,0,10,12,-238.12,-2,1985.66,1851.64,1747.54,1853.5800000000002,1747.54,32.504244,California,15
45,Utah,Win 11-8,0.05,Counts,0.018600000000000002,2023-02-21,Presidents Day Invite 2022,1,11,8,365.61,3,1486.48,1849.65,1852.0900000000001,1849.6000000000001,1852.0900000000001,34.448874000000004,California,16
81,Santa Clara,Win 13-3,0,Ignored,0,2023-03-05,Stanford Invite 2022,1,13,3,600,10,1243.95,1849.7,1843.95,1849.7,0,0,California,17
