OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
149,SUNY-Binghamton,Loss 1-13,-8.62,Counts,0.0576,2023-02-19,Commonwealth Cup Weekend 1,0,1,13,-600,-12,957.14,506.71,357.14,515.3299999999999,357.14,20.571264,Cedarville,1
207,Clemson,Loss 6-9,-10.47,Counts,0.0512,2023-02-19,Commonwealth Cup Weekend 1,0,6,9,-418.57,-3,722.7,508.56,304.13000000000005,519.03,304.13000000000005,15.571456000000003,Cedarville,2
281,North Carolina State-B,Win 7-5,12.61,Counts,0.0458,2023-02-19,Commonwealth Cup Weekend 1,1,7,5,328.14,2,432.72,485.48,760.86,472.87,760.86,34.847388,Cedarville,3
64,Northwestern,Loss 2-13,0,Ignored,0,2023-02-19,Commonwealth Cup Weekend 1,0,2,13,-600,-11,1368.8,498.09,768.8,498.09,0,0,Cedarville,4
119,Connecticut,Loss 7-15,-1.07,Counts,0.0576,2023-02-20,Commonwealth Cup Weekend 1,0,7,15,-600,-8,1080.53,499.17,480.53,500.24,480.53,27.678527999999996,Cedarville,5
214,Wooster,Loss 10-12,-3.42,Counts,0.0915,2023-04-16,Ohio D III College Mens CC 2022,0,10,12,-238.12,-2,702.25,501.51,464.13,504.93,464.13,42.467895,Cedarville,6
357,Ohio Wesleyan,Win 13-1,0,Ignored,0,2023-04-16,Ohio D III College Mens CC 2022,1,13,1,600,12,138.45,498.09,738.45,498.09,0,0,Cedarville,7
206,Kenyon,Loss 4-13,-37.51,Counts,0.0915,2023-04-17,Ohio D III College Mens CC 2022,0,4,13,-600,-9,725.52,535.6,125.51999999999998,573.11,125.51999999999998,11.485079999999998,Cedarville,8
324,Xavier,Win 13-4,29.36,Counts,0.0915,2023-04-17,Ohio D III College Mens CC 2022,1,13,4,600,9,189.69,468.74,789.69,439.38,789.69,72.256635,Cedarville,9
128,Scranton,Loss 8-15,-1.1,Counts,0.1027,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,8,15,-564.81,-7,1053.29,499.19,488.48,500.29,488.48,50.166896,Cedarville,10
236,Shippensburg,Loss 8-15,-46.93,Counts,0.1027,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,8,15,-564.81,-7,652.75,545.02,87.94000000000005,591.9499999999999,87.94000000000005,9.031438000000005,Cedarville,11
206,Kenyon,Win 15-12,60.4,Counts,0.1027,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,12,300.49,3,725.52,437.69,1026.01,377.29,1026.01,105.371227,Cedarville,12
214,Wooster,Loss 13-15,-1.15,Counts,0.1027,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,13,15,-214.18,-2,702.25,499.24,488.07,500.39,488.07,50.124789,Cedarville,13
324,Xavier,Win 15-11,8.32,Counts,0.1027,2023-05-01,Ohio Valley D III College Mens Regionals 2022,1,15,11,381.16,4,189.69,489.77,570.85,481.45,570.85,58.626295,Cedarville,14
