OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
106,LSU,Win 13-10,7.36,Counts,0.0273,2023-02-05,Warm Up 2022,1,13,10,328.14,3,1141.7,1200.47,1469.8400000000001,1193.1100000000001,1469.8400000000001,40.12663200000001,Central Florida,1
72,Texas A&M,Loss 9-12,-7.41,Counts,0.0273,2023-02-05,Warm Up 2022,0,9,12,-345.37,-3,1289.26,1215.24,943.89,1222.65,943.89,25.768197,Central Florida,2
69,Virginia Tech,Loss 6-13,-13.41,Counts,0.0273,2023-02-05,Warm Up 2022,0,6,13,-600,-7,1329.97,1221.24,729.97,1234.65,729.97,19.928181000000002,Central Florida,3
111,Georgia State,Win 12-7,11.89,Counts,0.0273,2023-02-05,Warm Up 2022,1,12,7,520.51,5,1110.77,1195.94,1631.28,1184.05,1631.28,44.533944,Central Florida,4
1,Brown,Loss 1-13,0,Ignored,0,2023-02-05,Warm Up 2022,0,1,13,-600,-12,2209.79,1207.83,1609.79,1207.83,0,0,Central Florida,5
26,Auburn,Loss 7-13,-4.14,Counts,0.0273,2023-02-05,Warm Up 2022,0,7,13,-557.53,-6,1617.76,1211.97,1060.23,1216.1100000000001,1060.23,28.944279,Central Florida,6
114,Florida State,Win 13-12,0.41,Counts,0.0273,2023-02-05,Warm Up 2022,1,13,12,125,1,1097.48,1207.42,1222.48,1207.01,1222.48,33.373704000000004,Central Florida,7
65,Temple,Win 12-11,7.77,Counts,0.0273,2023-02-05,Warm Up 2022,1,12,11,125,1,1359.72,1200.05,1484.72,1192.28,1484.72,40.532856,Central Florida,8
106,LSU,Loss 8-11,-13.65,Counts,0.030699999999999998,2023-02-19,Mardi Gras XXXIV,0,8,11,-365.61,-3,1141.7,1221.48,776.09,1235.13,776.09,23.825962999999998,Central Florida,9
365,LSU-B,Win 13-1,0,Ignored,0,2023-02-19,Mardi Gras XXXIV,1,13,1,600,12,336.11,1207.83,936.11,1207.83,0,0,Central Florida,10
190,Illinois State,Win 13-3,5.96,Counts,0.030699999999999998,2023-02-19,Mardi Gras XXXIV,1,13,3,600,10,796.31,1201.87,1396.31,1195.9099999999999,1396.31,42.866716999999994,Central Florida,11
114,Florida State,Win 13-6,15.48,Counts,0.030699999999999998,2023-02-19,Mardi Gras XXXIV,1,13,6,600,7,1097.48,1192.35,1697.48,1176.87,1697.48,52.112635999999995,Central Florida,12
