OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
271,Cedarville,Win 9-6,8,Counts,0.039599999999999996,2023-02-19,Commonwealth Cup Weekend 1,1,9,6,418.57,3,498.09,714.7,916.66,706.7,916.66,36.299735999999996,Clemson,1
149,SUNY-Binghamton,Loss 6-7,4.19,Counts,0.0369,2023-02-19,Commonwealth Cup Weekend 1,0,6,7,-125,-1,957.14,718.51,832.14,714.3199999999999,832.14,30.705966,Clemson,2
281,North Carolina State-B,Win 13-4,14.46,Counts,0.0446,2023-02-19,Commonwealth Cup Weekend 1,1,13,4,600,9,432.72,708.24,1032.72,693.78,1032.72,46.059312,Clemson,3
64,Northwestern,Loss 8-13,6.99,Counts,0.0446,2023-02-19,Commonwealth Cup Weekend 1,0,8,13,-496.16,-5,1368.8,715.7,872.6399999999999,708.71,872.6399999999999,38.919743999999994,Clemson,4
119,Connecticut,Win 14-10,35.28,Counts,0.0446,2023-02-20,Commonwealth Cup Weekend 1,1,14,10,398.7,4,1080.53,687.42,1479.23,652.14,1479.23,65.973658,Clemson,5
46,Cincinnati,Loss 6-15,0,Ignored,0,2023-02-26,Easterns Qualifiers 2022,0,6,15,-600,-9,1482.34,722.7,882.3399999999999,722.7,0,0,Clemson,6
26,Auburn,Loss 10-15,21.87,Counts,0.0472,2023-02-26,Easterns Qualifiers 2022,0,10,15,-453.6,-5,1617.76,700.83,1164.1599999999999,678.96,1164.1599999999999,54.94835199999999,Clemson,7
41,North Carolina-Charlotte,Loss 5-15,0,Ignored,0,2023-02-26,Easterns Qualifiers 2022,0,5,15,-600,-10,1508.52,722.7,908.52,722.7,0,0,Clemson,8
93,Harvard,Loss 9-15,-2.29,Counts,0.0472,2023-02-27,Easterns Qualifiers 2022,0,9,15,-515.48,-6,1191.89,724.99,676.4100000000001,727.28,676.4100000000001,31.926552000000004,Clemson,9
69,Virginia Tech,Loss 8-15,2.1,Counts,0.0472,2023-02-27,Easterns Qualifiers 2022,0,8,15,-564.81,-7,1329.97,720.59,765.1600000000001,718.49,765.1600000000001,36.115552,Clemson,10
218,Samford,Loss 8-12,-31.44,Counts,0.063,2023-04-02,Magic City Invite,0,8,12,-441.15,-4,696.34,754.14,255.19000000000005,785.58,255.19000000000005,16.076970000000003,Clemson,11
144,Alabama-Birmingham,Loss 3-13,-23.69,Counts,0.063,2023-04-02,Magic City Invite,0,3,13,-600,-10,970.46,746.38,370.46000000000004,770.07,370.46000000000004,23.338980000000003,Clemson,12
335,University of Memphis,Win 13-6,-0.04,Counts,0.063,2023-04-02,Magic City Invite,1,13,6,600,7,122.1,722.74,722.1,722.78,722.1,45.4923,Clemson,13
161,Mississippi State,Loss 7-9,-6.03,Counts,0.057800000000000004,2023-04-03,Magic City Invite,0,7,9,-279.34,-2,903.76,728.73,624.4200000000001,734.76,624.4200000000001,36.09147600000001,Clemson,14
202,Spring Hill College,Loss 1-7,-27.59,Counts,0.045700000000000005,2023-04-03,Magic City Invite,0,1,7,-600,-6,746.71,750.29,146.71000000000004,777.88,146.71000000000004,6.704647000000002,Clemson,15
257,Alabama-B,Win 8-7,-1.82,Counts,0.055999999999999994,2023-04-03,Magic City Invite,1,8,7,125,1,566.95,724.52,691.95,726.34,691.95,38.7492,Clemson,16
117,Appalachian State,Loss 8-13,-10.96,Counts,0.07490000000000001,2023-04-23,Carolina D I College Mens CC 2022,0,8,13,-496.16,-5,1083.57,733.65,587.4099999999999,744.61,587.4099999999999,43.99700899999999,Clemson,17
30,North Carolina-Wilmington,Loss 3-13,0,Ignored,0,2023-04-23,Carolina D I College Mens CC 2022,0,3,13,-600,-10,1594.83,722.7,994.8299999999999,722.7,0,0,Clemson,18
41,North Carolina-Charlotte,Loss 6-13,15.05,Counts,0.07490000000000001,2023-04-23,Carolina D I College Mens CC 2022,0,6,13,-600,-7,1508.52,707.64,908.52,692.59,908.52,68.04814800000001,Clemson,19
14,North Carolina State,Loss 3-13,0,Ignored,0,2023-04-23,Carolina D I College Mens CC 2022,0,3,13,-600,-10,1827.64,722.7,1227.64,722.7,0,0,Clemson,20
79,Charleston,Loss 8-12,7.19,Counts,0.07490000000000001,2023-04-24,Carolina D I College Mens CC 2022,0,8,12,-441.15,-4,1252.6,715.51,811.4499999999999,708.3199999999999,811.4499999999999,60.777605,Clemson,21
117,Appalachian State,Loss 9-15,-12.52,Counts,0.07490000000000001,2023-04-24,Carolina D I College Mens CC 2022,0,9,15,-515.48,-6,1083.57,735.22,568.0899999999999,747.74,568.0899999999999,42.549941,Clemson,22
