OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
175,SUNY Cortland,Loss 3-10,-11.85,Counts,0.1079,2023-04-09,Western NY D III College Mens CC 2022,0,3,10,-600,-7,849.35,359.15,249.35000000000002,371,249.35000000000002,26.904865,Colgate,1
132,Ithaca,Loss 3-8,0,Ignored,0,2023-04-09,Western NY D III College Mens CC 2022,0,3,8,-600,-5,1023.44,347.3,423.44000000000005,347.3,0,0,Colgate,2
217,SUNY-Geneseo,Loss 6-7,25.86,Counts,0.10220000000000001,2023-04-09,Western NY D III College Mens CC 2022,0,6,7,-125,-1,699.49,321.45,574.49,295.59,574.49,58.71287800000001,Colgate,3
338,SUNY-Oneonta,Win 7-6,-14.4,Counts,0.10220000000000001,2023-04-09,Western NY D III College Mens CC 2022,1,7,6,125,1,95.79,361.7,220.79000000000002,376.09999999999997,220.79000000000002,22.564738000000006,Colgate,4
174,Rochester,Loss 10-12,37.28,Counts,0.1235,2023-04-10,Western NY D III College Mens CC 2022,0,10,12,-238.12,-2,849.91,310.03,611.79,272.75,611.79,75.55606499999999,Colgate,5
367,SUNY-Fredonia,Win 15-0,0,Ignored,0,2023-04-10,Western NY D III College Mens CC 2022,1,15,0,600,15,345.92,347.3,945.9200000000001,347.3,0,0,Colgate,6
327,Hamilton,Win 15-5,60.74,Counts,0.1235,2023-04-10,Western NY D III College Mens CC 2022,1,15,5,600,10,178.29,286.56,778.29,225.82,778.29,96.118815,Colgate,7
275,College of New Jersey,Loss 10-13,-37.21,Counts,0.1469,2023-04-30,Metro East D III College Mens Regionals 2022,0,10,13,-328.14,-3,459.33,384.51,131.19,421.71999999999997,131.19,19.271811,Colgate,8
180,Connecticut College,Loss 6-13,-20.49,Counts,0.1469,2023-04-30,Metro East D III College Mens Regionals 2022,0,6,13,-600,-7,828.33,367.79,228.33000000000004,388.28000000000003,228.33000000000004,33.54167700000001,Colgate,9
217,SUNY-Geneseo,Loss 6-15,-42.67,Counts,0.1469,2023-04-30,Metro East D III College Mens Regionals 2022,0,6,15,-600,-9,699.49,389.97,99.49000000000001,432.64000000000004,99.49000000000001,14.615081000000002,Colgate,10
