OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
87,Richmond,Loss 5-13,-9.75,Counts,0.0208,2023-02-19,Commonwealth Cup Weekend 1,0,5,13,-600,-8,1221.1,1090.28,621.0999999999999,1100.03,621.0999999999999,12.918879999999998,Connecticut,1
262,Pittsburgh-B,Win 7-5,-3.69,Counts,0.0165,2023-02-19,Commonwealth Cup Weekend 1,1,7,5,328.14,2,532.82,1084.22,860.96,1087.91,860.96,14.205840000000002,Connecticut,2
179,West Virginia,Loss 7-8,-7.09,Counts,0.018500000000000003,2023-02-19,Commonwealth Cup Weekend 1,0,7,8,-125,-1,828.6,1087.62,703.6,1094.7099999999998,703.6,13.016600000000002,Connecticut,3
271,Cedarville,Win 15-7,0.37,Counts,0.0208,2023-02-20,Commonwealth Cup Weekend 1,1,15,7,600,8,498.09,1080.15,1098.09,1079.7800000000002,1098.09,22.840272,Connecticut,4
207,Clemson,Loss 10-14,-16.06,Counts,0.0208,2023-02-20,Commonwealth Cup Weekend 1,0,10,14,-398.7,-4,722.7,1096.59,324.00000000000006,1112.6499999999999,324.00000000000006,6.739200000000001,Connecticut,5
165,MIT,Win 13-11,1.11,Counts,0.0233,2023-03-05,No Sleep Till Brooklyn 2022,1,13,11,228.84,2,898.08,1079.42,1126.92,1078.3100000000002,1126.92,26.257236000000002,Connecticut,6
209,SUNY-Stony Brook,Win 9-7,-1.87,Counts,0.021400000000000002,2023-03-05,No Sleep Till Brooklyn 2022,1,9,7,279.34,2,715.85,1082.4,995.19,1084.27,995.19,21.297066000000004,Connecticut,7
123,Williams,Loss 5-13,-14.49,Counts,0.0233,2023-03-05,No Sleep Till Brooklyn 2022,0,5,13,-600,-8,1073.97,1095.02,473.97,1109.51,473.97,11.043501000000001,Connecticut,8
154,NYU,Loss 5-13,-17.44,Counts,0.0233,2023-03-05,No Sleep Till Brooklyn 2022,0,5,13,-600,-8,950.57,1097.97,350.57000000000005,1115.41,350.57000000000005,8.168281000000002,Connecticut,9
76,Columbia,Loss 5-13,-9.95,Counts,0.0233,2023-03-06,No Sleep Till Brooklyn 2022,0,5,13,-600,-8,1264.23,1090.47,664.23,1100.42,664.23,15.476559000000002,Connecticut,10
