OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
339,SUNY Binghamton-B,Loss 5-12,-43.81,Counts,0.0874,2023-03-26,New York Invite,0,5,12,-600,-7,90,8.69,-510,52.5,-510,-44.574000000000005,Cornell-B,1
276,Connecticut-B,Loss 6-13,-8.98,Counts,0.0911,2023-03-26,New York Invite,0,6,13,-600,-7,457.84,43.52,-142.16000000000003,52.5,-142.16000000000003,-12.950776000000003,Cornell-B,2
369,SUNY-Albany-B,Win 13-2,26.5,Counts,0.0911,2023-03-26,New York Invite,1,13,2,600,11,388.05,79,988.05,52.5,988.05,90.011355,Cornell-B,3
193,Vermont-C,Loss 3-13,0,Ignored,0,2023-03-26,New York Invite,0,3,13,-600,-10,786.67,52.51,186.66999999999996,52.51,0,0,Cornell-B,4
157,Liberty,Loss 8-15,44.53,Counts,0.0965,2023-04-02,Atlantic Coast Open,0,8,15,-564.81,-7,929.3,97.03,364.49,52.5,364.49,35.173285,Cornell-B,5
51,Penn State,Loss 1-15,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,1,15,-600,-14,1449.51,52.51,849.51,52.51,0,0,Cornell-B,6
153,Johns Hopkins,Loss 2-15,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,2,15,-600,-13,953.29,52.51,353.28999999999996,52.51,0,0,Cornell-B,7
37,Virginia,Loss 1-15,0,Ignored,0,2023-04-02,Atlantic Coast Open,0,1,15,-600,-14,1514.83,52.51,914.8299999999999,52.51,0,0,Cornell-B,8
236,Shippensburg,Loss 5-10,12.32,Counts,0.0857,2023-04-03,Atlantic Coast Open,0,5,10,-573.9,-5,652.75,64.82,78.85000000000002,52.49999999999999,78.85000000000002,6.7574450000000015,Cornell-B,9
214,Wooster,Loss 6-15,0,Ignored,0,2023-04-03,Atlantic Coast Open,0,6,15,-600,-9,702.25,52.51,102.25,52.51,0,0,Cornell-B,10
369,SUNY-Albany-B,Win 11-7,16.51,Counts,0.1117,2023-04-23,Metro East Dev College Mens CC 2022,1,11,7,466.89,4,388.05,69.02,854.94,52.50999999999999,854.94,95.496798,Cornell-B,11
342,SUNY-Stony Brook-B,Loss 6-12,-57.73,Counts,0.1117,2023-04-23,Metro East Dev College Mens CC 2022,0,6,12,-579.31,-6,67.57,5.23,-511.73999999999995,62.959999999999994,-511.73999999999995,-57.16135799999999,Cornell-B,12
355,Syracuse-B,Win 10-8,23.02,Counts,0.1117,2023-04-23,Metro East Dev College Mens CC 2022,1,10,8,262.67,2,132.07,75.52,394.74,52.5,394.74,44.092458,Cornell-B,13
276,Connecticut-B,Loss 8-12,8.97,Counts,0.11470000000000001,2023-04-24,Metro East Dev College Mens CC 2022,0,8,12,-441.15,-4,457.84,61.47,16.689999999999998,52.5,16.689999999999998,1.914343,Cornell-B,14
309,SUNY-Binghamton-B,Loss 5-9,-21.29,Counts,0.09849999999999999,2023-04-24,Metro East Dev College Mens CC 2022,0,5,9,-529.06,-4,281.65,31.21,-247.40999999999997,52.5,-247.40999999999997,-24.369884999999993,Cornell-B,15
