OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
71,Southern California,Win 8-7,4.48,Counts,0.023700000000000002,2023-02-19,Presidents Day Invite 2022,1,8,7,125,1,1291.65,1227.85,1416.65,1223.37,1416.65,33.574605000000005,Cornell,1
58,Stanford,Win 10-8,11.81,Counts,0.026000000000000002,2023-02-19,Presidents Day Invite 2022,1,10,8,262.67,2,1412.07,1220.52,1674.74,1208.71,1674.74,43.543240000000004,Cornell,2
61,California-San Diego,Loss 8-12,-7.6,Counts,0.026699999999999998,2023-02-19,Presidents Day Invite 2022,0,8,12,-441.15,-4,1396.69,1239.93,955.5400000000001,1247.53,955.5400000000001,25.512918,Cornell,3
29,UCLA,Loss 9-10,6.59,Counts,0.026699999999999998,2023-02-19,Presidents Day Invite 2022,0,9,10,-125,-1,1597.35,1225.75,1472.35,1219.16,1472.35,39.311744999999995,Cornell,4
36,California-Santa Cruz,Loss 7-10,-2.54,Counts,0.0253,2023-02-20,Presidents Day Invite 2022,0,7,10,-389.67,-3,1524.13,1234.87,1134.46,1237.4099999999999,1134.46,28.701838000000002,Cornell,5
19,Oregon,Loss 9-14,0.08,Counts,0.026699999999999998,2023-02-20,Presidents Day Invite 2022,0,9,14,-473.87,-5,1709,1232.26,1235.13,1232.18,1235.13,32.977971000000004,Cornell,6
6,Cal Poly-SLO,Loss 9-14,7.67,Counts,0.026699999999999998,2023-02-20,Presidents Day Invite 2022,0,9,14,-473.87,-5,1985.66,1224.66,1511.79,1216.99,1511.79,40.364793,Cornell,7
61,California-San Diego,Loss 6-14,-11.96,Counts,0.026699999999999998,2023-02-21,Presidents Day Invite 2022,0,6,14,-600,-8,1396.69,1244.29,796.69,1256.25,796.69,21.271622999999998,Cornell,8
29,UCLA,Loss 7-8,5.84,Counts,0.023700000000000002,2023-02-21,Presidents Day Invite 2022,0,7,8,-125,-1,1597.35,1226.5,1472.35,1220.66,1472.35,34.894695,Cornell,9
236,Shippensburg,Loss 2-9,-33.78,Counts,0.0278,2023-03-19,Oak Creek Invite,0,2,9,-600,-7,652.75,1266.12,52.75,1299.8999999999999,52.75,1.4664499999999998,Cornell,10
136,American,Loss 9-10,-12,Counts,0.0337,2023-03-19,Oak Creek Invite,0,9,10,-125,-1,1012.78,1244.34,887.78,1256.34,887.78,29.918186,Cornell,11
59,Georgetown,Loss 5-13,-14.95,Counts,0.0337,2023-03-19,Oak Creek Invite,0,5,13,-600,-8,1403.18,1247.28,803.1800000000001,1262.23,803.1800000000001,27.067166000000004,Cornell,12
123,Williams,Loss 6-12,-24.99,Counts,0.032799999999999996,2023-03-19,Oak Creek Invite,0,6,12,-579.31,-6,1073.97,1257.32,494.6600000000001,1282.31,494.6600000000001,16.224848,Cornell,13
165,MIT,Loss 9-12,-23.67,Counts,0.0337,2023-03-20,Oak Creek Invite,0,9,12,-345.37,-3,898.08,1256.01,552.71,1279.68,552.71,18.626327000000003,Cornell,14
362,American-B,Win 15-1,0,Ignored,0,2023-03-20,Oak Creek Invite,1,15,1,600,14,240.8,1232.33,840.8,1232.33,0,0,Cornell,15
67,James Madison,Win 13-10,17.15,Counts,0.0378,2023-04-02,Atlantic Coast Open,1,13,10,328.14,3,1340.98,1215.18,1669.12,1198.03,1669.12,63.092735999999995,Cornell,16
93,Harvard,Win 12-11,3.32,Counts,0.0378,2023-04-02,Atlantic Coast Open,1,12,11,125,1,1191.89,1229.01,1316.89,1225.69,1316.89,49.778442000000005,Cornell,17
74,Navy,Win 13-11,10.75,Counts,0.0378,2023-04-02,Atlantic Coast Open,1,13,11,228.84,2,1277.32,1221.58,1506.1599999999999,1210.83,1506.1599999999999,56.93284799999999,Cornell,18
59,Georgetown,Win 14-11,19.01,Counts,0.0378,2023-04-02,Atlantic Coast Open,1,14,11,313.34,3,1403.18,1213.32,1716.52,1194.31,1716.52,64.884456,Cornell,19
100,Lehigh,Loss 10-12,-12.42,Counts,0.0378,2023-04-03,Atlantic Coast Open,0,10,12,-238.12,-2,1154.27,1244.75,916.15,1257.17,916.15,34.63047,Cornell,20
136,American,Win 15-8,13.56,Counts,0.0378,2023-04-03,Atlantic Coast Open,1,15,8,564.81,7,1012.78,1218.78,1577.59,1205.22,1577.59,59.632901999999994,Cornell,21
59,Georgetown,Loss 6-8,-4.35,Counts,0.032400000000000005,2023-04-03,Atlantic Coast Open,0,6,8,-300.49,-2,1403.18,1236.68,1102.69,1241.03,1102.69,35.72715600000001,Cornell,22
96,RIT,Win 9-8,2.69,Counts,0.0379,2023-04-09,Western NY D I College Mens CC 2022,1,9,8,125,1,1175.71,1229.64,1300.71,1226.95,1300.71,49.29690900000001,Cornell,23
149,SUNY-Binghamton,Win 11-5,12.39,Counts,0.036699999999999997,2023-04-09,Western NY D I College Mens CC 2022,1,11,5,600,6,957.14,1219.95,1557.1399999999999,1207.56,1557.1399999999999,57.14703799999999,Cornell,24
246,Syracuse,Win 11-4,0,Ignored,0,2023-04-09,Western NY D I College Mens CC 2022,1,11,4,600,7,613.87,1232.33,1213.87,1232.33,0,0,Cornell,25
145,SUNY-Buffalo,Win 8-6,1.31,Counts,0.0344,2023-04-09,Western NY D I College Mens CC 2022,1,8,6,300.49,2,968.61,1231.03,1269.1,1229.72,1269.1,43.657039999999995,Cornell,26
105,Rutgers,Win 13-7,23.36,Counts,0.047599999999999996,2023-04-30,Metro East D I College Mens Regionals 2022,1,13,7,557.53,6,1142.11,1208.98,1699.6399999999999,1185.6200000000001,1699.6399999999999,80.902864,Cornell,27
247,SUNY-Albany,Win 15-9,-5.2,Counts,0.047599999999999996,2023-04-30,Metro East D I College Mens Regionals 2022,1,15,9,515.48,6,612.9,1237.53,1128.38,1242.73,1128.38,53.710888000000004,Cornell,28
76,Columbia,Win 15-11,20.65,Counts,0.047599999999999996,2023-05-01,Metro East D I College Mens Regionals 2022,1,15,11,381.16,4,1264.23,1211.69,1645.39,1191.04,1645.39,78.320564,Cornell,29
119,Connecticut,Loss 12-14,-18.63,Counts,0.047599999999999996,2023-05-01,Metro East D I College Mens Regionals 2022,0,12,14,-220.96,-2,1080.53,1250.97,859.5699999999999,1269.6000000000001,859.5699999999999,40.91553199999999,Cornell,30
