OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
219,Swarthmore,Win 15-7,57.92,Counts,0.08070000000000001,2023-03-19,Jersey Devil,1,15,7,600,8,694.16,576.49,1294.1599999999999,518.57,1294.1599999999999,104.438712,Dartmouth-B,1
125,Yale,Loss 9-10,27.28,Counts,0.08070000000000001,2023-03-19,Jersey Devil,0,9,10,-125,-1,1070.13,607.13,945.1300000000001,579.85,945.1300000000001,76.27199100000001,Dartmouth-B,2
314,Edinboro,Win 12-9,-2.71,Counts,0.08070000000000001,2023-03-19,Jersey Devil,1,12,9,345.37,3,258.18,637.12,603.55,639.83,603.55,48.706485,Dartmouth-B,3
125,Yale,Win 11-10,49.23,Counts,0.08070000000000001,2023-03-20,Jersey Devil,1,11,10,125,1,1070.13,585.18,1195.13,535.9499999999999,1195.13,96.44699100000001,Dartmouth-B,4
184,Massachusetts-C,Loss 7-13,-42.96,Counts,0.1017,2023-04-16,Greater New England Dev College Mens CC 2022,0,7,13,-557.53,-6,812.41,677.38,254.88,720.34,254.88,25.921295999999998,Dartmouth-B,5
NA,Amherst College-B,Win 13-4,0,Ignored,0,2023-04-16,Greater New England Dev College Mens CC 2022,1,13,4,600,9,NA,634.41,NA,634.41,0,NA,Dartmouth-B,6
235,Vermont-B,Loss 3-13,-65.73,Counts,0.1017,2023-04-17,Greater New England Dev College Mens CC 2022,0,3,13,-600,-10,653.78,700.14,53.77999999999997,765.87,53.77999999999997,5.469425999999997,Dartmouth-B,7
184,Massachusetts-C,Loss 6-13,-58.05,Counts,0.1209,2023-05-07,New England Dev College Mens Regionals 2022,0,6,13,-600,-7,812.41,692.47,212.40999999999997,750.52,212.40999999999997,25.680368999999995,Dartmouth-B,8
NA,Tufts-B,Win 13-9,8.9,Counts,0.1209,2023-05-07,New England Dev College Mens Regionals 2022,1,13,9,418.57,4,280.57,625.51,699.14,616.61,699.14,84.52602599999999,Dartmouth-B,9
104,Brown-B,Loss 4-11,-11.26,Counts,0.111,2023-05-08,New England Dev College Mens Regionals 2022,0,4,11,-600,-7,1144.17,645.68,544.1700000000001,656.9399999999999,544.1700000000001,60.40287000000001,Dartmouth-B,10
NA,Tufts-B,Win 13-6,33.86,Counts,0.1209,2023-05-08,New England Dev College Mens Regionals 2022,1,13,6,600,7,280.57,600.55,880.5699999999999,566.6899999999999,880.5699999999999,106.46091299999999,Dartmouth-B,11
