OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
231,Messiah,Win 12-10,3.58,Counts,0.0451,2023-03-05,FCS D III Tune Up,1,12,10,238.12,2,664.18,822.8,902.3,819.2199999999999,902.3,40.69373,Davidson,1
206,Kenyon,Win 11-9,7,Counts,0.0451,2023-03-05,FCS D III Tune Up,1,11,9,249.21,2,725.52,819.38,974.73,812.38,974.73,43.960323,Davidson,2
50,Berry,Loss 7-13,3.11,Counts,0.0451,2023-03-05,FCS D III Tune Up,0,7,13,-557.53,-6,1449.81,823.28,892.28,820.17,892.28,40.241828,Davidson,3
99,Oberlin,Loss 12-13,9.85,Counts,0.0451,2023-03-05,FCS D III Tune Up,0,12,13,-125,-1,1159.9,816.54,1034.9,806.6899999999999,1034.9,46.67399,Davidson,4
110,Christopher Newport,Loss 5-13,-14.74,Counts,0.0451,2023-03-06,FCS D III Tune Up,0,5,13,-600,-8,1114.15,841.13,514.1500000000001,855.87,514.1500000000001,23.188165000000005,Davidson,5
74,Navy,Loss 11-12,15.39,Counts,0.0451,2023-03-06,FCS D III Tune Up,0,11,12,-125,-1,1277.32,811,1152.32,795.61,1152.32,51.969632,Davidson,6
214,Wooster,Loss 9-11,-17.63,Counts,0.0451,2023-03-06,FCS D III Tune Up,0,9,11,-249.21,-2,702.25,844.02,453.03999999999996,861.65,453.03999999999996,20.432104,Davidson,7
50,Berry,Loss 11-15,13.73,Counts,0.0536,2023-03-26,Needle in a Ho Stack,0,11,15,-381.16,-4,1449.81,812.66,1068.6499999999999,798.93,1068.6499999999999,57.27963999999999,Davidson,8
195,Georgia College,Win 11-10,4.22,Counts,0.0536,2023-03-26,Needle in a Ho Stack,1,11,10,125,1,775.91,822.17,900.91,817.9499999999999,900.91,48.288776,Davidson,9
191,Wake Forest,Win 10-9,5.08,Counts,0.0536,2023-03-26,Needle in a Ho Stack,1,10,9,125,1,791.08,821.31,916.08,816.2299999999999,916.08,49.101888,Davidson,10
110,Christopher Newport,Loss 9-15,-12.9,Counts,0.0536,2023-03-27,Needle in a Ho Stack,0,9,15,-515.48,-6,1114.15,839.29,598.6700000000001,852.1899999999999,598.6700000000001,32.08871200000001,Davidson,11
218,Samford,Win 15-11,14.23,Counts,0.0536,2023-03-27,Needle in a Ho Stack,1,15,11,381.16,4,696.34,812.16,1077.5,797.93,1077.5,57.754000000000005,Davidson,12
117,Appalachian State,Loss 7-13,-17.02,Counts,0.0536,2023-03-27,Needle in a Ho Stack,0,7,13,-557.53,-6,1083.57,843.41,526.04,860.43,526.04,28.195743999999998,Davidson,13
282,High Point,Win 14-12,-13.18,Counts,0.0676,2023-04-23,Carolina D III College Mens CC 2022,1,14,12,220.96,2,423.59,839.56,644.55,852.7399999999999,644.55,43.57157999999999,Davidson,14
243,Elon,Win 11-8,11.9,Counts,0.0676,2023-04-23,Carolina D III College Mens CC 2022,1,11,8,365.61,3,624.96,814.49,990.57,802.59,990.57,66.962532,Davidson,15
188,Mary Washington,Loss 12-15,-26.96,Counts,0.0758,2023-05-07,Atlantic Coast D III College Mens Regionals 2022,0,12,15,-300.49,-3,798.38,853.34,497.89,880.3000000000001,497.89,37.740062,Davidson,16
74,Navy,Loss 6-15,-12.23,Counts,0.0758,2023-05-07,Atlantic Coast D III College Mens Regionals 2022,0,6,15,-600,-9,1277.32,838.62,677.3199999999999,850.85,677.3199999999999,51.340856,Davidson,17
243,Elon,Win 12-7,26.18,Counts,0.0758,2023-05-07,Atlantic Coast D III College Mens Regionals 2022,1,12,7,520.51,5,624.96,800.21,1145.47,774.0300000000001,1145.47,86.826626,Davidson,18
