OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
33,Purdue,Loss 1-13,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,1,13,-600,-12,1588.79,701.9,988.79,701.9,0,0,DePaul,1
68,Colorado College,Loss 4-10,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,4,10,-600,-6,1340.93,701.9,740.9300000000001,701.9,0,0,DePaul,2
103,John Brown,Loss 4-10,-9.28,Counts,0.0572,2023-03-05,Midwest Throwdown 2022,0,4,10,-600,-6,1148.73,711.19,548.73,720.47,548.73,31.387356,DePaul,3
312,Washington University-B,Win 12-6,9.7,Counts,0.0637,2023-03-05,Midwest Throwdown 2022,1,12,6,579.31,6,265.15,692.21,844.4599999999999,682.51,844.4599999999999,53.792102,DePaul,4
64,Northwestern,Loss 2-11,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,2,11,-600,-9,1368.8,701.9,768.8,701.9,0,0,DePaul,5
249,St John's,Win 13-6,35.62,Counts,0.0654,2023-03-06,Midwest Throwdown 2022,1,13,6,600,7,610.8,666.28,1210.8,630.66,1210.8,79.18632,DePaul,6
189,Wisconsin-Eau Claire,Loss 12-13,-2,Counts,0.0654,2023-03-06,Midwest Throwdown 2022,0,12,13,-125,-1,798.26,703.91,673.26,705.91,673.26,44.031204,DePaul,7
78,Missouri,Loss 4-9,-3.58,Counts,0.0682,2023-04-02,Huck Finn 2022,0,4,9,-600,-5,1253.01,705.48,653.01,709.0600000000001,653.01,44.535281999999995,DePaul,8
54,Missouri S&T,Loss 6-13,11.21,Counts,0.0824,2023-04-02,Huck Finn 2022,0,6,13,-600,-7,1426.73,690.69,826.73,679.48,826.73,68.122552,DePaul,9
70,Chicago,Loss 1-5,0,Ignored,0,2023-04-02,Huck Finn 2022,0,1,5,-600,-4,1327.52,701.9,727.52,701.9,0,0,DePaul,10
64,Northwestern,Loss 5-14,0,Ignored,0,2023-04-02,Huck Finn 2022,0,5,14,-600,-9,1368.8,701.9,768.8,701.9,0,0,DePaul,11
232,Oklahoma,Loss 6-10,-43.99,Counts,0.0756,2023-04-03,Huck Finn 2022,0,6,10,-496.16,-4,660.44,745.89,164.28000000000003,789.88,164.28000000000003,12.419568000000002,DePaul,12
91,Kentucky,Loss 4-15,-9.34,Counts,0.0824,2023-04-03,Huck Finn 2022,0,4,15,-600,-11,1197.89,711.24,597.8900000000001,720.58,597.8900000000001,49.26613600000001,DePaul,13
70,Chicago,Loss 7-10,24.11,Counts,0.09269999999999999,2023-04-23,Illinois D I College Mens CC 2022,0,7,10,-389.67,-3,1327.52,677.79,937.8499999999999,653.68,937.8499999999999,86.93869499999998,DePaul,14
190,Illinois State,Loss 4-10,-47.35,Counts,0.08560000000000001,2023-04-23,Illinois D I College Mens CC 2022,0,4,10,-600,-6,796.31,749.25,196.30999999999995,796.6,196.30999999999995,16.804135999999996,DePaul,15
NA,University of Illinois at Chicago,Win 9-6,12.04,Counts,0.08710000000000001,2023-04-23,Illinois D I College Mens CC 2022,1,9,6,418.57,3,409.49,689.86,828.06,677.82,828.06,72.124026,DePaul,16
221,Loyola-Chicago,Win 9-6,38.94,Counts,0.08710000000000001,2023-04-24,Illinois D I College Mens CC 2022,1,9,6,418.57,3,691.51,662.96,1110.08,624.02,1110.08,96.68796800000001,DePaul,17
NA,University of Illinois at Chicago,Win 8-7,-15.97,Counts,0.08710000000000001,2023-04-24,Illinois D I College Mens CC 2022,1,8,7,125,1,409.49,717.87,534.49,733.84,534.49,46.55407900000001,DePaul,18
