OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
127,South Carolina-B,Loss 2-13,0,Ignored,0,2023-03-05,Smellfish Invite,0,2,13,-600,-11,1057.1,58.12,457.0999999999999,58.12,0,0,Delaware-B,1
268,James Madison-B,Loss 1-11,-2.33,Counts,0.056900000000000006,2023-03-05,Smellfish Invite,0,1,11,-600,-10,503.34,55.79,-96.660000000000025,58.12,-96.660000000000025,-5.4999540000000025,Delaware-B,2
200,ETSU,Loss 3-13,0,Ignored,0,2023-03-05,Smellfish Invite,0,3,13,-600,-10,751.08,58.12,151.08000000000004,58.12,0,0,Delaware-B,3
345,William & Mary-B,Loss 4-12,-31.37,Counts,0.0596,2023-03-06,Smellfish Invite,0,4,12,-600,-8,46.4,26.75,-553.6,58.120000000000005,-553.6,-32.99456,Delaware-B,4
307,Virginia Tech-B,Loss 6-13,-16.44,Counts,0.0621,2023-03-06,Smellfish Invite,0,6,13,-600,-7,293.39,41.68,-306.61,58.120000000000005,-306.61,-19.040481000000003,Delaware-B,5
329,Princeton-B,Loss 5-12,-26.43,Counts,0.0668,2023-03-19,Jersey Devil,0,5,12,-600,-7,172.92,31.69,-427.08000000000004,58.120000000000005,-427.08000000000004,-28.528944000000003,Delaware-B,6
295,Haverford,Loss 9-12,5.98,Counts,0.0697,2023-03-19,Jersey Devil,0,9,12,-345.37,-3,367.14,64.1,21.769999999999982,58.11999999999999,21.769999999999982,1.5173689999999986,Delaware-B,7
235,Vermont-B,Loss 5-15,0,Ignored,0,2023-03-19,Jersey Devil,0,5,15,-600,-10,653.78,58.12,53.77999999999997,58.12,0,0,Delaware-B,8
228,Maryland-B,Loss 6-14,0,Ignored,0,2023-04-23,Colonial Dev College Mens CC 2022,0,6,14,-600,-8,676.95,58.12,76.95000000000005,58.12,0,0,Delaware-B,9
359,Georgetown-B,Win 10-9,2.59,Counts,0.09300000000000001,2023-04-23,Colonial Dev College Mens CC 2022,1,10,9,125,1,157.89,60.71,282.89,58.120000000000005,282.89,26.308770000000003,Delaware-B,10
362,American-B,Win 15-10,27.77,Counts,0.09300000000000001,2023-04-24,Colonial Dev College Mens CC 2022,1,15,10,453.6,5,240.8,85.89,694.4000000000001,58.120000000000005,694.4000000000001,64.57920000000001,Delaware-B,11
316,George Washington-B,Loss 7-14,-28.45,Counts,0.09300000000000001,2023-04-24,Colonial Dev College Mens CC 2022,0,7,14,-582.89,-7,247.2,29.67,-335.69,58.120000000000005,-335.69,-31.219170000000005,Delaware-B,12
354,Towson -B,Win 12-11,5.38,Counts,0.09300000000000001,2023-04-24,Colonial Dev College Mens CC 2022,1,12,11,125,1,130.65,63.5,255.65,58.12,255.65,23.775450000000003,Delaware-B,13
228,Maryland-B,Loss 2-15,0,Ignored,0,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,0,2,15,-600,-13,676.95,58.12,76.95000000000005,58.12,0,0,Delaware-B,14
316,George Washington-B,Win 14-10,82.03,Counts,0.10439999999999999,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,1,14,10,398.7,4,247.2,140.15,645.9,58.120000000000005,645.9,67.43195999999999,Delaware-B,15
354,Towson -B,Loss 8-11,-51.05,Counts,0.10439999999999999,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,0,8,11,-365.61,-3,130.65,7.07,-234.96,58.12,-234.96,-24.529823999999998,Delaware-B,16
316,George Washington-B,Loss 30-30,35.58,Counts,0.10439999999999999,2023-05-08,Atlantic Coast Dev College Mens Regionals 2022,0,30,30,-0,0,247.2,93.7,247.2,58.120000000000005,247.2,25.807679999999998,Delaware-B,17
