OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
68,Colorado College,Loss 6-11,-12.17,Counts,0.0414,2023-02-26,Snow Melt at Colorado College,0,6,11,-546.69,-5,1340.93,1087.98,794.24,1100.15,794.24,32.881536,Denver,1
NA,Colorado School of Mines-B,Win 13-2,0,Ignored,0,2023-02-26,Snow Melt at Colorado College,1,13,2,600,11,NA,1075.81,NA,1075.81,0,NA,Denver,2
199,Air Force,Win 11-5,12.01,Counts,0.04019999999999999,2023-02-26,Snow Melt at Colorado College,1,11,5,600,6,762.71,1063.8,1362.71,1051.79,1362.71,54.78094199999999,Denver,3
173,Colorado School of Mines,Loss 7-9,-20.86,Counts,0.04019999999999999,2023-02-27,Snow Melt at Colorado College,0,7,9,-279.34,-2,856.94,1096.68,577.6000000000001,1117.54,577.6000000000001,23.219520000000003,Denver,4
135,Colorado-B,Win 8-6,9.38,Counts,0.037599999999999995,2023-02-27,Snow Melt at Colorado College,1,8,6,300.49,2,1015.4,1066.43,1315.8899999999999,1057.05,1315.8899999999999,49.47746399999999,Denver,5
260,Colorado Mesa,Win 11-4,2.82,Counts,0.0451,2023-03-12,Big Sky Brawl,1,11,4,600,7,535.51,1072.99,1135.51,1070.17,1135.51,51.211501,Denver,6
159,Boise State,Win 11-6,18.8,Counts,0.04650000000000001,2023-03-12,Big Sky Brawl,1,11,6,546.69,5,914.58,1057.01,1461.27,1038.21,1461.27,67.94905500000002,Denver,7
NA,Brigham Young-B,Loss 7-11,-11.92,Counts,0.0478,2023-03-12,Big Sky Brawl,0,7,11,-466.89,-4,1305.48,1087.73,838.59,1099.65,838.59,40.084602000000004,Denver,8
15,Utah State,Loss 8-11,19.77,Counts,0.0492,2023-03-12,Big Sky Brawl,0,8,11,-365.61,-3,1823.82,1056.04,1458.21,1036.27,1458.21,71.743932,Denver,9
45,Utah,Loss 7-11,-2.83,Counts,0.0478,2023-03-13,Big Sky Brawl,0,7,11,-466.89,-4,1486.48,1078.64,1019.59,1081.47,1019.59,48.736402000000005,Denver,10
166,Northern Arizona,Win 11-6,17.94,Counts,0.04650000000000001,2023-03-13,Big Sky Brawl,1,11,6,546.69,5,897.05,1057.87,1443.74,1039.9299999999998,1443.74,67.13391000000001,Denver,11
260,Colorado Mesa,Win 15-4,4.19,Counts,0.06559999999999999,2023-04-16,Rocky Mountain D I College Mens CC 2022,1,15,4,600,11,535.51,1071.62,1135.51,1067.4299999999998,1135.51,74.48945599999999,Denver,12
40,Colorado State,Loss 7-15,-11.68,Counts,0.06559999999999999,2023-04-16,Rocky Mountain D I College Mens CC 2022,0,7,15,-600,-8,1509.55,1087.49,909.55,1099.17,909.55,59.66647999999999,Denver,13
NA,Denver-B,Win 15-1,0,Ignored,0,2023-04-16,Rocky Mountain D I College Mens CC 2022,1,15,1,600,14,11.18,1075.81,611.18,1075.81,0,0,Denver,14
3,Colorado,Loss 3-15,0,Ignored,0,2023-04-17,Rocky Mountain D I College Mens CC 2022,0,3,15,-600,-12,2144.95,1075.81,1544.9499999999998,1075.81,0,0,Denver,15
135,Colorado-B,Loss 7-10,-29.79,Counts,0.0621,2023-04-17,Rocky Mountain D I College Mens CC 2022,0,7,10,-389.67,-3,1015.4,1105.6,625.73,1135.3899999999999,625.73,38.857833,Denver,16
78,Missouri,Loss 9-13,-19.19,Counts,0.0737,2023-04-30,South Central D I College Mens Regionals 2022,0,9,13,-418.57,-4,1253.01,1095.01,834.44,1114.2,834.44,61.498228000000005,Denver,17
72,Texas A&M,Loss 8-9,6.62,Counts,0.0697,2023-04-30,South Central D I College Mens Regionals 2022,0,8,9,-125,-1,1289.26,1069.19,1164.26,1062.5700000000002,1164.26,81.148922,Denver,18
250,Texas-B,Win 13-5,10.64,Counts,0.0737,2023-04-30,South Central D I College Mens Regionals 2022,1,13,5,600,8,609.58,1065.18,1209.58,1054.54,1209.58,89.146046,Denver,19
201,Baylor,Win 15-9,14.89,Counts,0.0737,2023-05-01,South Central D I College Mens Regionals 2022,1,15,9,515.48,6,747.54,1060.93,1263.02,1046.04,1263.02,93.084574,Denver,20
72,Texas A&M,Loss 10-13,-9.12,Counts,0.0737,2023-05-01,South Central D I College Mens Regionals 2022,0,10,13,-328.14,-3,1289.26,1084.93,961.12,1094.05,961.12,70.83454400000001,Denver,21
