OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
123,Williams,Loss 10-14,44.68,Counts,0.09880000000000001,2023-03-26,Layout Pigout 2022,0,10,14,-398.7,-4,1073.97,222.94,675.27,178.26,675.27,66.716676,Dickinson,1
219,Swarthmore,Loss 9-15,-9.75,Counts,0.09880000000000001,2023-03-26,Layout Pigout 2022,0,9,15,-515.48,-6,694.16,277.37,178.67999999999995,287.12,178.67999999999995,17.653584,Dickinson,2
290,Stockton University -Upper,Loss 9-11,-16.17,Counts,0.1047,2023-04-02,Fuego,0,9,11,-249.21,-2,378.52,283.79,129.30999999999997,299.96000000000004,129.30999999999997,13.538756999999997,Dickinson,3
NA,Suny Oswego,Win 10-8,9.65,Counts,0.10189999999999999,2023-04-02,Fuego,1,10,8,262.67,2,90.01,257.98,352.68,248.33,352.68,35.938092,Dickinson,4
355,Syracuse-B,Win 13-6,23.42,Counts,0.1047,2023-04-02,Fuego,1,13,6,600,7,132.07,244.21,732.0699999999999,220.79000000000002,732.0699999999999,76.647729,Dickinson,5
76,Columbia,Loss 2-13,0,Ignored,0,2023-04-03,Fuego,0,2,13,-600,-11,1264.23,267.62,664.23,267.62,0,0,Dickinson,6
231,Messiah,Loss 8-13,-14.16,Counts,0.1245,2023-04-23,West Penn D III College Mens CC 2022,0,8,13,-496.16,-5,664.18,281.78,168.01999999999992,295.94,168.01999999999992,20.91848999999999,Dickinson,7
236,Shippensburg,Loss 7-11,-11.27,Counts,0.1211,2023-04-23,West Penn D III College Mens CC 2022,0,7,11,-466.89,-4,652.75,278.89,185.86,290.15999999999997,185.86,22.507646,Dickinson,8
236,Shippensburg,Loss 7-11,-11.27,Counts,0.1211,2023-04-23,West Penn D III College Mens CC 2022,0,7,11,-466.89,-4,652.75,278.89,185.86,290.15999999999997,185.86,22.507646,Dickinson,9
237,Grove City,Loss 8-13,-16.48,Counts,0.1245,2023-04-23,West Penn D III College Mens CC 2022,0,8,13,-496.16,-5,647.85,284.1,151.69,300.58000000000004,151.69,18.885405,Dickinson,10
