OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
73,Delaware,Loss 3-13,0,Ignored,0,2023-02-26,Oak Creek Challenge,0,3,13,-600,-10,1283.29,625.81,683.29,625.81,0,0,Drexel,1
229,West Chester,Loss 7-10,-16.83,Counts,0.0467,2023-02-26,Oak Creek Challenge,0,7,10,-389.67,-3,671.94,642.64,282.27000000000004,659.47,282.27000000000004,13.182009,Drexel,2
118,Virginia Commonwealth,Loss 4-12,-7.14,Counts,0.047400000000000005,2023-02-26,Oak Creek Challenge,0,4,12,-600,-8,1082.14,632.95,482.1400000000001,640.09,482.1400000000001,22.853436000000006,Drexel,3
215,North Carolina-B,Loss 9-13,-17.78,Counts,0.049400000000000006,2023-02-26,Oak Creek Challenge,0,9,13,-418.57,-4,702.02,643.59,283.45,661.37,283.45,14.00243,Drexel,4
96,RIT,Loss 2-13,-2.6,Counts,0.049400000000000006,2023-02-27,Oak Creek Challenge,0,2,13,-600,-11,1175.71,628.41,575.71,631.01,575.71,28.440074000000006,Drexel,5
110,Christopher Newport,Loss 5-13,-5.8,Counts,0.049400000000000006,2023-02-27,Oak Creek Challenge,0,5,13,-600,-8,1114.15,631.61,514.1500000000001,637.41,514.1500000000001,25.399010000000008,Drexel,6
100,Lehigh,Loss 3-13,-3.71,Counts,0.049400000000000006,2023-02-27,Oak Creek Challenge,0,3,13,-600,-10,1154.27,629.52,554.27,633.23,554.27,27.380938000000004,Drexel,7
98,Pennsylvania,Loss 7-11,5.62,Counts,0.07200000000000001,2023-04-16,East Penn D I College Mens CC 2022,0,7,11,-466.89,-4,1165.17,620.19,698.2800000000001,614.57,698.2800000000001,50.27616000000001,Drexel,8
100,Lehigh,Loss 3-13,-5.71,Counts,0.07400000000000001,2023-04-16,East Penn D I College Mens CC 2022,0,3,13,-600,-10,1154.27,631.52,554.27,637.23,554.27,41.015980000000006,Drexel,9
229,West Chester,Loss 9-11,-16.22,Counts,0.07400000000000001,2023-04-16,East Penn D I College Mens CC 2022,0,9,11,-249.21,-2,671.94,642.03,422.73,658.25,422.73,31.282020000000006,Drexel,10
65,Temple,Loss 6-13,10.69,Counts,0.07400000000000001,2023-04-16,East Penn D I College Mens CC 2022,0,6,13,-600,-7,1359.72,615.12,759.72,604.43,759.72,56.21928000000001,Drexel,11
229,West Chester,Win 10-7,32.78,Counts,0.07,2023-04-17,East Penn D I College Mens CC 2022,1,10,7,389.67,3,671.94,593.03,1061.6100000000001,560.25,1061.6100000000001,74.31270000000002,Drexel,12
62,Carnegie Mellon,Loss 2-13,0,Ignored,0,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,2,13,-600,-11,1384.97,625.81,784.97,625.81,0,0,Drexel,13
48,Case Western Reserve,Loss 4-13,0,Ignored,0,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,4,13,-600,-9,1464.33,625.81,864.3299999999999,625.81,0,0,Drexel,14
251,Wright State,Win 9-8,9.55,Counts,0.0832,2023-05-07,Ohio Valley D I College Mens Regionals 2022,1,9,8,125,1,606.03,616.26,731.03,606.71,731.03,60.821695999999996,Drexel,15
170,Ohio,Loss 7-13,-29.33,Counts,0.08789999999999999,2023-05-08,Ohio Valley D I College Mens Regionals 2022,0,7,13,-557.53,-6,879.22,655.14,321.69000000000005,684.47,321.69000000000005,28.276551,Drexel,16
256,Penn State-B,Win 13-5,53.82,Counts,0.08789999999999999,2023-05-08,Ohio Valley D I College Mens Regionals 2022,1,13,5,600,8,583.9,571.99,1183.9,518.17,1183.9,104.06481,Drexel,17
179,West Virginia,Loss 8-10,-5.61,Counts,0.08560000000000001,2023-05-08,Ohio Valley D I College Mens Regionals 2022,0,8,10,-262.67,-2,828.6,631.42,565.9300000000001,637.03,565.9300000000001,48.44360800000001,Drexel,18
