OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
2,North Carolina,Loss 7-15,-2.68,Counts,0.0286,2023-01-28,Carolina Kickoff 2022,0,7,15,-600,-8,2179.26,1673.08,1579.2600000000002,1675.76,1579.2600000000002,45.166836000000004,Duke,1
51,Penn State,Win 15-8,10.13,Counts,0.0286,2023-01-29,Carolina Kickoff 2022,1,15,8,564.81,7,1449.51,1660.27,2014.32,1650.1399999999999,2014.32,57.609552,Duke,2
117,Appalachian State,Win 15-7,0.39,Counts,0.0286,2023-01-29,Carolina Kickoff 2022,1,15,7,600,8,1083.57,1670.01,1683.57,1669.62,1683.57,48.150102,Duke,3
14,North Carolina State,Loss 10-15,-8.73,Counts,0.0286,2023-01-30,Carolina Kickoff 2022,0,10,15,-453.6,-5,1827.64,1679.13,1374.04,1687.8600000000001,1374.04,39.297544,Duke,4
52,Indiana,Win 15-11,5.68,Counts,0.0361,2023-02-26,Easterns Qualifiers 2022,1,15,11,381.16,4,1441.23,1664.71,1822.39,1659.03,1822.39,65.788279,Duke,5
44,Georgia Tech,Win 14-8,13.27,Counts,0.0361,2023-02-26,Easterns Qualifiers 2022,1,14,8,536.03,6,1489.18,1657.13,2025.21,1643.8600000000001,2025.21,73.11008100000001,Duke,6
69,Virginia Tech,Win 15-9,6.55,Counts,0.0361,2023-02-26,Easterns Qualifiers 2022,1,15,9,515.48,6,1329.97,1663.85,1845.45,1657.3,1845.45,66.620745,Duke,7
26,Auburn,Win 15-8,19.15,Counts,0.0361,2023-02-27,Easterns Qualifiers 2022,1,15,8,564.81,7,1617.76,1651.24,2182.5699999999997,1632.09,2182.5699999999997,78.79077699999999,Duke,8
37,Virginia,Win 14-11,5.9,Counts,0.0361,2023-02-27,Easterns Qualifiers 2022,1,14,11,313.34,3,1514.83,1664.5,1828.1699999999998,1658.6,1828.1699999999998,65.99693699999999,Duke,9
9,Vermont,Loss 7-15,-13.81,Counts,0.0361,2023-02-27,Easterns Qualifiers 2022,0,7,15,-600,-8,1901.02,1684.21,1301.02,1698.02,1301.02,46.966822,Duke,10
79,Charleston,Win 13-6,11.06,Counts,0.0572,2023-04-23,Carolina D I College Mens CC 2022,1,13,6,600,7,1252.6,1659.34,1852.6,1648.28,1852.6,105.96871999999999,Duke,11
42,South Carolina,Loss 10-11,-18.27,Counts,0.0572,2023-04-23,Carolina D I College Mens CC 2022,0,10,11,-125,-1,1494.37,1688.67,1369.37,1706.94,1369.37,78.327964,Duke,12
2,North Carolina,Loss 3-13,-5.53,Counts,0.0572,2023-04-23,Carolina D I College Mens CC 2022,0,3,13,-600,-10,2179.26,1675.93,1579.2600000000002,1681.46,1579.2600000000002,90.333672000000007,Duke,13
191,Wake Forest,Win 13-2,0,Ignored,0,2023-04-23,Carolina D I College Mens CC 2022,1,13,2,600,11,791.08,1670.4,1391.08,1670.4,0,0,Duke,14
79,Charleston,Win 10-9,-17.77,Counts,0.0572,2023-04-24,Carolina D I College Mens CC 2022,1,10,9,125,1,1252.6,1688.17,1377.6,1705.94,1377.6,78.79872,Duke,15
30,North Carolina-Wilmington,Loss 3-12,-39.26,Counts,0.054900000000000004,2023-04-24,Carolina D I College Mens CC 2022,0,3,12,-600,-9,1594.83,1709.66,994.8299999999999,1748.92,994.8299999999999,54.616167,Duke,16
25,Maryland,Win 13-8,33.2,Counts,0.0642,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,8,496.16,5,1657.91,1637.19,2154.07,1603.99,2154.07,138.291294,Duke,17
2,North Carolina,Loss 4-13,-6.26,Counts,0.0642,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,0,4,13,-600,-9,2179.26,1676.65,1579.2600000000002,1682.91,1579.2600000000002,101.388492,Duke,18
59,Georgetown,Win 13-7,19.93,Counts,0.0642,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,7,557.53,6,1403.18,1650.47,1960.71,1630.54,1960.71,125.87758199999999,Duke,19
41,North Carolina-Charlotte,Win 13-10,11.41,Counts,0.0642,2023-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,10,328.14,3,1508.52,1658.98,1836.6599999999999,1647.57,1836.6599999999999,117.91357199999997,Duke,20
25,Maryland,Loss 11-15,-27.02,Counts,0.0642,2023-05-08,Atlantic Coast D I College Mens Regionals 2022,0,11,15,-381.16,-4,1657.91,1697.42,1276.75,1724.44,1276.75,81.96735,Duke,21
14,North Carolina State,Loss 12-13,2.21,Counts,0.0642,2023-05-08,Atlantic Coast D I College Mens Regionals 2022,0,12,13,-125,-1,1827.64,1668.18,1702.64,1665.97,1702.64,109.309488,Duke,22
