OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
233,Navy-B,Win 11-10,24.23,Counts,0.0803,2023-02-26,Cutlass Classic 2022,1,11,10,125,1,656.78,479.93,781.78,455.7,781.78,62.776934,East Carolina,1
117,Appalachian State,Loss 4-13,-1.8,Counts,0.0803,2023-02-26,Cutlass Classic 2022,0,4,13,-600,-9,1083.57,505.95,483.56999999999994,507.75,483.56999999999994,38.830670999999995,East Carolina,2
235,Vermont-B,Loss 11-12,2.15,Counts,0.0803,2023-02-26,Cutlass Classic 2022,0,11,12,-125,-1,653.78,502.01,528.78,499.86,528.78,42.461034,East Carolina,3
243,Elon,Loss 9-10,-0.37,Counts,0.0803,2023-02-26,Cutlass Classic 2022,0,9,10,-125,-1,624.96,504.52,499.96000000000004,504.89,499.96000000000004,40.146788,East Carolina,4
304,Embry-Riddle,Loss 14-15,-28.9,Counts,0.0803,2023-02-27,Cutlass Classic 2022,0,14,15,-125,-1,297.97,533.06,172.97000000000003,561.9599999999999,172.97000000000003,13.889491000000001,East Carolina,5
297,Miami,Win 10-7,25.39,Counts,0.09570000000000001,2023-03-26,Riddle Rumble,1,10,7,389.67,3,354.54,478.76,744.21,453.37,744.21,71.22089700000001,East Carolina,6
325,Central Florida-B,Loss 8-11,-77.06,Counts,0.1011,2023-03-26,Riddle Rumble,0,8,11,-365.61,-3,184.87,581.22,-180.74,658.28,-180.74,-18.272814,East Carolina,7
361,South Florida-B,Win 13-7,-16.36,Counts,0.1011,2023-03-26,Riddle Rumble,1,13,7,557.53,6,198.81,520.52,756.3399999999999,536.88,756.3399999999999,76.46597399999999,East Carolina,8
304,Embry-Riddle,Win 12-6,40.74,Counts,0.0984,2023-03-26,Riddle Rumble,1,12,6,579.31,6,297.97,463.42,877.28,422.68,877.28,86.324352,East Carolina,9
239,Radford,Win 11-9,43.23,Counts,0.1011,2023-03-27,Riddle Rumble,1,11,9,249.21,2,639.15,460.93,888.36,417.7,888.36,89.81319599999999,East Carolina,10
140,Florida Tech,Loss 7-14,-11.42,Counts,0.1011,2023-03-27,Riddle Rumble,0,7,14,-582.89,-7,985.58,515.57,402.69000000000005,526.99,402.69000000000005,40.711959,East Carolina,11
