OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
291,Minnesota-C,Win 8-7,6.13,Counts,0.1002,2023-03-26,Old Capital Open 2022,1,8,7,125,1,377.11,440.91,502.11,434.78000000000003,502.11,50.311422,Eastern Michigan,1
292,Drake University,Win 9-8,6.44,Counts,0.1067,2023-03-26,Old Capital Open 2022,1,9,8,125,1,375.93,440.61,500.93,434.17,500.93,53.449231000000005,Eastern Michigan,2
263,Northern Iowa,Win 11-9,42.29,Counts,0.1128,2023-03-26,Old Capital Open 2022,1,11,9,249.21,2,530.43,404.76,779.64,362.46999999999997,779.64,87.943392,Eastern Michigan,3
259,Minnesota-Duluth,Loss 7-8,-3.74,Counts,0.1002,2023-03-27,Old Capital Open 2022,0,7,8,-125,-1,538.52,450.78,413.52,454.52,413.52,41.434703999999996,Eastern Michigan,4
249,St John's,Loss 6-9,-28.39,Counts,0.1002,2023-03-27,Old Capital Open 2022,0,6,9,-418.57,-3,610.8,475.44,192.22999999999996,503.83,192.22999999999996,19.261445999999996,Eastern Michigan,5
292,Drake University,Win 9-8,6.44,Counts,0.1067,2023-03-27,Old Capital Open 2022,1,9,8,125,1,375.93,440.61,500.93,434.17,500.93,53.449231000000005,Eastern Michigan,6
16,Michigan,Loss 2-13,0,Ignored,0,2023-04-09,Michigan D I College Mens CC 2022,0,2,13,-600,-11,1807.83,447.05,1207.83,447.05,0,0,Eastern Michigan,7
108,Michigan State,Loss 5-13,0,Ignored,0,2023-04-09,Michigan D I College Mens CC 2022,0,5,13,-600,-8,1129.58,447.05,529.5799999999999,447.05,0,0,Eastern Michigan,8
120,Grand Valley State,Loss 6-11,11.77,Counts,0.1198,2023-04-09,Michigan D I College Mens CC 2022,0,6,11,-546.69,-5,1080.22,435.28,533.53,423.51,533.53,63.916894,Eastern Michigan,9
194,Western Michigan,Loss 9-12,-2.15,Counts,0.1266,2023-04-09,Michigan D I College Mens CC 2022,0,9,12,-345.37,-3,777.6,449.2,432.23,451.34999999999997,432.23,54.720318,Eastern Michigan,10
108,Michigan State,Loss 4-15,0,Ignored,0,2023-04-10,Michigan D I College Mens CC 2022,0,4,15,-600,-11,1129.58,447.05,529.5799999999999,447.05,0,0,Eastern Michigan,11
194,Western Michigan,Loss 5-13,-39.07,Counts,0.1266,2023-04-10,Michigan D I College Mens CC 2022,0,5,13,-600,-8,777.6,486.12,177.60000000000002,525.19,177.60000000000002,22.484160000000003,Eastern Michigan,12
