OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
360,Rutgers-B,Win 10-4,9.02,Counts,0.057,2023-02-26,Bring The Huckus 12,1,10,4,600,6,192.65,249.17,792.65,240.14999999999998,792.65,45.18105,Edinboro,1
375,Stevens Tech-B,Win 13-3,0,Ignored,0,2023-02-26,Bring The Huckus 12,1,13,3,600,10,505.58,258.18,1105.58,258.18,0,0,Edinboro,2
358,Lehigh-B,Win 10-5,10.32,Counts,0.057999999999999996,2023-02-26,Bring The Huckus 12,1,10,5,573.9,5,147.99,247.86,721.89,237.54000000000002,721.89,41.86962,Edinboro,3
369,SUNY-Albany-B,Win 7-4,-7.84,Counts,0.0496,2023-02-26,Bring The Huckus 12,1,7,4,496.16,3,388.05,266.02,884.21,273.85999999999996,884.21,43.856816,Edinboro,4
162,Massachusetts-Lowell,Loss 6-13,3.05,Counts,0.0652,2023-02-27,Bring The Huckus 12,0,6,13,-600,-7,901.86,255.13,301.86,252.07999999999998,301.86,19.681272,Edinboro,5
219,Swarthmore,Loss 4-9,-9.36,Counts,0.054000000000000006,2023-02-27,Bring The Huckus 12,0,4,9,-600,-5,694.16,267.54,94.15999999999997,276.90000000000003,94.15999999999997,5.0846399999999985,Edinboro,6
240,Dartmouth-B,Loss 9-12,2.6,Counts,0.0776,2023-03-19,Jersey Devil,0,9,12,-345.37,-3,634.41,255.59,289.03999999999996,252.99,289.03999999999996,22.429503999999998,Edinboro,7
219,Swarthmore,Loss 5-15,-13.8,Counts,0.0776,2023-03-19,Jersey Devil,0,5,15,-600,-10,694.16,271.98,94.15999999999997,285.78000000000003,94.15999999999997,7.306815999999998,Edinboro,8
125,Yale,Loss 8-15,20.79,Counts,0.0776,2023-03-19,Jersey Devil,0,8,15,-564.81,-7,1070.13,237.39,505.32000000000016,216.6,505.32000000000016,39.21283200000001,Edinboro,9
337,Siena,Win 10-6,30.44,Counts,0.0799,2023-04-02,Northeast Classic,1,10,6,496.16,4,112.49,227.74,608.65,197.3,608.65,48.631135,Edinboro,10
256,Penn State-B,Loss 6-10,-14.8,Counts,0.0799,2023-04-02,Northeast Classic,0,6,10,-496.16,-4,583.9,272.99,87.73999999999995,287.79,87.73999999999995,7.010425999999996,Edinboro,11
246,Syracuse,Loss 10-12,11.21,Counts,0.08710000000000001,2023-04-02,Northeast Classic,0,10,12,-238.12,-2,613.87,246.97,375.75,235.76,375.75,32.727825,Edinboro,12
217,SUNY-Geneseo,Loss 6-9,1.91,Counts,0.0774,2023-04-02,Northeast Classic,0,6,9,-418.57,-3,699.49,256.27,280.92,254.35999999999999,280.92,21.743208,Edinboro,13
337,Siena,Loss 4-9,-57.89,Counts,0.07200000000000001,2023-04-03,Northeast Classic,0,4,9,-600,-5,112.49,316.07,-487.51,373.96,-487.51,-35.10072,Edinboro,14
235,Vermont-B,Loss 10-12,15.02,Counts,0.08710000000000001,2023-04-03,Northeast Classic,0,10,12,-238.12,-2,653.78,243.16,415.65999999999997,228.14,415.65999999999997,36.203986,Edinboro,15
