OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
239,Radford,Loss 3-13,-22.29,Counts,0.0793,2023-02-26,Cutlass Classic 2022,0,3,13,-600,-10,639.15,320.27,39.14999999999998,342.56,39.14999999999998,3.104594999999998,Embry-Riddle,1
79,Charleston,Loss 2-13,0,Ignored,0,2023-02-26,Cutlass Classic 2022,0,2,13,-600,-11,1252.6,297.97,652.5999999999999,297.97,0,0,Embry-Riddle,2
168,Kennesaw State,Loss 3-13,-0.61,Counts,0.0793,2023-02-26,Cutlass Classic 2022,0,3,13,-600,-10,890.93,298.58,290.92999999999995,299.19,290.92999999999995,23.070748999999996,Embry-Riddle,3
198,George Washington,Loss 4-13,-11.65,Counts,0.0793,2023-02-26,Cutlass Classic 2022,0,4,13,-600,-9,762.77,309.62,162.76999999999998,321.27,162.76999999999998,12.907660999999997,Embry-Riddle,4
198,George Washington,Loss 3-15,-11.65,Counts,0.0793,2023-02-27,Cutlass Classic 2022,0,3,15,-600,-12,762.77,309.62,162.76999999999998,321.27,162.76999999999998,12.907660999999997,Embry-Riddle,5
266,East Carolina,Win 15-14,28.53,Counts,0.0793,2023-02-27,Cutlass Classic 2022,1,15,14,125,1,504.16,269.45,629.1600000000001,240.92,629.1600000000001,49.892388000000004,Embry-Riddle,6
297,Miami,Win 10-9,20.16,Counts,0.0999,2023-03-26,Riddle Rumble,1,10,9,125,1,354.54,277.82,479.54,257.65999999999997,479.54,47.906046,Embry-Riddle,7
266,East Carolina,Loss 6-12,-40.2,Counts,0.0973,2023-03-26,Riddle Rumble,0,6,12,-579.31,-6,504.16,338.17,-75.14999999999992,378.37,-75.14999999999992,-7.312094999999992,Embry-Riddle,8
140,Florida Tech,Loss 1-13,0,Ignored,0,2023-03-26,Riddle Rumble,0,1,13,-600,-12,985.58,297.97,385.58000000000004,297.97,0,0,Embry-Riddle,9
239,Radford,Loss 13-14,24,Counts,0.0999,2023-03-27,Riddle Rumble,0,13,14,-125,-1,639.15,273.98,514.15,249.98000000000002,514.15,51.363585,Embry-Riddle,10
325,Central Florida-B,Win 10-6,38.67,Counts,0.0917,2023-03-27,Riddle Rumble,1,10,6,496.16,4,184.87,259.31,681.03,220.64,681.03,62.450451,Embry-Riddle,11
361,South Florida-B,Win 9-6,-7.62,Counts,0.0888,2023-03-27,Riddle Rumble,1,9,6,418.57,3,198.81,305.6,617.38,313.22,617.38,54.823344,Embry-Riddle,12
50,Berry,Loss 2-13,0,Ignored,0,2023-04-23,Southeast D III College Mens CC 2022,0,2,13,-600,-11,1449.81,297.97,849.81,297.97,0,0,Embry-Riddle,13
195,Georgia College,Loss 3-13,-17.58,Counts,0.1259,2023-04-23,Southeast D III College Mens CC 2022,0,3,13,-600,-10,775.91,315.55,175.90999999999997,333.13,175.90999999999997,22.147069,Embry-Riddle,14
83,Union (Tennessee),Loss 1-13,0,Ignored,0,2023-04-23,Southeast D III College Mens CC 2022,0,1,13,-600,-12,1241.67,297.97,641.6700000000001,297.97,0,0,Embry-Riddle,15
140,Florida Tech,Loss 1-13,0,Ignored,0,2023-04-24,Southeast D III College Mens CC 2022,0,1,13,-600,-12,985.58,297.97,385.58000000000004,297.97,0,0,Embry-Riddle,16
