OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
228,Maryland-B,Loss 6-11,-4.35,Counts,0.0359,2023-03-05,Smellfish Invite,0,6,11,-546.69,-5,676.95,251.55,130.26,255.9,130.26,4.676334,George Washington-B,1
307,Virginia Tech-B,Win 10-6,19.56,Counts,0.0348,2023-03-05,Smellfish Invite,1,10,6,496.16,4,293.39,227.64,789.55,208.07999999999998,789.55,27.476339999999997,George Washington-B,2
345,William & Mary-B,Win 10-4,13.68,Counts,0.0331,2023-03-05,Smellfish Invite,1,10,4,600,6,46.4,233.52,646.4,219.84,646.4,21.395839999999996,George Washington-B,3
228,Maryland-B,Loss 10-11,12.02,Counts,0.0379,2023-03-06,Smellfish Invite,0,10,11,-125,-1,676.95,235.18,551.95,223.16,551.95,20.918905000000002,George Washington-B,4
127,South Carolina-B,Loss 8-12,14.54,Counts,0.0379,2023-03-06,Smellfish Invite,0,8,12,-441.15,-4,1057.1,232.66,615.9499999999999,218.12,615.9499999999999,23.344504999999998,George Washington-B,5
268,James Madison-B,Win 9-4,27.74,Counts,0.031400000000000004,2023-03-06,Smellfish Invite,1,9,4,600,5,503.34,219.46,1103.34,191.72,1103.34,34.644876000000004,George Washington-B,6
233,Navy-B,Loss 3-13,-9,Counts,0.0451,2023-03-26,Hoos Huckin,0,3,13,-600,-10,656.78,256.2,56.77999999999997,265.2,56.77999999999997,2.5607779999999987,George Washington-B,7
307,Virginia Tech-B,Loss 8-10,-9.94,Counts,0.043899999999999995,2023-03-26,Hoos Huckin,0,8,10,-262.67,-2,293.39,257.14,30.71999999999997,267.08,30.71999999999997,1.3486079999999985,George Washington-B,8
345,William & Mary-B,Win 8-2,14.52,Counts,0.0351,2023-03-26,Hoos Huckin,1,8,2,600,6,46.4,232.68,646.4,218.16,646.4,22.68864,George Washington-B,9
268,James Madison-B,Loss 7-8,5.48,Counts,0.0401,2023-03-27,Hoos Huckin,0,7,8,-125,-1,503.34,241.72,378.34,236.24,378.34,15.171433999999998,George Washington-B,10
359,Georgetown-B,Loss 7-8,-22.14,Counts,0.0401,2023-03-27,Hoos Huckin,0,7,8,-125,-1,157.89,269.34,32.889999999999986,291.47999999999996,32.889999999999986,1.3188889999999993,George Washington-B,11
345,William & Mary-B,Loss 8-11,-26.76,Counts,0.0451,2023-03-27,Hoos Huckin,0,8,11,-365.61,-3,46.4,273.96,-319.21000000000004,300.71999999999997,-319.21000000000004,-14.396371000000002,George Washington-B,12
233,Navy-B,Loss 11-12,17.15,Counts,0.056799999999999996,2023-04-23,Colonial Dev College Mens CC 2022,0,11,12,-125,-1,656.78,230.05,531.78,212.9,531.78,30.205103999999995,George Washington-B,13
362,American-B,Win 15-2,6.75,Counts,0.056799999999999996,2023-04-23,Colonial Dev College Mens CC 2022,1,15,2,600,13,240.8,240.45,840.8,233.7,840.8,47.757439999999995,George Washington-B,14
354,Towson -B,Win 15-5,13.39,Counts,0.056799999999999996,2023-04-23,Colonial Dev College Mens CC 2022,1,15,5,600,10,130.65,233.81,730.65,220.42000000000002,730.65,41.500919999999994,George Washington-B,15
359,Georgetown-B,Win 15-8,9.63,Counts,0.056799999999999996,2023-04-24,Colonial Dev College Mens CC 2022,1,15,8,564.81,7,157.89,237.57,722.6999999999999,227.94,722.6999999999999,41.04935999999999,George Washington-B,16
352,Delaware-B,Win 14-7,16.73,Counts,0.056799999999999996,2023-04-24,Colonial Dev College Mens CC 2022,1,14,7,582.89,7,58.12,230.47,641.01,213.74,641.01,36.409368,George Washington-B,17
228,Maryland-B,Loss 6-15,-11.6,Counts,0.0638,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,0,6,15,-600,-9,676.95,258.8,76.95000000000005,270.40000000000003,76.95000000000005,4.909410000000003,George Washington-B,18
352,Delaware-B,Loss 10-14,-47.98,Counts,0.0638,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,0,10,14,-398.7,-4,58.12,295.18,-340.58,343.16,-340.58,-21.729003999999996,George Washington-B,19
318,Virginia-B,Loss 12-15,-20.79,Counts,0.0638,2023-05-07,Atlantic Coast Dev College Mens Regionals 2022,0,12,15,-300.49,-3,242.62,267.99,-57.870000000000005,288.78000000000003,-57.870000000000005,-3.692106,George Washington-B,20
352,Delaware-B,Win 30-30,-20.81,Counts,0.0638,2023-05-08,Atlantic Coast Dev College Mens Regionals 2022,1,30,30,0,0,58.12,268.01,58.12,288.82,58.12,3.7080559999999996,George Washington-B,21
