OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
152,Jacksonville State,Loss 3-12,-11.97,Counts,0.0872,2023-03-12,Tally Classic XVI,0,3,12,-600,-9,954.29,491.6,354.28999999999996,503.57000000000005,354.28999999999996,30.894087999999996,Georgia Southern,1
44,Georgia Tech,Loss 1-13,0,Ignored,0,2023-03-12,Tally Classic XVI,0,1,13,-600,-12,1489.18,479.62,889.1800000000001,479.62,0,0,Georgia Southern,2
30,North Carolina-Wilmington,Loss 0-13,0,Ignored,0,2023-03-12,Tally Classic XVI,0,0,13,-600,-13,1594.83,479.62,994.8299999999999,479.62,0,0,Georgia Southern,3
158,South Florida,Loss 8-15,-12.7,Counts,0.0908,2023-03-13,Tally Classic XVI,0,8,15,-564.81,-7,917.32,492.33,352.5100000000001,505.03,352.5100000000001,32.007908000000015,Georgia Southern,4
92,Alabama-Huntsville,Loss 6-15,0,Ignored,0,2023-03-13,Tally Classic XVI,0,6,15,-600,-9,1196.4,479.62,596.4000000000001,479.62,0,0,Georgia Southern,5
213,Luther,Loss 8-11,-14.81,Counts,0.0962,2023-03-19,College Southerns XX,0,8,11,-365.61,-3,706.18,494.43,340.56999999999994,509.24,340.56999999999994,32.76283399999999,Georgia Southern,6
306,Carleton College-Karls,Win 13-6,44.19,Counts,0.0962,2023-03-19,College Southerns XX,1,13,6,600,7,294.57,435.44,894.5699999999999,391.25,894.5699999999999,86.057634,Georgia Southern,7
195,Georgia College,Loss 8-10,3.48,Counts,0.09369999999999999,2023-03-19,College Southerns XX,0,8,10,-262.67,-2,775.91,476.15,513.24,472.66999999999996,513.24,48.090588,Georgia Southern,8
35,Middlebury,Loss 2-15,0,Ignored,0,2023-03-20,College Southerns XX,0,2,15,-600,-13,1530.51,479.62,930.51,479.62,0,0,Georgia Southern,9
195,Georgia College,Loss 8-13,-21.28,Counts,0.0962,2023-03-20,College Southerns XX,0,8,13,-496.16,-5,775.91,500.91,279.74999999999994,522.19,279.74999999999994,26.911949999999994,Georgia Southern,10
189,Wisconsin-Eau Claire,Loss 7-13,-25.44,Counts,0.0962,2023-03-20,College Southerns XX,0,7,13,-557.53,-6,798.26,505.06,240.73000000000002,530.5,240.73000000000002,23.158226,Georgia Southern,11
8,Georgia,Loss 1-13,0,Ignored,0,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,1,13,-600,-12,1930.07,479.62,1330.07,479.62,0,0,Georgia Southern,12
44,Georgia Tech,Loss 0-13,0,Ignored,0,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,0,13,-600,-13,1489.18,479.62,889.1800000000001,479.62,0,0,Georgia Southern,13
121,Tennessee-Chattanooga,Loss 4-12,0,Ignored,0,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,4,12,-600,-8,1080.21,479.62,480.21000000000004,479.62,0,0,Georgia Southern,14
111,Georgia State,Loss 9-13,27.47,Counts,0.1144,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,9,13,-418.57,-4,1110.77,452.15,692.2,424.67999999999995,692.2,79.18768,Georgia Southern,15
102,Emory,Loss 7-15,9.11,Counts,0.1144,2023-04-10,Southern Appalachian D I College Mens CC 2022,0,7,15,-600,-8,1150.1,470.52,550.0999999999999,461.40999999999997,550.0999999999999,62.93143999999999,Georgia Southern,16
134,Tennessee,Loss 9-15,2.94,Counts,0.1144,2023-04-10,Southern Appalachian D I College Mens CC 2022,0,9,15,-515.48,-6,1017.86,476.68,502.38,473.74,502.38,57.472272000000004,Georgia Southern,17
