OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
52,Indiana,Loss 12-14,-9.76,Counts,0.035,2023-02-26,Easterns Qualifiers 2022,0,12,14,-220.96,-2,1441.23,1498.95,1220.27,1508.71,1220.27,42.709450000000004,Georgia Tech,1
69,Virginia Tech,Win 12-11,-1.24,Counts,0.035,2023-02-26,Easterns Qualifiers 2022,1,12,11,125,1,1329.97,1490.42,1454.97,1491.66,1454.97,50.923950000000005,Georgia Tech,2
23,Duke,Loss 8-14,-12.88,Counts,0.035,2023-02-26,Easterns Qualifiers 2022,0,8,14,-536.03,-6,1670.4,1502.07,1134.3700000000001,1514.95,1134.3700000000001,39.70295000000001,Georgia Tech,3
41,North Carolina-Charlotte,Loss 10-12,-7.94,Counts,0.035,2023-02-26,Easterns Qualifiers 2022,0,10,12,-238.12,-2,1508.52,1497.13,1270.4,1505.0700000000002,1270.4,44.464000000000006,Georgia Tech,4
67,James Madison,Win 15-8,15.13,Counts,0.035,2023-02-27,Easterns Qualifiers 2022,1,15,8,564.81,7,1340.98,1474.05,1905.79,1458.9199999999998,1905.79,66.70265,Georgia Tech,5
57,Alabama,Win 13-12,1.81,Counts,0.035,2023-02-27,Easterns Qualifiers 2022,1,13,12,125,1,1414,1487.37,1539,1485.56,1539,53.865,Georgia Tech,6
152,Jacksonville State,Win 11-6,0.46,Counts,0.037200000000000004,2023-03-12,Tally Classic XVI,1,11,6,546.69,5,954.29,1488.73,1500.98,1488.27,1500.98,55.836456000000005,Georgia Tech,7
274,Georgia Southern,Win 13-1,0,Ignored,0,2023-03-12,Tally Classic XVI,1,13,1,600,12,479.62,1489.18,1079.62,1489.18,0,0,Georgia Tech,8
30,North Carolina-Wilmington,Loss 6-10,-14.62,Counts,0.0361,2023-03-12,Tally Classic XVI,0,6,10,-496.16,-4,1594.83,1503.8,1098.6699999999998,1518.4199999999998,1098.6699999999998,39.661986999999996,Georgia Tech,9
93,Harvard,Win 13-12,-7.05,Counts,0.0393,2023-03-13,Tally Classic XVI,1,13,12,125,1,1191.89,1496.24,1316.89,1503.29,1316.89,51.75377700000001,Georgia Tech,10
30,North Carolina-Wilmington,Loss 9-14,-15.08,Counts,0.0393,2023-03-13,Tally Classic XVI,0,9,14,-473.87,-5,1594.83,1504.26,1120.96,1519.34,1120.96,44.05372800000001,Georgia Tech,11
60,Notre Dame,Loss 13-14,-8.85,Counts,0.0393,2023-03-13,Tally Classic XVI,0,13,14,-125,-1,1398.11,1498.03,1273.11,1506.8799999999999,1273.11,50.033223,Georgia Tech,12
8,Georgia,Loss 5-13,-8.3,Counts,0.0496,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,5,13,-600,-8,1930.07,1497.48,1330.07,1505.78,1330.07,65.97147199999999,Georgia Tech,13
274,Georgia Southern,Win 13-0,0,Ignored,0,2023-04-09,Southern Appalachian D I College Mens CC 2022,1,13,0,600,13,479.62,1489.18,1079.62,1489.18,0,0,Georgia Tech,14
121,Tennessee-Chattanooga,Win 11-7,2.94,Counts,0.0482,2023-04-09,Southern Appalachian D I College Mens CC 2022,1,11,7,466.89,4,1080.21,1486.25,1547.1,1483.31,1547.1,74.57021999999999,Georgia Tech,15
102,Emory,Win 14-5,13.6,Counts,0.0496,2023-04-09,Southern Appalachian D I College Mens CC 2022,1,14,5,600,9,1150.1,1475.58,1750.1,1461.98,1750.1,86.80496,Georgia Tech,16
8,Georgia,Loss 8-15,-6.46,Counts,0.0496,2023-04-10,Southern Appalachian D I College Mens CC 2022,0,8,15,-564.81,-7,1930.07,1495.64,1365.26,1502.1000000000001,1365.26,67.71689599999999,Georgia Tech,17
111,Georgia State,Win 15-5,11.55,Counts,0.0496,2023-04-10,Southern Appalachian D I College Mens CC 2022,1,15,5,600,10,1110.77,1477.63,1710.77,1466.0800000000002,1710.77,84.854192,Georgia Tech,18
106,LSU,Win 13-6,15.81,Counts,0.058899999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,6,600,7,1141.7,1473.37,1741.7,1457.56,1741.7,102.58613,Georgia Tech,19
8,Georgia,Loss 5-13,-9.96,Counts,0.058899999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,0,5,13,-600,-8,1930.07,1499.15,1330.07,1509.1100000000001,1330.07,78.34112299999998,Georgia Tech,20
47,Florida,Win 13-8,30.3,Counts,0.058899999999999994,2023-04-30,Southeast D I College Mens Regionals 2022,1,13,8,496.16,5,1476.89,1458.88,1973.0500000000002,1428.5800000000002,1973.0500000000002,116.212645,Georgia Tech,21
57,Alabama,Win 13-10,15.84,Counts,0.058899999999999994,2023-05-01,Southeast D I College Mens Regionals 2022,1,13,10,328.14,3,1414,1473.34,1742.1399999999999,1457.5,1742.1399999999999,102.61204599999998,Georgia Tech,22
26,Auburn,Loss 6-13,-29.52,Counts,0.058899999999999994,2023-05-01,Southeast D I College Mens Regionals 2022,0,6,13,-600,-7,1617.76,1518.7,1017.76,1548.22,1017.76,59.94606399999999,Georgia Tech,23
53,Tulane,Win 11-7,25.42,Counts,0.0574,2023-05-01,Southeast D I College Mens Regionals 2022,1,11,7,466.89,4,1440.12,1463.76,1907.0099999999998,1438.34,1907.0099999999998,109.46237399999998,Georgia Tech,24
