OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
169,Kansas,Win 9-6,11.51,Counts,0.0321,2023-03-26,Old Capital Open 2022,1,9,6,418.57,3,889.88,950.03,1308.45,938.52,1308.45,42.001245,Grace,1
264,Wisconsin-B,Win 9-6,-0.61,Counts,0.0321,2023-03-26,Old Capital Open 2022,1,9,6,418.57,3,524.67,962.15,943.24,962.76,943.24,30.278003999999996,Grace,2
312,Washington University-B,Win 9-6,-9.22,Counts,0.0321,2023-03-26,Old Capital Open 2022,1,9,6,418.57,3,265.15,970.76,683.72,979.98,683.72,21.947412,Grace,3
249,St John's,Win 12-11,-8.46,Counts,0.0361,2023-03-27,Old Capital Open 2022,1,12,11,125,1,610.8,970.01,735.8,978.47,735.8,26.562379999999997,Grace,4
130,Saint Louis,Loss 6-8,-6.95,Counts,0.031,2023-03-27,Old Capital Open 2022,0,6,8,-300.49,-2,1044.85,968.5,744.3599999999999,975.45,744.3599999999999,23.075159999999997,Grace,5
194,Western Michigan,Win 10-8,2.87,Counts,0.0352,2023-03-27,Old Capital Open 2022,1,10,8,262.67,2,777.6,958.67,1040.27,955.8,1040.27,36.617504000000004,Grace,6
164,Truman State,Loss 5-7,-11.57,Counts,0.0287,2023-03-27,Old Capital Open 2022,0,5,7,-328.14,-2,898.32,973.12,570.1800000000001,984.69,570.1800000000001,16.364166,Grace,7
273,Rose-Hulman,Win 10-9,-15.07,Counts,0.0406,2023-04-09,East Plains D III College Mens CC 2022,1,10,9,125,1,480.09,976.61,605.0899999999999,991.6800000000001,605.0899999999999,24.566653999999996,Grace,8
182,Kalamazoo,Win 9-8,-0.72,Counts,0.0384,2023-04-09,East Plains D III College Mens CC 2022,1,9,8,125,1,818.37,962.27,943.37,962.99,943.37,36.225407999999995,Grace,9
116,Butler,Loss 10-12,-4.83,Counts,0.0406,2023-04-09,East Plains D III College Mens CC 2022,0,10,12,-238.12,-2,1085.54,966.37,847.42,971.2,847.42,34.405252,Grace,10
203,Valparaiso,Win 8-6,2.42,Counts,0.0348,2023-04-09,East Plains D III College Mens CC 2022,1,8,6,300.49,2,728.01,959.13,1028.5,956.71,1028.5,35.791799999999995,Grace,11
273,Rose-Hulman,Win 12-10,-10.29,Counts,0.0406,2023-04-10,East Plains D III College Mens CC 2022,1,12,10,238.12,2,480.09,971.83,718.21,982.12,718.21,29.159326,Grace,12
203,Valparaiso,Loss 7-15,-35.24,Counts,0.0406,2023-04-10,East Plains D III College Mens CC 2022,0,7,15,-600,-8,728.01,996.78,128.01,1032.02,128.01,5.1972059999999995,Grace,13
141,Wheaton (Illinois),Win 13-10,17.82,Counts,0.0482,2023-04-30,Great Lakes D III College Mens Regionals 2022,1,13,10,328.14,3,985.02,943.72,1313.1599999999999,925.9,1313.1599999999999,63.29431199999999,Grace,14
203,Valparaiso,Win 13-8,13.31,Counts,0.0482,2023-04-30,Great Lakes D III College Mens Regionals 2022,1,13,8,496.16,5,728.01,948.23,1224.17,934.9200000000001,1224.17,59.004994,Grace,15
116,Butler,Win 12-10,18.35,Counts,0.0482,2023-05-01,Great Lakes D III College Mens Regionals 2022,1,12,10,238.12,2,1085.54,943.19,1323.6599999999999,924.84,1323.6599999999999,63.800411999999994,Grace,16
203,Valparaiso,Win 13-5,18.57,Counts,0.0482,2023-05-01,Great Lakes D III College Mens Regionals 2022,1,13,5,600,8,728.01,942.97,1328.01,924.4,1328.01,64.010082,Grace,17
34,St. Olaf,Loss 7-15,-1.6,Counts,0.0574,2023-05-21,2022 D III College Championships,0,7,15,-600,-8,NA,963.14,NA,964.74,NA,NA,Grace,18
146,Brandeis,Win 14-12,13.46,Counts,0.0574,2023-05-21,2022 D III College Championships,1,14,12,220.96,2,961.68,948.09,1182.6399999999999,934.63,1182.6399999999999,67.88353599999999,Grace,19
99,Oberlin,Loss 9-15,-19.3,Counts,0.0574,2023-05-21,2022 D III College Championships,0,9,15,-515.48,-6,1159.9,980.84,644.4200000000001,1000.14,644.4200000000001,36.98970800000001,Grace,20
31,Oklahoma Christian,Loss 7-15,1.84,Counts,0.0574,2023-05-22,2022 D III College Championships,0,7,15,-600,-8,1591.76,959.7,991.76,957.86,991.76,56.927023999999996,Grace,21
74,Navy,Win 13-12,26.82,Counts,0.0574,2023-05-22,2022 D III College Championships,1,13,12,125,1,1277.32,934.72,1402.32,907.9,1402.32,80.493168,Grace,22
128,Scranton,Loss 14-15,-2.02,Counts,0.0574,2023-05-23,2022 D III College Championships,0,14,15,-125,-1,1053.29,963.57,928.29,965.59,928.29,53.283846,Grace,23
