OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
68,Colorado College,Win 11-10,19.86,Counts,0.049,2023-04-02,Huck Finn 2022,1,11,10,125,1,1340.93,1060.36,1465.93,1040.5,1465.93,71.83057000000001,Grand Valley State,1
232,Oklahoma,Win 7-4,2.96,Counts,0.0373,2023-04-02,Huck Finn 2022,1,7,4,496.16,3,660.44,1077.27,1156.6000000000001,1074.31,1156.6000000000001,43.141180000000006,Grand Valley State,2
129,Boston University,Loss 9-10,-7.98,Counts,0.049,2023-04-02,Huck Finn 2022,0,9,10,-125,-1,1050.21,1088.21,925.21,1096.19,925.21,45.33529,Grand Valley State,3
133,Wisconsin-Milwaukee,Win 8-5,16.75,Counts,0.0405,2023-04-02,Huck Finn 2022,1,8,5,453.6,3,1023.38,1063.47,1476.98,1046.72,1476.98,59.817690000000006,Grand Valley State,4
57,Alabama,Loss 7-12,-9.62,Counts,0.049,2023-04-03,Huck Finn 2022,0,7,12,-520.51,-5,1414,1089.84,893.49,1099.4599999999998,893.49,43.78101,Grand Valley State,5
32,Washington University,Loss 7-15,-4.64,Counts,0.049,2023-04-03,Huck Finn 2022,0,7,15,-600,-8,1590.18,1084.86,990.1800000000001,1089.5,990.1800000000001,48.518820000000005,Grand Valley State,6
64,Northwestern,Loss 8-15,-14.23,Counts,0.049,2023-04-03,Huck Finn 2022,0,8,15,-564.81,-7,1368.8,1094.45,803.99,1108.68,803.99,39.39551,Grand Valley State,7
16,Michigan,Loss 6-13,6.98,Counts,0.0519,2023-04-09,Michigan D I College Mens CC 2022,0,6,13,-600,-7,1807.83,1073.24,1207.83,1066.26,1207.83,62.686377,Grand Valley State,8
108,Michigan State,Loss 10-11,-4.14,Counts,0.0519,2023-04-09,Michigan D I College Mens CC 2022,0,10,11,-125,-1,1129.58,1084.36,1004.5799999999999,1088.5,1004.5799999999999,52.137702,Grand Valley State,9
194,Western Michigan,Win 11-7,8.74,Counts,0.050499999999999996,2023-04-09,Michigan D I College Mens CC 2022,1,11,7,466.89,4,777.6,1071.49,1244.49,1062.75,1244.49,62.846745,Grand Valley State,10
278,Eastern Michigan,Win 11-6,-4.46,Counts,0.049100000000000005,2023-04-09,Michigan D I College Mens CC 2022,1,11,6,546.69,5,447.05,1084.69,993.74,1089.15,993.74,48.79263400000001,Grand Valley State,11
108,Michigan State,Win 15-14,9.54,Counts,0.0519,2023-04-10,Michigan D I College Mens CC 2022,1,15,14,125,1,1129.58,1070.68,1254.58,1061.14,1254.58,65.112702,Grand Valley State,12
194,Western Michigan,Win 12-8,7.58,Counts,0.0519,2023-04-10,Michigan D I College Mens CC 2022,1,12,8,441.15,4,777.6,1072.64,1218.75,1065.0600000000002,1218.75,63.253125000000004,Grand Valley State,13
49,Illinois,Loss 11-15,-0.34,Counts,0.0617,2023-04-30,Great Lakes D I College Mens Regionals 2022,0,11,15,-381.16,-4,1456.25,1080.56,1075.09,1080.8999999999999,1075.09,66.33305299999999,Grand Valley State,14
64,Northwestern,Win 15-14,27.2,Counts,0.0617,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,14,125,1,1368.8,1053.03,1493.8,1025.83,1493.8,92.16745999999999,Grand Valley State,15
194,Western Michigan,Win 12-8,9.11,Counts,0.0617,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,12,8,441.15,4,777.6,1071.11,1218.75,1062,1218.75,75.19687499999999,Grand Valley State,16
70,Chicago,Loss 5-15,-23.19,Counts,0.0617,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,5,15,-600,-10,1327.52,1103.42,727.52,1126.6100000000001,727.52,44.887983999999996,Grand Valley State,17
91,Kentucky,Loss 3-14,-31.72,Counts,0.0617,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,3,14,-600,-11,1197.89,1111.94,597.8900000000001,1143.66,597.8900000000001,36.889813000000004,Grand Valley State,18
52,Indiana,Loss 8-13,-8.89,Counts,0.0617,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,8,13,-496.16,-5,1441.23,1089.11,945.0699999999999,1098,945.0699999999999,58.310818999999995,Grand Valley State,19
