OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
NA,Carnegie Mellon-B,Win 15-3,0,Ignored,0,2023-03-26,2022 B team Brodown,1,15,3,600,12,415.28,647.85,1015.28,647.85,0,0,Grove City,1
256,Penn State-B,Win 10-9,4.6,Counts,0.0701,2023-03-26,2022 B team Brodown,1,10,9,125,1,583.9,643.25,708.9,638.65,708.9,49.693889999999996,Grove City,2
262,Pittsburgh-B,Loss 9-10,-18.09,Counts,0.0701,2023-03-26,2022 B team Brodown,0,9,10,-125,-1,532.82,665.94,407.82000000000005,684.0300000000001,407.82000000000005,28.588182000000003,Grove City,3
128,Scranton,Loss 6-14,-14.66,Counts,0.0701,2023-03-27,2022 B team Brodown,0,6,14,-600,-8,1053.29,662.52,453.28999999999996,677.18,453.28999999999996,31.775628999999995,Grove City,4
256,Penn State-B,Win 8-7,4.05,Counts,0.0623,2023-03-27,2022 B team Brodown,1,8,7,125,1,583.9,643.8,708.9,639.75,708.9,44.16447,Grove City,5
231,Messiah,Loss 10-11,-10.53,Counts,0.0883,2023-04-23,West Penn D III College Mens CC 2022,0,10,11,-125,-1,664.18,658.38,539.18,668.91,539.18,47.609593999999994,Grove City,6
231,Messiah,Loss 7-13,-52.42,Counts,0.0883,2023-04-23,West Penn D III College Mens CC 2022,0,7,13,-557.53,-6,664.18,700.27,106.64999999999998,752.6899999999999,106.64999999999998,9.417194999999998,Grove City,7
236,Shippensburg,Win 13-7,54.48,Counts,0.0883,2023-04-23,West Penn D III College Mens CC 2022,1,13,7,557.53,6,652.75,593.38,1210.28,538.9,1210.28,106.867724,Grove City,8
311,Dickinson,Win 13-8,11.23,Counts,0.0883,2023-04-23,West Penn D III College Mens CC 2022,1,13,8,496.16,5,267.62,636.62,763.78,625.39,763.78,67.441774,Grove City,9
231,Messiah,Win 14-12,24.49,Counts,0.09359999999999999,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,14,12,220.96,2,664.18,623.36,885.14,598.87,885.14,82.84910399999998,Grove City,10
128,Scranton,Loss 8-15,-16.45,Counts,0.09359999999999999,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,8,15,-564.81,-7,1053.29,664.3,488.48,680.75,488.48,45.721728,Grove City,11
358,Lehigh-B,Win 15-1,0,Ignored,0,2023-04-30,Ohio Valley D III College Mens Regionals 2022,1,15,1,600,14,147.99,647.85,747.99,647.85,0,0,Grove City,12
214,Wooster,Loss 11-14,-26.73,Counts,0.09359999999999999,2023-05-01,Ohio Valley D III College Mens Regionals 2022,0,11,14,-313.34,-3,702.25,674.58,388.91,701.3100000000001,388.91,36.401976,Grove City,13
211,Franciscan,Win 13-10,40.6,Counts,0.09359999999999999,2023-05-01,Ohio Valley D III College Mens Regionals 2022,1,13,10,328.14,3,713.07,607.25,1041.21,566.65,1041.21,97.45725599999999,Grove City,14
