OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
162,Massachusetts-Lowell,Loss 5-11,-3.59,Counts,0.0521,2023-02-26,Bring The Huckus 12,0,5,11,-600,-6,901.86,370.73,301.86,374.32,301.86,15.726906000000001,Haverford,1
175,SUNY Cortland,Loss 4-10,-6.15,Counts,0.0496,2023-02-26,Bring The Huckus 12,0,4,10,-600,-6,849.35,373.29,249.35000000000002,379.44,249.35000000000002,12.36776,Haverford,2
247,SUNY-Albany,Loss 5-8,-10.25,Counts,0.047,2023-02-26,Bring The Huckus 12,0,5,8,-453.6,-3,612.9,377.39,159.29999999999995,387.64,159.29999999999995,7.487099999999998,Haverford,3
289,Salisbury,Win 7-5,16.29,Counts,0.0452,2023-02-26,Bring The Huckus 12,1,7,5,328.14,2,383.54,350.84,711.6800000000001,334.54999999999995,711.6800000000001,32.167936,Haverford,4
329,Princeton-B,Win 15-10,18.8,Counts,0.0676,2023-03-19,Jersey Devil,1,15,10,453.6,5,172.92,348.34,626.52,329.53999999999996,626.52,42.352751999999995,Haverford,5
235,Vermont-B,Loss 4-15,-22.71,Counts,0.0676,2023-03-19,Jersey Devil,0,4,15,-600,-11,653.78,389.84,53.77999999999997,412.54999999999995,53.77999999999997,3.6355279999999977,Haverford,6
352,Delaware-B,Win 12-9,-5.79,Counts,0.0676,2023-03-19,Jersey Devil,1,12,9,345.37,3,58.12,372.93,403.49,378.72,403.49,27.275923999999996,Haverford,7
329,Princeton-B,Win 13-11,2.51,Counts,0.0676,2023-03-20,Jersey Devil,1,13,11,228.84,2,172.92,364.63,401.76,362.12,401.76,27.158975999999996,Haverford,8
219,Swarthmore,Loss 7-15,-19.78,Counts,0.0676,2023-03-20,Jersey Devil,0,7,15,-600,-8,694.16,386.92,94.15999999999997,406.70000000000005,94.15999999999997,6.3652159999999975,Haverford,9
148,Bates College,Loss 6-12,0.93,Counts,0.0697,2023-03-26,Layout Pigout 2022,0,6,12,-579.31,-6,958.83,366.21,379.5200000000001,365.28,379.5200000000001,26.452544000000007,Haverford,10
284,Bentley,Win 15-10,37.91,Counts,0.0716,2023-03-26,Layout Pigout 2022,1,15,10,453.6,5,405.14,329.23,858.74,291.32000000000005,858.74,61.485783999999995,Haverford,11
138,Bowdoin,Loss 9-14,11.18,Counts,0.0716,2023-03-26,Layout Pigout 2022,0,9,14,-473.87,-5,986.01,355.96,512.14,344.78,512.14,36.669224,Haverford,12
138,Bowdoin,Loss 5-15,0,Ignored,0,2023-03-27,Layout Pigout 2022,0,5,15,-600,-10,986.01,367.14,386.01,367.14,0,0,Haverford,13
128,Scranton,Loss 8-12,22.8,Counts,0.0851,2023-04-16,East Penn D III College Mens CC 2022,0,8,12,-441.15,-4,1053.29,344.34,612.14,321.53999999999996,612.14,52.09311399999999,Haverford,14
358,Lehigh-B,Win 11-9,-24.74,Counts,0.0851,2023-04-16,East Penn D III College Mens CC 2022,1,11,9,249.21,2,147.99,391.88,397.20000000000005,416.62,397.20000000000005,33.80172,Haverford,15
219,Swarthmore,Loss 9-15,-17.54,Counts,0.0851,2023-04-16,East Penn D III College Mens CC 2022,0,9,15,-515.48,-6,694.16,384.67,178.67999999999995,402.21000000000004,178.67999999999995,15.205667999999996,Haverford,16
