OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
156,Rhode Island,Loss 0-12,-7.07,Counts,0.0739,2023-03-12,Mash Up,0,0,12,-600,-12,934.93,430.67,334.92999999999995,437.74,334.92999999999995,24.751326999999993,High Point,1
175,SUNY Cortland,Loss 4-10,-12.56,Counts,0.0672,2023-03-12,Mash Up,0,4,10,-600,-6,849.35,436.16,249.35000000000002,448.72,249.35000000000002,16.75632,High Point,2
204,Georgia Tech-B,Loss 5-7,-1.61,Counts,0.061200000000000004,2023-03-12,Mash Up,0,5,7,-328.14,-2,726.99,425.21,398.85,426.82,398.85,24.409620000000004,High Point,3
86,Maine,Loss 7-12,23.85,Counts,0.077,2023-03-13,Mash Up,0,7,12,-520.51,-5,1230.11,399.75,709.5999999999999,375.9,709.5999999999999,54.639199999999995,High Point,4
187,Bryant,Loss 10-11,21.21,Counts,0.077,2023-03-13,Mash Up,0,10,11,-125,-1,802.93,402.39,677.93,381.18,677.93,52.20061,High Point,5
110,Christopher Newport,Loss 9-15,16.56,Counts,0.0864,2023-03-26,Needle in a Ho Stack,0,9,15,-515.48,-6,1114.15,407.04,598.6700000000001,390.48,598.6700000000001,51.72508800000001,High Point,6
218,Samford,Loss 9-15,-22.95,Counts,0.0864,2023-03-26,Needle in a Ho Stack,0,9,15,-515.48,-6,696.34,446.55,180.86,469.5,180.86,15.626304000000003,High Point,7
117,Appalachian State,Loss 3-15,0,Ignored,0,2023-03-26,Needle in a Ho Stack,0,3,15,-600,-12,1083.57,423.59,483.56999999999994,423.59,0,0,High Point,8
218,Samford,Loss 10-15,-17.1,Counts,0.0864,2023-03-27,Needle in a Ho Stack,0,10,15,-453.6,-5,696.34,440.7,242.74,457.8,242.74,20.972736,High Point,9
50,Berry,Loss 7-15,40.3,Counts,0.0864,2023-03-27,Needle in a Ho Stack,0,7,15,-600,-8,1449.81,383.29,849.81,342.99,849.81,73.423584,High Point,10
195,Georgia College,Loss 6-15,-23.42,Counts,0.0864,2023-03-27,Needle in a Ho Stack,0,6,15,-600,-9,775.91,447.02,175.90999999999997,470.44,175.90999999999997,15.198623999999999,High Point,11
181,Davidson,Loss 12-14,22.21,Counts,0.10890000000000001,2023-04-23,Carolina D III College Mens CC 2022,0,12,14,-220.96,-2,826.39,401.38,605.43,379.17,605.43,65.931327,High Point,12
243,Elon,Loss 6-11,-39.64,Counts,0.10300000000000001,2023-04-23,Carolina D III College Mens CC 2022,0,6,11,-546.69,-5,624.96,463.23,78.26999999999998,502.87,78.26999999999998,8.06181,High Point,13
