OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
149,SUNY-Binghamton,Loss 9-10,24.65,Counts,0.0599,2023-03-05,No Sleep Till Brooklyn 2022,0,9,10,-125,-1,957.14,420.96,832.14,396.31,832.14,49.845186,Hofstra,1
76,Columbia,Loss 4-13,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,0,4,13,-600,-9,1264.23,445.61,664.23,445.61,0,0,Hofstra,2
246,Syracuse,Loss 8-12,-17.4,Counts,0.0599,2023-03-05,No Sleep Till Brooklyn 2022,0,8,12,-441.15,-4,613.87,463.01,172.72000000000003,480.40999999999997,172.72000000000003,10.345928000000002,Hofstra,3
267,Colby,Loss 8-11,-19.59,Counts,0.0599,2023-03-06,No Sleep Till Brooklyn 2022,0,8,11,-365.61,-3,503.92,465.2,138.31,484.78999999999996,138.31,8.284769,Hofstra,4
165,MIT,Loss 9-11,12.96,Counts,0.0599,2023-03-06,No Sleep Till Brooklyn 2022,0,9,11,-249.21,-2,898.08,432.65,648.87,419.69,648.87,38.867313,Hofstra,5
309,SUNY-Binghamton-B,Win 12-6,25.73,Counts,0.0583,2023-03-06,No Sleep Till Brooklyn 2022,1,12,6,579.31,6,281.65,419.88,860.9599999999999,394.15,860.9599999999999,50.19396799999999,Hofstra,6
175,SUNY Cortland,Loss 2-12,-15.34,Counts,0.0725,2023-04-02,Strong Island,0,2,12,-600,-10,849.35,460.94,249.35000000000002,476.28,249.35000000000002,18.077875,Hofstra,7
367,SUNY-Fredonia,Win 12-7,-22.14,Counts,0.0755,2023-04-02,Strong Island,1,12,7,520.51,5,345.92,467.75,866.4300000000001,489.89,866.4300000000001,65.415465,Hofstra,8
342,SUNY-Stony Brook-B,Win 13-1,18.13,Counts,0.0755,2023-04-02,Strong Island,1,13,1,600,12,67.57,427.48,667.5699999999999,409.35,667.5699999999999,50.401534999999996,Hofstra,9
209,SUNY-Stony Brook,Loss 3-13,-26.94,Counts,0.0755,2023-04-02,Strong Island,0,3,13,-600,-10,715.85,472.55,115.85000000000002,499.49,115.85000000000002,8.746675000000002,Hofstra,10
209,SUNY-Stony Brook,Loss 6-15,-26.94,Counts,0.0755,2023-04-03,Strong Island,0,6,15,-600,-9,715.85,472.55,115.85000000000002,499.49,115.85000000000002,8.746675000000002,Hofstra,11
94,Princeton,Loss 7-11,24.88,Counts,0.0825,2023-04-16,Metro NY D I College Mens CC 2022,0,7,11,-466.89,-4,1189.13,420.73,722.2400000000001,395.85,722.2400000000001,59.584800000000016,Hofstra,12
105,Rutgers,Loss 2-13,0,Ignored,0,2023-04-16,Metro NY D I College Mens CC 2022,0,2,13,-600,-11,1142.11,445.61,542.1099999999999,445.61,0,0,Hofstra,13
154,NYU,Loss 10-11,35.19,Counts,0.0848,2023-04-16,Metro NY D I College Mens CC 2022,0,10,11,-125,-1,950.57,410.42,825.57,375.23,825.57,70.008336,Hofstra,14
76,Columbia,Loss 5-15,0,Ignored,0,2023-04-16,Metro NY D I College Mens CC 2022,0,5,15,-600,-10,1264.23,445.61,664.23,445.61,0,0,Hofstra,15
192,Rowan,Loss 6-9,-6.2,Counts,0.0753,2023-04-17,Metro NY D I College Mens CC 2022,0,6,9,-418.57,-3,788.03,451.81,369.46,458.01,369.46,27.820338,Hofstra,16
209,SUNY-Stony Brook,Loss 9-12,-6.96,Counts,0.0848,2023-04-17,Metro NY D I College Mens CC 2022,0,9,12,-345.37,-3,715.85,452.57,370.48,459.53,370.48,31.416704000000003,Hofstra,17
