OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
161,Mississippi State,Loss 5-13,-0.84,Counts,0.0616,2023-02-19,Mardi Gras XXXIV,0,5,13,-600,-8,903.76,317.32,303.76,318.15999999999997,303.76,18.711616,Houston,1
102,Emory,Loss 5-13,0,Ignored,0,2023-02-19,Mardi Gras XXXIV,0,5,13,-600,-8,1150.1,316.49,550.0999999999999,316.49,0,0,Houston,2
349,Trinity University,Win 12-9,1.41,Counts,0.0616,2023-02-19,Mardi Gras XXXIV,1,12,9,345.37,3,7.44,315.08,352.81,313.66999999999996,352.81,21.733096,Houston,3
172,Wisconsin-Whitewater,Loss 8-12,7.79,Counts,0.0616,2023-02-19,Mardi Gras XXXIV,0,8,12,-441.15,-4,876.37,308.7,435.22,300.90999999999997,435.22,26.809552000000004,Houston,4
365,LSU-B,Win 7-1,0,Ignored,0,2023-02-20,Mardi Gras XXXIV,1,7,1,600,6,336.11,316.49,936.11,316.49,0,0,Houston,5
190,Illinois State,Loss 8-9,21.94,Counts,0.0582,2023-02-20,Mardi Gras XXXIV,0,8,9,-125,-1,796.31,294.55,671.31,272.61,671.31,39.070242,Houston,6
131,Sul Ross State,Loss 3-13,0,Ignored,0,2023-03-12,Centex Tier II,0,3,13,-600,-10,1027.4,316.49,427.4000000000001,316.49,0,0,Houston,7
308,Texas Christian,Win 13-7,41.36,Counts,0.0732,2023-03-12,Centex Tier II,1,13,7,557.53,6,282.45,275.13,839.98,233.76999999999998,839.98,61.486536,Houston,8
331,Texas Tech,Win 13-12,-4.58,Counts,0.0732,2023-03-12,Centex Tier II,1,13,12,125,1,133.47,321.07,258.47,325.65,258.47,18.920004000000002,Houston,9
197,Rice,Loss 9-13,2.29,Counts,0.0732,2023-03-13,Centex Tier II,0,9,13,-418.57,-4,764.1,314.2,345.53000000000003,311.90999999999997,345.53000000000003,25.292796000000003,Houston,10
250,Texas-B,Loss 11-12,13.28,Counts,0.0732,2023-03-13,Centex Tier II,0,11,12,-125,-1,609.58,303.21,484.58000000000004,289.93,484.58000000000004,35.471256000000004,Houston,11
143,Texas-San Antonio,Loss 9-14,14.44,Counts,0.0732,2023-03-13,Centex Tier II,0,9,14,-473.87,-5,973.08,302.05,499.21000000000004,287.61,499.21000000000004,36.542172,Houston,12
124,Texas State,Loss 5-15,0,Ignored,0,2023-04-16,South Texas D I College Mens CC 2022,0,5,15,-600,-10,1072.93,316.49,472.93000000000006,316.49,0,0,Houston,13
310,Texas A&M-B,Win 11-10,8.57,Counts,0.0977,2023-04-16,South Texas D I College Mens CC 2022,1,11,10,125,1,270.61,307.92,395.61,299.35,395.61,38.651097,Houston,14
250,Texas-B,Loss 7-15,-33.25,Counts,0.0977,2023-04-16,South Texas D I College Mens CC 2022,0,7,15,-600,-8,609.58,349.73,9.580000000000041,382.98,9.580000000000041,0.935966000000004,Houston,15
205,Sam Houston State,Loss 8-15,-16.81,Counts,0.0977,2023-04-17,South Texas D I College Mens CC 2022,0,8,15,-564.81,-7,726.13,333.3,161.32000000000005,350.11,161.32000000000005,15.760964000000005,Houston,16
310,Texas A&M-B,Loss 8-13,-58.72,Counts,0.0977,2023-04-17,South Texas D I College Mens CC 2022,0,8,13,-496.16,-5,270.61,375.21,-225.55,433.92999999999995,-225.55,-22.036235,Houston,17
