OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
296,Central Washington,Win 15-11,37.91,Counts,0.0821,2023-03-12,Palouse Open 2022,1,15,11,381.16,4,356.07,275.48,737.23,237.57000000000002,737.23,60.52658300000001,Idaho,1
223,Montana,Loss 8-11,0.85,Counts,0.0821,2023-03-12,Palouse Open 2022,0,8,11,-365.61,-3,688.49,312.55,322.88,311.7,322.88,26.508448,Idaho,2
177,Washington State,Win 12-11,58.47,Counts,0.0821,2023-03-12,Palouse Open 2022,1,12,11,125,1,842.1,254.92,967.1,196.45,967.1,79.39891000000001,Idaho,3
296,Central Washington,Loss 8-13,-40.56,Counts,0.0821,2023-03-13,Palouse Open 2022,0,8,13,-496.16,-5,356.07,353.96,-140.09000000000003,394.52,-140.09000000000003,-11.501389000000003,Idaho,4
223,Montana,Loss 10-13,4.2,Counts,0.0821,2023-03-13,Palouse Open 2022,0,10,13,-328.14,-3,688.49,309.19,360.35,304.99,360.35,29.584735000000006,Idaho,5
223,Montana,Loss 8-15,-23.35,Counts,0.1096,2023-04-16,Big Sky D I College Mens CC 2022,0,8,15,-564.81,-7,688.49,336.75,123.68000000000006,360.1,123.68000000000006,13.555328000000006,Idaho,6
178,Montana State,Loss 1-15,-9.22,Counts,0.1096,2023-04-16,Big Sky D I College Mens CC 2022,0,1,15,-600,-14,838.48,322.62,238.48000000000002,331.84000000000003,238.48000000000002,26.137408000000004,Idaho,7
159,Boise State,Loss 2-15,0,Ignored,0,2023-04-17,Big Sky D I College Mens CC 2022,0,2,15,-600,-13,914.58,313.39,314.58000000000004,313.39,0,0,Idaho,8
177,Washington State,Loss 5-15,-8.78,Counts,0.1096,2023-04-17,Big Sky D I College Mens CC 2022,0,5,15,-600,-10,842.1,322.17,242.10000000000002,330.95,242.10000000000002,26.534160000000004,Idaho,9
19,Oregon,Loss 1-13,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,0,1,13,-600,-12,1709,313.39,1109,313.39,0,0,Idaho,10
28,British Columbia,Loss 0-13,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,0,0,13,-600,-13,1612.3,313.39,1012.3,313.39,0,0,Idaho,11
39,Western Washington,Loss 3-12,0,Ignored,0,2023-05-07,Northwest D I College Mens Regionals 2022,0,3,12,-600,-9,1510.39,313.39,910.3900000000001,313.39,0,0,Idaho,12
178,Montana State,Loss 4-13,-11.23,Counts,0.1303,2023-05-08,Northwest D I College Mens Regionals 2022,0,4,13,-600,-9,838.48,324.62,238.48000000000002,335.85,238.48000000000002,31.073944,Idaho,13
177,Washington State,Loss 3-13,-10.68,Counts,0.1303,2023-05-08,Northwest D I College Mens Regionals 2022,0,3,13,-600,-10,842.1,324.08,242.10000000000002,334.76,242.10000000000002,31.545630000000003,Idaho,14
