OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
169,Kansas,Win 7-2,6.3,Counts,0.020099999999999996,2023-03-05,Midwest Throwdown 2022,1,7,2,600,5,889.88,1176.84,1489.88,1170.54,1489.88,29.946588,Iowa State,1
84,Iowa,Win 10-7,11.99,Counts,0.0262,2023-03-05,Midwest Throwdown 2022,1,10,7,389.67,3,1238.75,1171.15,1628.42,1159.16,1628.42,42.664604000000004,Iowa State,2
164,Truman State,Win 13-6,8.99,Counts,0.0277,2023-03-05,Midwest Throwdown 2022,1,13,6,600,7,898.32,1174.15,1498.3200000000002,1165.16,1498.3200000000002,41.503464,Iowa State,3
54,Missouri S&T,Win 9-8,9.93,Counts,0.0262,2023-03-06,Midwest Throwdown 2022,1,9,8,125,1,1426.73,1173.21,1551.73,1163.28,1551.73,40.655326,Iowa State,4
33,Purdue,Loss 7-13,-4.33,Counts,0.0277,2023-03-06,Midwest Throwdown 2022,0,7,13,-557.53,-6,1588.79,1187.47,1031.26,1191.8,1031.26,28.565901999999998,Iowa State,5
90,Carleton College-CHOP,Win 10-9,4.05,Counts,0.0277,2023-03-06,Midwest Throwdown 2022,1,10,9,125,1,1200.18,1179.09,1325.18,1175.04,1325.18,36.707486,Iowa State,6
155,Grinnell,Win 8-6,1.63,Counts,0.023799999999999998,2023-03-06,Midwest Throwdown 2022,1,8,6,300.49,2,949.42,1181.51,1249.9099999999999,1179.8799999999999,1249.9099999999999,29.747857999999994,Iowa State,7
106,LSU,Loss 9-11,-9.34,Counts,0.0311,2023-03-19,Mens College Centex,0,9,11,-249.21,-2,1141.7,1192.48,892.49,1201.82,892.49,27.756439,Iowa State,8
89,Central Florida,Loss 7-13,-17.12,Counts,0.0311,2023-03-19,Mens College Centex,0,7,13,-557.53,-6,1207.83,1200.26,650.3,1217.3799999999999,650.3,20.22433,Iowa State,9
31,Oklahoma Christian,Loss 6-13,-6.15,Counts,0.0311,2023-03-19,Mens College Centex,0,6,13,-600,-7,1591.76,1189.29,991.76,1195.44,991.76,30.843736,Iowa State,10
63,California-Santa Barbara,Loss 11-12,2.18,Counts,0.0311,2023-03-19,Mens College Centex,0,11,12,-125,-1,1375.9,1180.96,1250.9,1178.78,1250.9,38.90299,Iowa State,11
70,Chicago,Loss 10-12,-3.01,Counts,0.0311,2023-03-20,Mens College Centex,0,10,12,-238.12,-2,1327.52,1186.15,1089.4,1189.16,1089.4,33.880340000000004,Iowa State,12
77,Arkansas,Loss 7-10,-9.56,Counts,0.0294,2023-03-20,Mens College Centex,0,7,10,-389.67,-3,1257.75,1192.7,868.0799999999999,1202.26,868.0799999999999,25.521551999999996,Iowa State,13
124,Texas State,Loss 7-10,-15.16,Counts,0.0294,2023-03-20,Mens College Centex,0,7,10,-389.67,-3,1072.93,1198.3,683.26,1213.46,683.26,20.087844,Iowa State,14
190,Illinois State,Win 12-8,1.97,Counts,0.0349,2023-04-02,Huck Finn 2022,1,12,8,441.15,4,796.31,1181.17,1237.46,1179.2,1237.46,43.187354,Iowa State,15
57,Alabama,Loss 9-10,3.83,Counts,0.0349,2023-04-02,Huck Finn 2022,0,9,10,-125,-1,1414,1179.31,1289,1175.48,1289,44.9861,Iowa State,16
32,Washington University,Loss 8-14,-4.67,Counts,0.0349,2023-04-02,Huck Finn 2022,0,8,14,-536.03,-6,1590.18,1187.81,1054.15,1192.48,1054.15,36.789835000000004,Iowa State,17
109,Vanderbilt,Win 10-2,16.94,Counts,0.0305,2023-04-02,Huck Finn 2022,1,10,2,600,8,1121.15,1166.2,1721.15,1149.26,1721.15,52.495075,Iowa State,18
68,Colorado College,Win 12-11,10.24,Counts,0.0349,2023-04-03,Huck Finn 2022,1,12,11,125,1,1340.93,1172.9,1465.93,1162.66,1465.93,51.160957,Iowa State,19
91,Kentucky,Loss 9-11,-8.49,Counts,0.0349,2023-04-03,Huck Finn 2022,0,9,11,-249.21,-2,1197.89,1191.63,948.6800000000001,1200.1200000000001,948.6800000000001,33.108932,Iowa State,20
133,Wisconsin-Milwaukee,Win 14-7,15.32,Counts,0.0349,2023-04-03,Huck Finn 2022,1,14,7,582.89,7,1023.38,1167.82,1606.27,1152.5,1606.27,56.058823,Iowa State,21
