OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
169,Kansas,Win 12-4,7.68,Counts,0.0297,2023-03-05,Midwest Throwdown 2022,1,12,4,600,8,889.88,1231.07,1489.88,1223.3899999999999,1489.88,44.249436,Iowa,1
164,Truman State,Win 7-4,3.75,Counts,0.0235,2023-03-05,Midwest Throwdown 2022,1,7,4,496.16,3,898.32,1235,1394.48,1231.25,1394.48,32.77028,Iowa,2
95,Iowa State,Loss 7-10,-13.41,Counts,0.0292,2023-03-05,Midwest Throwdown 2022,0,7,10,-389.67,-3,1183.14,1252.16,793.47,1265.5700000000002,793.47,23.169324,Iowa,3
54,Missouri S&T,Loss 10-11,2.01,Counts,0.030899999999999997,2023-03-06,Midwest Throwdown 2022,0,10,11,-125,-1,1426.73,1236.74,1301.73,1234.73,1301.73,40.223456999999996,Iowa,4
97,Marquette,Win 11-8,9.48,Counts,0.030899999999999997,2023-03-06,Midwest Throwdown 2022,1,11,8,365.61,3,1170.37,1229.27,1535.98,1219.79,1535.98,47.46178199999999,Iowa,5
32,Washington University,Loss 8-9,6.82,Counts,0.0292,2023-03-06,Midwest Throwdown 2022,0,8,9,-125,-1,1590.18,1231.93,1465.18,1225.1100000000001,1465.18,42.783256,Iowa,6
64,Northwestern,Loss 9-13,-9.2,Counts,0.030899999999999997,2023-03-06,Midwest Throwdown 2022,0,9,13,-418.57,-4,1368.8,1247.95,950.23,1257.15,950.23,29.362106999999998,Iowa,7
75,Boston College,Loss 8-10,-7.87,Counts,0.0338,2023-03-19,Mens College Centex,0,8,10,-262.67,-2,1276.09,1246.62,1013.4199999999998,1254.4899999999998,1013.4199999999998,34.253595999999995,Iowa,8
124,Texas State,Win 13-9,9.08,Counts,0.0347,2023-03-19,Mens College Centex,1,13,9,418.57,4,1072.93,1229.67,1491.5,1220.5900000000001,1491.5,51.755050000000004,Iowa,9
53,Tulane,Loss 7-11,-9.28,Counts,0.0338,2023-03-19,Mens College Centex,0,7,11,-466.89,-4,1440.12,1248.03,973.2299999999999,1257.31,973.2299999999999,32.89517399999999,Iowa,10
72,Texas A&M,Win 10-6,17.98,Counts,0.0318,2023-03-19,Mens College Centex,1,10,6,496.16,4,1289.26,1220.77,1785.42,1202.79,1785.42,56.77635600000001,Iowa,11
31,Oklahoma Christian,Loss 11-12,8.19,Counts,0.0347,2023-03-20,Mens College Centex,0,11,12,-125,-1,1591.76,1230.55,1466.76,1222.36,1466.76,50.896572,Iowa,12
56,Dartmouth,Loss 11-13,-1.73,Counts,0.0347,2023-03-20,Mens College Centex,0,11,13,-228.84,-2,1419.57,1240.47,1190.73,1242.2,1190.73,41.318331,Iowa,13
47,Florida,Loss 4-8,-9.26,Counts,0.0276,2023-03-20,Mens College Centex,0,4,8,-564.81,-4,1476.89,1248.01,912.0800000000002,1257.27,912.0800000000002,25.173408000000006,Iowa,14
130,Saint Louis,Win 9-8,-2.48,Counts,0.0348,2023-03-26,Old Capital Open 2022,1,9,8,125,1,1044.85,1241.23,1169.85,1243.71,1169.85,40.71077999999999,Iowa,15
194,Western Michigan,Win 10-9,-12.83,Counts,0.0368,2023-03-26,Old Capital Open 2022,1,10,9,125,1,777.6,1251.58,902.6,1264.4099999999999,902.6,33.21568,Iowa,16
142,Nebraska,Loss 7-8,-12.97,Counts,0.0327,2023-03-26,Old Capital Open 2022,0,7,8,-125,-1,979.53,1251.72,854.53,1264.69,854.53,27.943130999999997,Iowa,17
220,Minnesota-B,Win 13-4,2.1,Counts,0.0368,2023-03-27,Old Capital Open 2022,1,13,4,600,9,693.75,1236.65,1293.75,1234.5500000000002,1293.75,47.61,Iowa,18
130,Saint Louis,Win 9-8,-2.48,Counts,0.0348,2023-03-27,Old Capital Open 2022,1,9,8,125,1,1044.85,1241.23,1169.85,1243.71,1169.85,40.71077999999999,Iowa,19
164,Truman State,Win 10-9,-8.22,Counts,0.0368,2023-03-27,Old Capital Open 2022,1,10,9,125,1,898.32,1246.97,1023.32,1255.19,1023.32,37.658176000000005,Iowa,20
142,Nebraska,Win 13-7,12.84,Counts,0.041299999999999996,2023-04-09,West Plains D I College Mens CC 2022,1,13,7,557.53,6,979.53,1225.91,1537.06,1213.0700000000002,1537.06,63.480577999999994,Iowa,21
263,Northern Iowa,Win 13-6,-4.66,Counts,0.041299999999999996,2023-04-09,West Plains D I College Mens CC 2022,1,13,6,600,7,530.43,1243.41,1130.4299999999998,1248.0700000000002,1130.4299999999998,46.68675899999999,Iowa,22
255,Creighton,Win 13-3,0,Ignored,0,2023-04-09,West Plains D I College Mens CC 2022,1,13,3,600,10,584.65,1238.75,1184.65,1238.75,0,0,Iowa,23
95,Iowa State,Loss 12-13,-7.77,Counts,0.041299999999999996,2023-04-09,West Plains D I College Mens CC 2022,0,12,13,-125,-1,1183.14,1246.52,1058.14,1254.29,1058.14,43.701182,Iowa,24
142,Nebraska,Win 15-9,11.03,Counts,0.041299999999999996,2023-04-10,West Plains D I College Mens CC 2022,1,15,9,515.48,6,979.53,1227.72,1495.01,1216.69,1495.01,61.74391299999999,Iowa,25
95,Iowa State,Win 14-7,22.69,Counts,0.041299999999999996,2023-04-10,West Plains D I College Mens CC 2022,1,14,7,582.89,7,1183.14,1216.06,1766.0300000000002,1193.37,1766.0300000000002,72.937039,Iowa,26
22,Carleton College,Loss 3-13,-8.56,Counts,0.049100000000000005,2023-04-30,North Central D I College Mens Regionals 2022,0,3,13,-600,-10,1672.93,1247.3,1072.93,1255.86,1072.93,52.68086300000001,Iowa,27
264,Wisconsin-B,Win 12-5,0,Ignored,0,2023-04-30,North Central D I College Mens Regionals 2022,1,12,5,600,7,524.67,1238.75,1124.67,1238.75,0,0,Iowa,28
95,Iowa State,Win 12-7,23.99,Counts,0.049100000000000005,2023-04-30,North Central D I College Mens Regionals 2022,1,12,7,520.51,5,1183.14,1214.76,1703.65,1190.77,1703.65,83.64921500000001,Iowa,29
97,Marquette,Loss 7-11,-26.84,Counts,0.0478,2023-05-01,North Central D I College Mens Regionals 2022,0,7,11,-466.89,-4,1170.37,1265.59,703.4799999999999,1292.4299999999998,703.4799999999999,33.626343999999996,Iowa,30
