OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
315,Knox,Win 12-5,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,12,5,600,7,257.91,1148.73,857.9100000000001,1148.73,0,0,John Brown,1
319,Northwestern-B,Win 12-2,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,12,2,600,10,237.27,1148.73,837.27,1148.73,0,0,John Brown,2
264,Wisconsin-B,Win 10-5,-2.67,Counts,0.050499999999999996,2023-03-05,Midwest Throwdown 2022,1,10,5,573.9,5,524.67,1151.4,1098.57,1154.0700000000002,1098.57,55.47778499999999,John Brown,3
216,DePaul,Win 10-4,8.01,Counts,0.049699999999999994,2023-03-05,Midwest Throwdown 2022,1,10,4,600,6,701.9,1140.72,1301.9,1132.71,1301.9,64.70443,John Brown,4
78,Missouri,Loss 3-13,-29.88,Counts,0.056900000000000006,2023-03-06,Midwest Throwdown 2022,0,3,13,-600,-10,1253.01,1178.61,653.01,1208.49,653.01,37.156269,John Brown,5
54,Missouri S&T,Loss 7-11,-11.07,Counts,0.0553,2023-03-06,Midwest Throwdown 2022,0,7,11,-466.89,-4,1426.73,1159.79,959.84,1170.86,959.84,53.079152,John Brown,6
97,Marquette,Win 10-8,16.65,Counts,0.0553,2023-03-06,Midwest Throwdown 2022,1,10,8,262.67,2,1170.37,1132.07,1433.04,1115.4199999999998,1433.04,79.247112,John Brown,7
54,Missouri S&T,Loss 7-12,-19.92,Counts,0.0759,2023-04-09,Ozarks D III College Mens CC 2022,0,7,12,-520.51,-5,1426.73,1168.64,906.22,1188.5600000000002,906.22,68.782098,John Brown,8
31,Oklahoma Christian,Loss 6-12,-10.87,Counts,0.0739,2023-04-09,Ozarks D III College Mens CC 2022,0,6,12,-579.31,-6,1591.76,1159.6,1012.45,1170.4699999999998,1012.45,74.820055,John Brown,9
164,Truman State,Win 13-8,20.18,Counts,0.0759,2023-04-09,Ozarks D III College Mens CC 2022,1,13,8,496.16,5,898.32,1128.55,1394.48,1108.37,1394.48,105.841032,John Brown,10
54,Missouri S&T,Win 9-8,31.17,Counts,0.0718,2023-04-10,Ozarks D III College Mens CC 2022,1,9,8,125,1,1426.73,1117.56,1551.73,1086.3899999999999,1551.73,111.414214,John Brown,11
31,Oklahoma Christian,Loss 6-12,-10.87,Counts,0.0739,2023-04-10,Ozarks D III College Mens CC 2022,0,6,12,-579.31,-6,1591.76,1159.6,1012.45,1170.4699999999998,1012.45,74.820055,John Brown,12
54,Missouri S&T,Loss 9-12,-6.68,Counts,0.0902,2023-04-30,South Central D III College Mens Regionals 2022,0,9,12,-345.37,-3,1426.73,1155.41,1081.3600000000001,1162.0900000000001,1081.3600000000001,97.53867200000002,John Brown,13
131,Sul Ross State,Win 15-7,47.49,Counts,0.0902,2023-04-30,South Central D III College Mens Regionals 2022,1,15,7,600,8,1027.4,1101.24,1627.4,1053.75,1627.4,146.79148,John Brown,14
31,Oklahoma Christian,Loss 5-15,-15.57,Counts,0.0902,2023-04-30,South Central D III College Mens Regionals 2022,0,5,15,-600,-10,1591.76,1164.3,991.76,1179.87,991.76,89.456752,John Brown,15
31,Oklahoma Christian,Loss 6-15,-15.57,Counts,0.0902,2023-05-01,South Central D III College Mens Regionals 2022,0,6,15,-600,-9,1591.76,1164.3,991.76,1179.87,991.76,89.456752,John Brown,16
