OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
239,Radford,Loss 6-12,-42.36,Counts,0.048499999999999995,2023-02-26,Cutlass Classic 2022,0,6,12,-579.31,-6,639.15,933.29,59.84000000000003,975.65,59.84000000000003,2.9022400000000013,Kennesaw State,1
79,Charleston,Loss 9-11,5.9,Counts,0.049800000000000004,2023-02-26,Cutlass Classic 2022,0,9,11,-249.21,-2,1252.6,885.03,1003.3899999999999,879.13,1003.3899999999999,49.968821999999996,Kennesaw State,2
198,George Washington,Win 11-5,22.61,Counts,0.045700000000000005,2023-02-26,Cutlass Classic 2022,1,11,5,600,6,762.77,868.32,1362.77,845.71,1362.77,62.278589000000004,Kennesaw State,3
304,Embry-Riddle,Win 13-3,0.37,Counts,0.049800000000000004,2023-02-26,Cutlass Classic 2022,1,13,3,600,10,297.97,890.56,897.97,890.1899999999999,897.97,44.718906000000004,Kennesaw State,4
239,Radford,Loss 9-15,-40.24,Counts,0.049800000000000004,2023-02-27,Cutlass Classic 2022,0,9,15,-515.48,-6,639.15,931.16,123.66999999999996,971.4,123.66999999999996,6.158765999999998,Kennesaw State,5
233,Navy-B,Win 15-5,19.19,Counts,0.049800000000000004,2023-02-27,Cutlass Classic 2022,1,15,5,600,10,656.78,871.74,1256.78,852.55,1256.78,62.587644000000004,Kennesaw State,6
35,Middlebury,Loss 5-13,0,Ignored,0,2023-03-26,Rodeo,0,5,13,-600,-8,1530.51,890.93,930.51,890.93,0,0,Kennesaw State,7
157,Liberty,Win 9-7,19.42,Counts,0.0576,2023-03-26,Rodeo,1,9,7,279.34,2,929.3,871.5,1208.6399999999999,852.08,1208.6399999999999,69.61766399999999,Kennesaw State,8
243,Elon,Win 12-7,17.05,Counts,0.06280000000000001,2023-03-26,Rodeo,1,12,7,520.51,5,624.96,873.88,1145.47,856.83,1145.47,71.935516,Kennesaw State,9
149,SUNY-Binghamton,Win 8-7,11.3,Counts,0.0558,2023-03-26,Rodeo,1,8,7,125,1,957.14,879.63,1082.1399999999999,868.33,1082.1399999999999,60.38341199999999,Kennesaw State,10
94,Princeton,Loss 10-11,11.6,Counts,0.06280000000000001,2023-03-27,Rodeo,0,10,11,-125,-1,1189.13,879.32,1064.13,867.72,1064.13,66.82736400000002,Kennesaw State,11
157,Liberty,Loss 7-10,-22.18,Counts,0.0594,2023-03-27,Rodeo,0,7,10,-389.67,-3,929.3,913.11,539.6299999999999,935.29,539.6299999999999,32.054021999999996,Kennesaw State,12
111,Georgia State,Loss 11-12,7.19,Counts,0.0705,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,11,12,-125,-1,1110.77,883.74,985.77,876.55,985.77,69.49678499999999,Kennesaw State,13
102,Emory,Loss 3-10,-22.36,Counts,0.0616,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,3,10,-600,-7,1150.1,913.29,550.0999999999999,935.65,550.0999999999999,33.88616,Kennesaw State,14
134,Tennessee,Loss 7-9,-10.54,Counts,0.0647,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,7,9,-279.34,-2,1017.86,901.46,738.52,912,738.52,47.78224399999999,Kennesaw State,15
8,Georgia,Loss 4-15,0,Ignored,0,2023-04-09,Southern Appalachian D I College Mens CC 2022,0,4,15,-600,-11,1930.07,890.93,1330.07,890.93,0,0,Kennesaw State,16
134,Tennessee,Win 13-11,26.97,Counts,0.0705,2023-04-10,Southern Appalachian D I College Mens CC 2022,1,13,11,228.84,2,1017.86,863.95,1246.7,836.98,1246.7,87.89235,Kennesaw State,17
111,Georgia State,Loss 12-13,7.19,Counts,0.0705,2023-04-10,Southern Appalachian D I College Mens CC 2022,0,12,13,-125,-1,1110.77,883.74,985.77,876.55,985.77,69.49678499999999,Kennesaw State,18
121,Tennessee-Chattanooga,Loss 10-13,-10.53,Counts,0.0705,2023-04-10,Southern Appalachian D I College Mens CC 2022,0,10,13,-328.14,-3,1080.21,901.45,752.07,911.98,752.07,53.020935,Kennesaw State,19
