OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
54,Missouri S&T,Loss 10-11,5.13,Counts,0.0471,2023-04-02,Huck Finn 2022,0,10,11,-125,-1,1426.73,1192.76,1301.73,1187.6299999999999,1301.73,61.311483,Kentucky,1
70,Chicago,Loss 8-11,-11.67,Counts,0.0471,2023-04-02,Huck Finn 2022,0,8,11,-365.61,-3,1327.52,1209.55,961.91,1221.22,961.91,45.305961,Kentucky,2
46,Cincinnati,Loss 5-13,-15.6,Counts,0.0471,2023-04-02,Huck Finn 2022,0,5,13,-600,-8,1482.34,1213.49,882.3399999999999,1229.09,882.3399999999999,41.558214,Kentucky,3
172,Wisconsin-Whitewater,Win 9-8,-9.16,Counts,0.0446,2023-04-02,Huck Finn 2022,1,9,8,125,1,876.37,1207.05,1001.37,1216.21,1001.37,44.661102,Kentucky,4
78,Missouri,Win 11-9,15.04,Counts,0.0471,2023-04-03,Huck Finn 2022,1,11,9,249.21,2,1253.01,1182.84,1502.22,1167.8,1502.22,70.754562,Kentucky,5
216,DePaul,Win 15-4,5.14,Counts,0.0471,2023-04-03,Huck Finn 2022,1,15,4,600,11,701.9,1192.75,1301.9,1187.61,1301.9,61.31949000000001,Kentucky,6
95,Iowa State,Win 11-9,11.59,Counts,0.0471,2023-04-03,Huck Finn 2022,1,11,9,249.21,2,1183.14,1186.3,1432.3500000000001,1174.71,1432.3500000000001,67.46368500000001,Kentucky,7
33,Purdue,Loss 8-11,1.33,Counts,0.0499,2023-04-09,East Plains D I College Mens CC 2022,0,8,11,-365.61,-3,1588.79,1196.56,1223.1799999999998,1195.23,1223.1799999999998,61.03668199999999,Kentucky,8
245,IUPUI,Win 15-6,1.12,Counts,0.0499,2023-04-09,East Plains D I College Mens CC 2022,1,15,6,600,9,619.21,1196.77,1219.21,1195.65,1219.21,60.838579,Kentucky,9
NA,Ball State,Win 15-3,0,Ignored,0,2023-04-09,East Plains D I College Mens CC 2022,1,15,3,600,12,511.99,1197.89,1111.99,1197.89,0,0,Kentucky,10
52,Indiana,Loss 9-12,-5.36,Counts,0.0499,2023-04-10,East Plains D I College Mens CC 2022,0,9,12,-345.37,-3,1441.23,1203.25,1095.8600000000001,1208.61,1095.8600000000001,54.683414000000006,Kentucky,11
60,Notre Dame,Loss 12-13,3.95,Counts,0.0499,2023-04-10,East Plains D I College Mens CC 2022,0,12,13,-125,-1,1398.11,1193.94,1273.11,1189.99,1273.11,63.528189,Kentucky,12
16,Michigan,Loss 9-15,5.96,Counts,0.0593,2023-04-30,Great Lakes D I College Mens Regionals 2022,0,9,15,-515.48,-6,1807.83,1191.93,1292.35,1185.97,1292.35,76.636355,Kentucky,13
194,Western Michigan,Win 15-5,11.34,Counts,0.0593,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,5,600,10,777.6,1186.55,1377.6,1175.21,1377.6,81.69167999999999,Kentucky,14
64,Northwestern,Loss 9-15,-21.74,Counts,0.0593,2023-04-30,Great Lakes D I College Mens Regionals 2022,0,9,15,-515.48,-6,1368.8,1219.63,853.3199999999999,1241.3700000000001,853.3199999999999,50.601876,Kentucky,15
108,Michigan State,Loss 7-11,-32.81,Counts,0.057800000000000004,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,7,11,-466.89,-4,1129.58,1230.7,662.6899999999999,1263.51,662.6899999999999,38.303482,Kentucky,16
33,Purdue,Loss 10-13,3.96,Counts,0.0593,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,10,13,-328.14,-3,1588.79,1193.93,1260.65,1189.97,1260.65,74.756545,Kentucky,17
194,Western Michigan,Win 14-7,10.26,Counts,0.0593,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,14,7,582.89,7,777.6,1187.63,1360.49,1177.3700000000001,1360.49,80.677057,Kentucky,18
120,Grand Valley State,Win 14-3,30.43,Counts,0.0593,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,14,3,600,11,1080.22,1167.46,1680.22,1137.03,1680.22,99.637046,Kentucky,19
49,Illinois,Loss 10-14,-8.85,Counts,0.0593,2023-05-01,Great Lakes D I College Mens Regionals 2022,0,10,14,-398.7,-4,1456.25,1206.74,1057.55,1215.59,1057.55,62.712714999999996,Kentucky,20
