OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
103,John Brown,Loss 5-12,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,0,5,12,-600,-7,1148.73,257.91,548.73,257.91,0,0,Knox,1
264,Wisconsin-B,Loss 6-7,5.61,Counts,0.038,2023-03-05,Midwest Throwdown 2022,0,6,7,-125,-1,524.67,252.31,399.66999999999996,246.7,399.66999999999996,15.187459999999998,Knox,2
319,Northwestern-B,Win 7-5,11.67,Counts,0.0365,2023-03-05,Midwest Throwdown 2022,1,7,5,328.14,2,237.27,246.25,565.41,234.58,565.41,20.637465,Knox,3
227,Macalester College,Loss 5-10,-6.48,Counts,0.0409,2023-03-06,Midwest Throwdown 2022,0,5,10,-573.9,-5,679.73,264.39,105.83000000000004,270.87,105.83000000000004,4.3284470000000015,Knox,4
319,Northwestern-B,Win 8-6,11.5,Counts,0.0395,2023-03-06,Midwest Throwdown 2022,1,8,6,300.49,2,237.27,246.41,537.76,234.91,537.76,21.24152,Knox,5
221,Loyola-Chicago,Loss 2-9,-7.88,Counts,0.0452,2023-03-26,Illinois Invite,0,2,9,-600,-7,691.51,265.8,91.50999999999999,273.68,91.50999999999999,4.136251999999999,Knox,6
230,North Park,Loss 6-8,5.32,Counts,0.046900000000000004,2023-03-26,Illinois Invite,0,6,8,-300.49,-2,666.39,252.59,365.9,247.27,365.9,17.16071,Knox,7
334,Bradley,Win 7-6,-0.44,Counts,0.0452,2023-03-26,Illinois Invite,1,7,6,125,1,123.56,258.36,248.56,258.8,248.56,11.234912,Knox,8
286,Notre Dame-B,Win 12-9,27.91,Counts,0.0547,2023-03-27,Illinois Invite,1,12,9,345.37,3,394.95,230,740.3199999999999,202.09,740.3199999999999,40.495504,Knox,9
340,Illinois-B,Win 9-7,5.18,Counts,0.050199999999999995,2023-03-27,Illinois Invite,1,9,7,279.34,2,76.66,252.73,356,247.54999999999998,356,17.871199999999998,Knox,10
286,Notre Dame-B,Loss 8-13,-20.78,Counts,0.0547,2023-03-27,Illinois Invite,0,8,13,-496.16,-5,394.95,278.69,-101.21000000000004,299.47,-101.21000000000004,-5.536187000000002,Knox,11
230,North Park,Loss 3-13,-14.17,Counts,0.0689,2023-04-23,Illinois D III College Mens CC 2022,0,3,13,-600,-10,666.39,272.09,66.38999999999999,286.26,66.38999999999999,4.5742709999999995,Knox,12
141,Wheaton (Illinois),Loss 4-13,0,Ignored,0,2023-04-23,Illinois D III College Mens CC 2022,0,4,13,-600,-9,985.02,257.91,385.02,257.91,0,0,Knox,13
334,Bradley,Win 13-5,34.46,Counts,0.0689,2023-04-23,Illinois D III College Mens CC 2022,1,13,5,600,8,123.56,223.45,723.56,188.98999999999998,723.56,49.853283999999995,Knox,14
230,North Park,Loss 6-9,-0.66,Counts,0.061200000000000004,2023-04-24,Illinois D III College Mens CC 2022,0,6,9,-418.57,-3,666.39,258.57,247.82,259.23,247.82,15.166584,Knox,15
334,Bradley,Loss 6-7,-15.68,Counts,0.057,2023-04-24,Illinois D III College Mens CC 2022,0,6,7,-125,-1,123.56,273.59,-1.4399999999999977,289.27,-1.4399999999999977,-0.08207999999999988,Knox,16
182,Kalamazoo,Loss 4-15,-3.11,Counts,0.073,2023-04-30,Great Lakes D III College Mens Regionals 2022,0,4,15,-600,-11,818.37,261.03,218.37,264.14,218.37,15.941009999999999,Knox,17
230,North Park,Loss 6-14,-15.08,Counts,0.073,2023-04-30,Great Lakes D III College Mens Regionals 2022,0,6,14,-600,-8,666.39,273,66.38999999999999,288.08,66.38999999999999,4.846469999999998,Knox,18
182,Kalamazoo,Loss 4-15,-3.11,Counts,0.073,2023-05-01,Great Lakes D III College Mens Regionals 2022,0,4,15,-600,-11,818.37,261.03,218.37,264.14,218.37,15.941009999999999,Knox,19
230,North Park,Loss 4-13,-15.08,Counts,0.073,2023-05-01,Great Lakes D III College Mens Regionals 2022,0,4,13,-600,-9,666.39,273,66.38999999999999,288.08,66.38999999999999,4.846469999999998,Knox,20
