OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
360,Rutgers-B,Win 8-7,6.92,Counts,0.0793,2023-02-26,Bring The Huckus 12,1,8,7,125,1,192.65,154.91,317.65,147.99,317.65,25.189644999999995,Lehigh-B,1
375,Stevens Tech-B,Win 10-4,20.5,Counts,0.078,2023-02-26,Bring The Huckus 12,1,10,4,600,6,505.58,168.49,1105.58,147.99,1105.58,86.23523999999999,Lehigh-B,2
369,SUNY-Albany-B,Win 8-4,24.79,Counts,0.0709,2023-02-26,Bring The Huckus 12,1,8,4,564.81,4,388.05,172.78,952.8599999999999,147.99,952.8599999999999,67.557774,Lehigh-B,3
314,Edinboro,Loss 5-10,-14.45,Counts,0.0793,2023-02-26,Bring The Huckus 12,0,5,10,-573.9,-5,258.18,133.54,-315.71999999999997,147.98999999999998,-315.71999999999997,-25.036595999999996,Lehigh-B,4
256,Penn State-B,Loss 2-13,0,Ignored,0,2023-02-27,Bring The Huckus 12,0,2,13,-600,-11,583.9,147.99,-16.100000000000023,147.99,0,-0,Lehigh-B,5
360,Rutgers-B,Loss 6-7,-17.4,Counts,0.09300000000000001,2023-03-26,Garden State 2022,0,6,7,-125,-1,192.65,130.58,67.65,147.98000000000002,67.65,6.291450000000001,Lehigh-B,6
368,Muhlenberg College,Win 8-7,-8.22,Counts,0.0999,2023-03-26,Garden State 2022,1,8,7,125,1,347.05,139.76,472.05,147.98,472.05,47.157795,Lehigh-B,7
350,New Jersey Tech,Loss 6-10,-41.92,Counts,0.1032,2023-03-26,Garden State 2022,0,6,10,-496.16,-4,16.08,106.07,-480.08000000000004,147.99,-480.08000000000004,-49.544256000000004,Lehigh-B,8
350,New Jersey Tech,Loss 0-13,-59.31,Counts,0.1125,2023-03-27,Garden State 2022,0,0,13,-600,-13,16.08,88.67,-583.92,147.98000000000002,-583.92,-65.691,Lehigh-B,9
128,Scranton,Loss 3-15,0,Ignored,0,2023-04-16,East Penn D III College Mens CC 2022,0,3,15,-600,-12,1053.29,147.99,453.28999999999996,147.99,0,0,Lehigh-B,10
219,Swarthmore,Loss 5-15,0,Ignored,0,2023-04-16,East Penn D III College Mens CC 2022,0,5,15,-600,-10,694.16,147.99,94.15999999999997,147.99,0,0,Lehigh-B,11
295,Haverford,Loss 9-11,41.05,Counts,0.13369999999999999,2023-04-16,East Penn D III College Mens CC 2022,0,9,11,-249.21,-2,367.14,189.04,117.92999999999998,147.99,117.92999999999998,15.767240999999995,Lehigh-B,12
231,Messiah,Loss 5-15,0,Ignored,0,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,5,15,-600,-10,664.18,147.99,64.17999999999995,147.99,0,0,Lehigh-B,13
237,Grove City,Loss 1-15,0,Ignored,0,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,1,15,-600,-14,647.85,147.99,47.85000000000002,147.99,0,0,Lehigh-B,14
214,Wooster,Loss 8-15,50.42,Counts,0.1501,2023-04-30,Ohio Valley D III College Mens Regionals 2022,0,8,15,-564.81,-7,702.25,198.4,137.44000000000005,147.98000000000002,137.44000000000005,20.62974400000001,Lehigh-B,15
231,Messiah,Loss 6-15,0,Ignored,0,2023-05-01,Ohio Valley D III College Mens Regionals 2022,0,6,15,-600,-9,664.18,147.99,64.17999999999995,147.99,0,0,Lehigh-B,16
206,Kenyon,Loss 2-15,0,Ignored,0,2023-05-01,Ohio Valley D III College Mens Regionals 2022,0,2,15,-600,-13,725.52,147.99,125.51999999999998,147.99,0,0,Lehigh-B,17
