OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
96,RIT,Loss 9-10,-3.83,Counts,0.0356,2023-02-26,Oak Creek Challenge,0,9,10,-125,-1,1175.71,1158.1,1050.71,1161.9299999999998,1050.71,37.405276,Lehigh,1
110,Christopher Newport,Win 13-4,20.68,Counts,0.0356,2023-02-26,Oak Creek Challenge,1,13,4,600,9,1114.15,1133.59,1714.15,1112.9099999999999,1714.15,61.023740000000004,Lehigh,2
139,Towson,Win 11-9,2.99,Counts,0.0356,2023-02-26,Oak Creek Challenge,1,11,9,249.21,2,985.92,1151.28,1235.1299999999999,1148.29,1235.1299999999999,43.970628,Lehigh,3
118,Virginia Commonwealth,Win 13-11,5.79,Counts,0.0356,2023-02-26,Oak Creek Challenge,1,13,11,228.84,2,1082.14,1148.48,1310.98,1142.69,1310.98,46.670888,Lehigh,4
242,Drexel,Win 13-3,2.64,Counts,0.0356,2023-02-27,Oak Creek Challenge,1,13,3,600,10,625.81,1151.63,1225.81,1148.99,1225.81,43.638836,Lehigh,5
73,Delaware,Win 13-10,16.89,Counts,0.0356,2023-02-27,Oak Creek Challenge,1,13,10,328.14,3,1283.29,1137.38,1611.4299999999998,1120.49,1611.4299999999998,57.366907999999995,Lehigh,6
236,Shippensburg,Win 15-4,4.92,Counts,0.047599999999999996,2023-04-02,Atlantic Coast Open,1,15,4,600,11,652.75,1149.35,1252.75,1144.4299999999998,1252.75,59.6309,Lehigh,7
67,James Madison,Loss 8-15,-18.88,Counts,0.047599999999999996,2023-04-02,Atlantic Coast Open,0,8,15,-564.81,-7,1340.98,1173.15,776.1700000000001,1192.0300000000002,776.1700000000001,36.945692,Lehigh,8
198,George Washington,Win 15-10,3.1,Counts,0.047599999999999996,2023-04-02,Atlantic Coast Open,1,15,10,453.6,5,762.77,1151.17,1216.37,1148.0700000000002,1216.37,57.89921199999999,Lehigh,9
93,Harvard,Win 15-6,31.83,Counts,0.047599999999999996,2023-04-02,Atlantic Coast Open,1,15,6,600,9,1191.89,1122.44,1791.89,1090.6100000000001,1791.89,85.293964,Lehigh,10
67,James Madison,Loss 4-11,-18.86,Counts,0.0436,2023-04-03,Atlantic Coast Open,0,4,11,-600,-7,1340.98,1173.13,740.98,1191.99,740.98,32.306728,Lehigh,11
85,Cornell,Win 12-10,15.79,Counts,0.047599999999999996,2023-04-03,Atlantic Coast Open,1,12,10,238.12,2,1232.33,1138.49,1470.4499999999998,1122.7,1470.4499999999998,69.99341999999999,Lehigh,12
37,Virginia,Loss 4-15,-11.95,Counts,0.047599999999999996,2023-04-03,Atlantic Coast Open,0,4,15,-600,-11,1514.83,1166.23,914.8299999999999,1178.18,914.8299999999999,43.54590799999999,Lehigh,13
98,Pennsylvania,Loss 8-11,-20,Counts,0.053399999999999996,2023-04-16,East Penn D I College Mens CC 2022,0,8,11,-365.61,-3,1165.17,1174.27,799.5600000000001,1194.27,799.5600000000001,42.696504,Lehigh,14
229,West Chester,Win 12-8,-2.32,Counts,0.053399999999999996,2023-04-16,East Penn D I College Mens CC 2022,1,12,8,441.15,4,671.94,1156.59,1113.0900000000001,1158.9099999999999,1113.0900000000001,59.439006000000006,Lehigh,15
242,Drexel,Win 13-3,4.03,Counts,0.053399999999999996,2023-04-16,East Penn D I College Mens CC 2022,1,13,3,600,10,625.81,1150.24,1225.81,1146.21,1225.81,65.458254,Lehigh,16
65,Temple,Loss 9-12,-7.89,Counts,0.053399999999999996,2023-04-16,East Penn D I College Mens CC 2022,0,9,12,-345.37,-3,1359.72,1162.16,1014.35,1170.0500000000002,1014.35,54.16629,Lehigh,17
98,Pennsylvania,Loss 7-14,-32.25,Counts,0.053399999999999996,2023-04-17,East Penn D I College Mens CC 2022,0,7,14,-582.89,-7,1165.17,1186.52,582.2800000000001,1218.77,582.2800000000001,31.093752000000002,Lehigh,18
170,Ohio,Win 13-5,22.02,Counts,0.0635,2023-05-07,Ohio Valley D I College Mens Regionals 2022,1,13,5,600,8,879.22,1132.25,1479.22,1110.23,1479.22,93.93047,Lehigh,19
5,Pittsburgh,Loss 4-13,0,Ignored,0,2023-05-07,Ohio Valley D I College Mens Regionals 2022,0,4,13,-600,-9,1999.22,1154.27,1399.22,1154.27,0,0,Lehigh,20
179,West Virginia,Win 12-9,1.33,Counts,0.0635,2023-05-07,Ohio Valley D I College Mens Regionals 2022,1,12,9,345.37,3,828.6,1152.94,1173.97,1151.6100000000001,1173.97,74.547095,Lehigh,21
48,Case Western Reserve,Loss 7-13,-16.77,Counts,0.0635,2023-05-08,Ohio Valley D I College Mens Regionals 2022,0,7,13,-557.53,-6,1464.33,1171.04,906.8,1187.81,906.8,57.5818,Lehigh,22
