OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
98,Pennsylvania,Win 8-5,17.44,Counts,0.024700000000000003,2023-02-19,Commonwealth Cup Weekend 1,1,8,5,453.6,3,1165.17,911.87,1618.77,894.43,1618.77,39.983619000000004,Liberty,1
318,Virginia-B,Win 8-2,0,Ignored,0,2023-02-19,Commonwealth Cup Weekend 1,1,8,2,600,6,242.62,929.3,842.62,929.3,0,0,Liberty,2
188,Mary Washington,Loss 6-7,-6.47,Counts,0.024700000000000003,2023-02-19,Commonwealth Cup Weekend 1,0,6,7,-125,-1,798.38,935.77,673.38,942.24,673.38,16.632486000000004,Liberty,3
149,SUNY-Binghamton,Loss 8-11,-10.38,Counts,0.0298,2023-02-20,Commonwealth Cup Weekend 1,0,8,11,-365.61,-3,957.14,939.68,591.53,950.06,591.53,17.627594,Liberty,4
98,Pennsylvania,Loss 6-10,-7.32,Counts,0.0274,2023-02-20,Commonwealth Cup Weekend 1,0,6,10,-496.16,-4,1165.17,936.62,669.01,943.94,669.01,18.330874,Liberty,5
179,West Virginia,Loss 7-9,-10.69,Counts,0.0274,2023-02-20,Commonwealth Cup Weekend 1,0,7,9,-279.34,-2,828.6,939.99,549.26,950.6800000000001,549.26,15.049724,Liberty,6
35,Middlebury,Loss 10-13,11.32,Counts,0.0398,2023-03-26,Rodeo,0,10,13,-328.14,-3,1530.51,917.98,1202.37,906.66,1202.37,47.854326,Liberty,7
149,SUNY-Binghamton,Win 8-7,5.6,Counts,0.0354,2023-03-26,Rodeo,1,8,7,125,1,957.14,923.7,1082.1399999999999,918.1,1082.1399999999999,38.307756,Liberty,8
168,Kennesaw State,Loss 7-9,-12.04,Counts,0.0365,2023-03-26,Rodeo,0,7,9,-279.34,-2,890.93,941.35,611.5899999999999,953.39,611.5899999999999,22.323034999999997,Liberty,9
243,Elon,Win 8-5,5.08,Counts,0.0329,2023-03-26,Rodeo,1,8,5,453.6,3,624.96,924.22,1078.56,919.14,1078.56,35.484624,Liberty,10
87,Richmond,Loss 8-9,6.53,Counts,0.037599999999999995,2023-03-27,Rodeo,0,8,9,-125,-1,1221.1,922.78,1096.1,916.25,1096.1,41.21335999999999,Liberty,11
168,Kennesaw State,Win 10-7,13.74,Counts,0.037599999999999995,2023-03-27,Rodeo,1,10,7,389.67,3,890.93,915.56,1280.6,901.8199999999999,1280.6,48.15055999999999,Liberty,12
153,Johns Hopkins,Loss 12-13,-4.45,Counts,0.042199999999999994,2023-04-02,Atlantic Coast Open,0,12,13,-125,-1,953.29,933.75,828.29,938.2,828.29,34.95383799999999,Liberty,13
51,Penn State,Loss 8-15,-1.96,Counts,0.042199999999999994,2023-04-02,Atlantic Coast Open,0,8,15,-564.81,-7,1449.51,931.27,884.7,933.23,884.7,37.33434,Liberty,14
351,Cornell-B,Win 15-8,-18.36,Counts,0.042199999999999994,2023-04-02,Atlantic Coast Open,1,15,8,564.81,7,52.51,947.66,617.3199999999999,966.02,617.3199999999999,26.050903999999996,Liberty,15
37,Virginia,Loss 9-15,3.08,Counts,0.042199999999999994,2023-04-02,Atlantic Coast Open,0,9,15,-515.48,-6,1514.83,926.22,999.3499999999999,923.14,999.3499999999999,42.17256999999999,Liberty,16
214,Wooster,Win 14-9,10.87,Counts,0.042199999999999994,2023-04-03,Atlantic Coast Open,1,14,9,473.87,5,702.25,918.44,1176.12,907.57,1176.12,49.63226399999999,Liberty,17
74,Navy,Loss 6-15,-11.09,Counts,0.042199999999999994,2023-04-03,Atlantic Coast Open,0,6,15,-600,-9,1277.32,940.4,677.3199999999999,951.49,677.3199999999999,28.582903999999992,Liberty,18
238,George Mason,Win 15-0,13.92,Counts,0.042199999999999994,2023-04-03,Atlantic Coast Open,1,15,0,600,15,645.39,915.39,1245.3899999999999,901.47,1245.3899999999999,52.55545799999999,Liberty,19
27,William & Mary,Loss 6-13,4.56,Counts,0.0501,2023-04-23,Virginia D I College Mens CC 2022,0,6,13,-600,-7,1615.6,924.75,1015.5999999999999,920.19,1015.5999999999999,50.88155999999999,Liberty,20
67,James Madison,Loss 10-13,4.41,Counts,0.0501,2023-04-23,Virginia D I College Mens CC 2022,0,10,13,-328.14,-3,1340.98,924.89,1012.84,920.48,1012.84,50.743284,Liberty,21
238,George Mason,Win 11-9,-1.83,Counts,0.0501,2023-04-23,Virginia D I College Mens CC 2022,1,11,9,249.21,2,645.39,931.13,894.6,932.96,894.6,44.81946,Liberty,22
69,Virginia Tech,Loss 6-13,-10.52,Counts,0.0501,2023-04-23,Virginia D I College Mens CC 2022,0,6,13,-600,-7,1329.97,939.83,729.97,950.35,729.97,36.571497,Liberty,23
239,Radford,Win 15-7,16.36,Counts,0.0501,2023-04-24,Virginia D I College Mens CC 2022,1,15,7,600,8,639.15,912.94,1239.15,896.58,1239.15,62.081415,Liberty,24
67,James Madison,Loss 12-15,5.87,Counts,0.0501,2023-04-24,Virginia D I College Mens CC 2022,0,12,15,-300.49,-3,1340.98,923.43,1040.49,917.56,1040.49,52.128549,Liberty,25
118,Virginia Commonwealth,Loss 7-15,-23.61,Counts,0.0501,2023-04-24,Virginia D I College Mens CC 2022,0,7,15,-600,-8,1082.14,952.91,482.1400000000001,976.52,482.1400000000001,24.155214000000004,Liberty,26
