OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
190,Illinois State,Loss 8-9,-1.3,Counts,0.0359,2023-03-05,Midwest Throwdown 2022,0,8,9,-125,-1,796.31,707.48,671.31,708.78,671.31,24.100029,Luther,1
348,Southeast Missouri State,Win 12-3,0,Ignored,0,2023-03-05,Midwest Throwdown 2022,1,12,3,600,9,18.35,706.18,618.35,706.18,0,0,Luther,2
249,St John's,Loss 7-10,-18.04,Counts,0.0359,2023-03-05,Midwest Throwdown 2022,0,7,10,-389.67,-3,610.8,724.22,221.12999999999994,742.26,221.12999999999994,7.938566999999998,Luther,3
259,Minnesota-Duluth,Loss 6-12,-28.62,Counts,0.0369,2023-03-06,Midwest Throwdown 2022,0,6,12,-579.31,-6,538.52,734.8,-40.789999999999964,763.42,-40.789999999999964,-1.5051509999999988,Luther,4
306,Carleton College-Karls,Win 11-7,2.12,Counts,0.0369,2023-03-06,Midwest Throwdown 2022,1,11,7,466.89,4,294.57,704.06,761.46,701.9399999999999,761.46,28.097874000000004,Luther,5
306,Carleton College-Karls,Win 13-6,8.37,Counts,0.0426,2023-03-19,College Southerns XX,1,13,6,600,7,294.57,697.81,894.5699999999999,689.4399999999999,894.5699999999999,38.108681999999995,Luther,6
274,Georgia Southern,Win 11-8,6.18,Counts,0.0426,2023-03-19,College Southerns XX,1,11,8,365.61,3,479.62,700,845.23,693.82,845.23,36.006798,Luther,7
195,Georgia College,Loss 10-13,-11.49,Counts,0.0426,2023-03-19,College Southerns XX,0,10,13,-328.14,-3,775.91,717.67,447.77,729.16,447.77,19.075001999999998,Luther,8
79,Charleston,Loss 8-15,-0.82,Counts,0.0426,2023-03-20,College Southerns XX,0,8,15,-564.81,-7,1252.6,707,687.79,707.82,687.79,29.299853999999996,Luther,9
195,Georgia College,Win 15-5,29.77,Counts,0.0426,2023-03-20,College Southerns XX,1,15,5,600,10,775.91,676.41,1375.9099999999999,646.64,1375.9099999999999,58.61376599999999,Luther,10
189,Wisconsin-Eau Claire,Loss 7-14,-21.82,Counts,0.0426,2023-03-20,College Southerns XX,0,7,14,-582.89,-7,798.26,728,215.37,749.82,215.37,9.174762,Luther,11
163,Michigan Tech,Loss 8-12,-14.91,Counts,0.056799999999999996,2023-04-23,Lake Superior D III College Mens CC 2022,0,8,12,-441.15,-4,899.82,721.09,458.6700000000001,736,458.6700000000001,26.052456000000003,Luther,12
305,Milwaukee School of Engineering,Win 12-5,10.87,Counts,0.0545,2023-04-23,Lake Superior D III College Mens CC 2022,1,12,5,600,7,294.7,695.31,894.7,684.4399999999999,894.7,48.76115,Luther,13
160,Carthage,Loss 8-10,-3.25,Counts,0.0553,2023-04-23,Lake Superior D III College Mens CC 2022,0,8,10,-262.67,-2,913.35,709.43,650.6800000000001,712.68,650.6800000000001,35.982604,Luther,14
80,Wisconsin-Platteville,Loss 7-12,1.39,Counts,0.056799999999999996,2023-04-23,Lake Superior D III College Mens CC 2022,0,7,12,-520.51,-5,1249.81,704.79,729.3,703.4,729.3,41.42424,Luther,15
305,Milwaukee School of Engineering,Win 15-3,11.36,Counts,0.056799999999999996,2023-04-24,Lake Superior D III College Mens CC 2022,1,15,3,600,12,294.7,694.82,894.7,683.46,894.7,50.81896,Luther,16
160,Carthage,Loss 8-13,-19.68,Counts,0.0638,2023-05-07,North Central D III College Mens Regionals 2022,0,8,13,-496.16,-5,913.35,725.86,417.19,745.54,417.19,26.616722,Luther,17
90,Carleton College-CHOP,Loss 5-13,-7.22,Counts,0.0638,2023-05-07,North Central D III College Mens Regionals 2022,0,5,13,-600,-8,1200.18,713.4,600.1800000000001,720.62,600.1800000000001,38.291484000000004,Luther,18
249,St John's,Win 13-7,31.48,Counts,0.0638,2023-05-07,North Central D III College Mens Regionals 2022,1,13,7,557.53,6,610.8,674.7,1168.33,643.22,1168.33,74.53945399999999,Luther,19
253,St. Thomas,Win 13-9,21.05,Counts,0.0638,2023-05-07,North Central D III College Mens Regionals 2022,1,13,9,418.57,4,NA,685.13,NA,664.08,NA,NA,Luther,20
160,Carthage,Loss 12-13,5.6,Counts,0.0638,2023-05-08,North Central D III College Mens Regionals 2022,0,12,13,-125,-1,913.35,700.58,788.35,694.98,788.35,50.29673,Luther,21
