OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
154,NYU,Loss 6-12,-31.47,Counts,0.0564,2023-03-05,No Sleep Till Brooklyn 2022,0,6,12,-579.31,-6,950.57,929.55,371.2600000000001,961.02,371.2600000000001,20.939064000000005,MIT,1
309,SUNY-Binghamton-B,Win 13-3,0,Ignored,0,2023-03-05,No Sleep Till Brooklyn 2022,1,13,3,600,10,281.65,898.08,881.65,898.08,0,0,MIT,2
123,Williams,Loss 11-13,-3.26,Counts,0.0579,2023-03-05,No Sleep Till Brooklyn 2022,0,11,13,-228.84,-2,1073.97,901.34,845.13,904.6,845.13,48.933027,MIT,3
119,Connecticut,Loss 11-13,-2.85,Counts,0.0579,2023-03-05,No Sleep Till Brooklyn 2022,0,11,13,-228.84,-2,1080.53,900.93,851.6899999999999,903.78,851.6899999999999,49.312850999999995,MIT,4
279,Hofstra,Win 11-9,-12.49,Counts,0.0579,2023-03-06,No Sleep Till Brooklyn 2022,1,11,9,249.21,2,445.61,910.58,694.82,923.07,694.82,40.230078000000006,MIT,5
209,SUNY-Stony Brook,Win 10-9,-3.52,Counts,0.0579,2023-03-06,No Sleep Till Brooklyn 2022,1,10,9,125,1,715.85,901.6,840.85,905.12,840.85,48.685215,MIT,6
188,Mary Washington,Loss 7-8,-13.77,Counts,0.057800000000000004,2023-03-19,Oak Creek Invite,0,7,8,-125,-1,798.38,911.85,673.38,925.62,673.38,38.921364000000004,MIT,7
62,Carnegie Mellon,Loss 2-13,-7.86,Counts,0.065,2023-03-19,Oak Creek Invite,0,2,13,-600,-11,1384.97,905.95,784.97,913.8100000000001,784.97,51.023050000000005,MIT,8
118,Virginia Commonwealth,Loss 5-12,-27.67,Counts,0.062400000000000004,2023-03-19,Oak Creek Invite,0,5,12,-600,-7,1082.14,925.76,482.1400000000001,953.43,482.1400000000001,30.08553600000001,MIT,9
188,Mary Washington,Win 10-7,19,Counts,0.061500000000000006,2023-03-20,Oak Creek Invite,1,10,7,389.67,3,798.38,879.08,1188.05,860.08,1188.05,73.06507500000001,MIT,10
85,Cornell,Win 12-9,47.25,Counts,0.065,2023-03-20,Oak Creek Invite,1,12,9,345.37,3,1232.33,850.83,1577.6999999999998,803.58,1577.6999999999998,102.55049999999999,MIT,11
162,Massachusetts-Lowell,Loss 9-10,-10.81,Counts,0.0819,2023-04-16,Metro Boston D I College Mens CC 2022,0,9,10,-125,-1,901.86,908.89,776.86,919.6999999999999,776.86,63.624834,MIT,12
75,Boston College,Loss 8-13,-10.54,Counts,0.0819,2023-04-16,Metro Boston D I College Mens CC 2022,0,8,13,-496.16,-5,1276.09,908.62,779.9299999999998,919.16,779.9299999999998,63.876266999999984,MIT,13
129,Boston University,Win 9-6,44.79,Counts,0.0728,2023-04-16,Metro Boston D I College Mens CC 2022,1,9,6,418.57,3,1050.21,853.29,1468.78,808.5,1468.78,106.927184,MIT,14
18,Tufts,Loss 5-13,0,Ignored,0,2023-04-16,Metro Boston D I College Mens CC 2022,0,5,13,-600,-8,1715.78,898.08,1115.78,898.08,0,0,MIT,15
93,Harvard,Loss 7-12,-20.22,Counts,0.0819,2023-04-17,Metro Boston D I College Mens CC 2022,0,7,12,-520.51,-5,1191.89,918.3,671.3800000000001,938.52,671.3800000000001,54.98602200000001,MIT,16
12,Northeastern,Loss 7-13,34.26,Counts,0.0819,2023-04-17,Metro Boston D I College Mens CC 2022,0,7,13,-557.53,-6,1839.64,863.83,1282.1100000000001,829.57,1282.1100000000001,105.00480900000001,MIT,17
