OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
217,SUNY-Geneseo,Win 10-6,-2.35,Counts,0.064,2023-03-12,Mash Up,1,10,6,496.16,4,699.49,1232.46,1195.65,1234.81,1195.65,76.5216,Maine,1
281,North Carolina State-B,Win 7-6,-41.15,Counts,0.057699999999999994,2023-03-12,Mash Up,1,7,6,125,1,432.72,1271.26,557.72,1312.41,557.72,32.180444,Maine,2
187,Bryant,Win 11-5,11.81,Counts,0.064,2023-03-12,Mash Up,1,11,5,600,6,802.93,1218.3,1402.9299999999998,1206.49,1402.9299999999998,89.78751999999999,Maine,3
156,Rhode Island,Win 15-7,22.84,Counts,0.0697,2023-03-13,Mash Up,1,15,7,600,8,934.93,1207.26,1534.9299999999998,1184.42,1534.9299999999998,106.98462099999999,Maine,4
282,High Point,Win 12-7,-21.43,Counts,0.0697,2023-03-13,Mash Up,1,12,7,520.51,5,423.59,1251.54,944.0999999999999,1272.97,944.0999999999999,65.80376999999999,Maine,5
175,SUNY Cortland,Win 12-9,-2.65,Counts,0.0697,2023-03-13,Mash Up,1,12,9,345.37,3,849.35,1232.76,1194.72,1235.41,1194.72,83.271984,Maine,6
1,Brown,Loss 5-13,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,0,5,13,-600,-8,2209.79,1230.11,1609.79,1230.11,0,0,Maine,7
252,New Hampshire,Win 13-2,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,1,13,2,600,11,602.58,1230.11,1202.58,1230.11,0,0,Maine,8
9,Vermont,Loss 5-13,0,Ignored,0,2023-04-16,Greater New England D I College Mens CC 2022,0,5,13,-600,-8,1901.02,1230.11,1301.02,1230.11,0,0,Maine,9
20,McGill,Loss 5-15,-14.77,Counts,0.0931,2023-04-16,Greater New England D I College Mens CC 2022,0,5,15,-600,-10,1686.18,1244.88,1086.18,1259.65,1086.18,101.12335800000001,Maine,10
156,Rhode Island,Win 13-9,12.66,Counts,0.0931,2023-04-17,Greater New England D I College Mens CC 2022,1,13,9,418.57,4,934.93,1217.45,1353.5,1204.79,1353.5,126.01085,Maine,11
56,Dartmouth,Win 10-9,32.27,Counts,0.0931,2023-04-17,Greater New England D I College Mens CC 2022,1,10,9,125,1,1419.57,1197.84,1544.57,1165.57,1544.57,143.799467,Maine,12
1,Brown,Loss 4-13,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,0,4,13,-600,-9,2209.79,1230.11,1609.79,1230.11,0,0,Maine,13
93,Harvard,Win 9-8,10.15,Counts,0.1047,2023-05-07,New England D I College Mens Regionals 2022,1,9,8,125,1,1191.89,1219.96,1316.89,1209.81,1316.89,137.878383,Maine,14
12,Northeastern,Loss 3-13,0,Ignored,0,2023-05-07,New England D I College Mens Regionals 2022,0,3,13,-600,-10,1839.64,1230.11,1239.64,1230.11,0,0,Maine,15
20,McGill,Loss 1-13,-17.91,Counts,0.1107,2023-05-07,New England D I College Mens Regionals 2022,0,1,13,-600,-12,1686.18,1248.02,1086.18,1265.93,1086.18,120.24012600000002,Maine,16
185,Northeastern-B,Win 15-9,11.89,Counts,0.1107,2023-05-08,New England D I College Mens Regionals 2022,1,15,9,515.48,6,810.14,1218.22,1325.62,1206.33,1325.62,146.74613399999998,Maine,17
