OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
106,LSU,Win 12-7,-1.07,Counts,0.0426,2023-03-19,Mens College Centex,1,12,7,520.51,5,1141.7,1687.25,1662.21,1688.32,1662.21,70.810146,McGill,1
17,Texas,Loss 9-13,-14.91,Counts,0.0426,2023-03-19,Mens College Centex,0,9,13,-418.57,-4,1769.66,1701.1,1351.0900000000001,1716.01,1351.0900000000001,57.556434,McGill,2
70,Chicago,Win 11-6,7.9,Counts,0.0403,2023-03-19,Mens College Centex,1,11,6,546.69,5,1327.52,1678.28,1874.21,1670.3799999999999,1874.21,75.530663,McGill,3
63,California-Santa Barbara,Win 12-8,5.82,Counts,0.0426,2023-03-19,Mens College Centex,1,12,8,441.15,4,1375.9,1680.36,1817.0500000000002,1674.54,1817.0500000000002,77.40633000000001,McGill,4
31,Oklahoma Christian,Win 15-10,15.99,Counts,0.0426,2023-03-20,Mens College Centex,1,15,10,453.6,5,1591.76,1670.2,2045.3600000000001,1654.21,2045.3600000000001,87.13233600000001,McGill,5
56,Dartmouth,Win 11-7,8.67,Counts,0.0415,2023-03-20,Mens College Centex,1,11,7,466.89,4,1419.57,1677.52,1886.46,1668.85,1886.46,78.28809000000001,McGill,6
17,Texas,Loss 10-12,-6.88,Counts,0.0426,2023-03-20,Mens College Centex,0,10,12,-238.12,-2,1769.66,1693.06,1531.54,1699.94,1531.54,65.24360399999999,McGill,7
156,Rhode Island,Win 12-8,-17.59,Counts,0.0537,2023-04-16,Greater New England D I College Mens CC 2022,1,12,8,441.15,4,934.93,1703.77,1376.08,1721.36,1376.08,73.895496,McGill,8
86,Maine,Win 15-5,8.17,Counts,0.0537,2023-04-16,Greater New England D I College Mens CC 2022,1,15,5,600,10,1230.11,1678.02,1830.11,1669.85,1830.11,98.276907,McGill,9
7,Massachusetts,Loss 9-10,7.09,Counts,0.0537,2023-04-16,Greater New England D I College Mens CC 2022,0,9,10,-125,-1,1936.21,1679.09,1811.21,1672,1811.21,97.261977,McGill,10
56,Dartmouth,Win 12-7,14.4,Counts,0.0537,2023-04-16,Greater New England D I College Mens CC 2022,1,12,7,520.51,5,1419.57,1671.78,1940.08,1657.3799999999999,1940.08,104.182296,McGill,11
7,Massachusetts,Loss 7-15,-19.85,Counts,0.0537,2023-04-17,Greater New England D I College Mens CC 2022,0,7,15,-600,-8,1936.21,1706.04,1336.21,1725.8899999999999,1336.21,71.754477,McGill,12
1,Brown,Loss 9-15,0.46,Counts,0.0537,2023-04-17,Greater New England D I College Mens CC 2022,0,9,15,-515.48,-6,2209.79,1685.72,1694.31,1685.26,1694.31,90.98444699999999,McGill,13
86,Maine,Win 13-1,9.82,Counts,0.0638,2023-05-07,New England D I College Mens Regionals 2022,1,13,1,600,12,1230.11,1676.37,1830.11,1666.55,1830.11,116.76101799999998,McGill,14
93,Harvard,Win 13-6,7.21,Counts,0.0638,2023-05-07,New England D I College Mens Regionals 2022,1,13,6,600,7,1191.89,1678.97,1791.89,1671.76,1791.89,114.322582,McGill,15
1,Brown,Loss 6-13,-5.21,Counts,0.0638,2023-05-07,New England D I College Mens Regionals 2022,0,6,13,-600,-7,2209.79,1691.39,1609.79,1696.6000000000001,1609.79,102.704602,McGill,16
12,Northeastern,Loss 6-13,-30.45,Counts,0.0638,2023-05-07,New England D I College Mens Regionals 2022,0,6,13,-600,-7,1839.64,1716.63,1239.64,1747.0800000000002,1239.64,79.089032,McGill,17
7,Massachusetts,Win 12-9,40.6,Counts,0.0638,2023-05-08,New England D I College Mens Regionals 2022,1,12,9,345.37,3,1936.21,1645.58,2281.58,1604.98,2281.58,145.56480399999998,McGill,18
12,Northeastern,Loss 3-15,-30.45,Counts,0.0638,2023-05-08,New England D I College Mens Regionals 2022,0,3,15,-600,-12,1839.64,1716.63,1239.64,1747.0800000000002,1239.64,79.089032,McGill,19
