OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
239,Radford,Loss 7-11,-25.27,Counts,0.12179999999999999,2023-03-26,Riddle Rumble,0,7,11,-466.89,-4,639.15,379.82,172.26,405.09,172.26,20.981267999999996,Miami,1
140,Florida Tech,Loss 3-13,0,Ignored,0,2023-03-26,Riddle Rumble,0,3,13,-600,-10,985.58,354.54,385.58000000000004,354.54,0,0,Miami,2
304,Embry-Riddle,Loss 9-10,-25.96,Counts,0.1251,2023-03-26,Riddle Rumble,0,9,10,-125,-1,297.97,380.5,172.97000000000003,406.46,172.97000000000003,21.638547000000003,Miami,3
266,East Carolina,Loss 7-10,-32.22,Counts,0.1183,2023-03-26,Riddle Rumble,0,7,10,-389.67,-3,504.16,386.76,114.49000000000001,418.98,114.49000000000001,13.544167000000002,Miami,4
361,South Florida-B,Win 13-3,6.67,Counts,0.1251,2023-03-27,Riddle Rumble,1,13,3,600,10,198.81,347.87,798.81,341.2,798.81,99.93113099999998,Miami,5
325,Central Florida-B,Win 9-3,49.67,Counts,0.1035,2023-03-27,Riddle Rumble,1,9,3,600,6,184.87,304.87,784.87,255.2,784.87,81.234045,Miami,6
47,Florida,Loss 1-13,0,Ignored,0,2023-04-09,Florida D I College Mens CC 2022,0,1,13,-600,-12,1476.89,354.54,876.8900000000001,354.54,0,0,Miami,7
158,South Florida,Loss 6-12,-2.62,Counts,0.1367,2023-04-09,Florida D I College Mens CC 2022,0,6,12,-579.31,-6,917.32,357.16,338.0100000000001,359.78000000000003,338.0100000000001,46.20596700000001,Miami,8
89,Central Florida,Loss 3-13,0,Ignored,0,2023-04-09,Florida D I College Mens CC 2022,0,3,13,-600,-10,1207.83,354.54,607.8299999999999,354.54,0,0,Miami,9
299,North Florida,Win 10-8,37.51,Counts,0.1367,2023-04-10,Florida D I College Mens CC 2022,1,10,8,262.67,2,328.78,317.03,591.45,279.52,591.45,80.851215,Miami,10
222,Florida Gulf Coast,Loss 7-10,-8.27,Counts,0.1328,2023-04-10,Florida D I College Mens CC 2022,0,7,10,-389.67,-3,690.23,362.81,300.56,371.08,300.56,39.914368,Miami,11
