OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
133,Wisconsin-Milwaukee,Loss 6-9,-28.87,Counts,0.0704,2023-03-19,Missouri Loves Company MLC,0,6,9,-418.57,-3,1023.38,1014.93,604.81,1043.8,604.81,42.578624,Michigan-B,1
78,Missouri,Loss 1-12,-27.41,Counts,0.076,2023-03-19,Missouri Loves Company MLC,0,1,12,-600,-11,1253.01,1013.47,653.01,1040.88,653.01,49.62876,Michigan-B,2
109,Vanderbilt,Loss 10-15,-27.41,Counts,0.07919999999999999,2023-03-20,Missouri Loves Company MLC,0,10,15,-453.6,-5,1121.15,1013.47,667.5500000000001,1040.88,667.5500000000001,52.86996,Michigan-B,3
225,Wisconsin- La Crosse,Win 15-10,12.88,Counts,0.07919999999999999,2023-03-20,Missouri Loves Company MLC,1,15,10,453.6,5,682.12,973.19,1135.72,960.3100000000001,1135.72,89.949024,Michigan-B,4
220,Minnesota-B,Loss 10-15,-64.18,Counts,0.07919999999999999,2023-03-20,Missouri Loves Company MLC,0,10,15,-453.6,-5,693.75,1050.24,240.14999999999998,1114.42,240.14999999999998,19.019879999999997,Michigan-B,5
163,Michigan Tech,Win 15-7,47.08,Counts,0.0839,2023-03-26,D III Midwestern Invite,1,15,7,600,8,899.82,938.99,1499.8200000000002,891.91,1499.8200000000002,125.83489800000002,Michigan-B,6
245,IUPUI,Win 15-3,21.36,Counts,0.0839,2023-03-26,D III Midwestern Invite,1,15,3,600,12,619.21,964.7,1219.21,943.34,1219.21,102.291719,Michigan-B,7
322,Purdue-B,Win 15-3,0,Ignored,0,2023-03-26,D III Midwestern Invite,1,15,3,600,12,205.19,986.06,805.19,986.06,0,0,Michigan-B,8
323,Indiana-B,Win 15-6,0,Ignored,0,2023-03-27,D III Midwestern Invite,1,15,6,600,9,192.99,986.06,792.99,986.06,0,0,Michigan-B,9
160,Carthage,Win 15-7,48.31,Counts,0.0839,2023-03-27,D III Midwestern Invite,1,15,7,600,8,913.35,937.75,1513.35,889.44,1513.35,126.97006499999999,Michigan-B,10
116,Butler,Win 12-9,40.76,Counts,0.0839,2023-03-27,D III Midwestern Invite,1,12,9,345.37,3,1085.54,945.3,1430.9099999999999,904.54,1430.9099999999999,120.053349,Michigan-B,11
328,Michigan State-B,Win 12-6,-23.48,Counts,0.0917,2023-04-09,Great Lakes Dev College Mens CC 2022,1,12,6,579.31,6,174.15,1009.55,753.4599999999999,1033.03,753.4599999999999,69.092282,Michigan-B,12
286,Notre Dame-B,Win 15-6,0.92,Counts,0.0942,2023-04-09,Great Lakes Dev College Mens CC 2022,1,15,6,600,9,394.95,985.14,994.95,984.22,994.95,93.72429000000001,Michigan-B,13
370,Chicago-B,Win 15-1,0,Ignored,0,2023-04-09,Great Lakes Dev College Mens CC 2022,1,15,1,600,14,410.5,986.06,1010.5,986.06,0,0,Michigan-B,14
328,Michigan State-B,Win 15-4,0,Ignored,0,2023-04-10,Great Lakes Dev College Mens CC 2022,1,15,4,600,11,174.15,986.06,774.15,986.06,0,0,Michigan-B,15
322,Purdue-B,Win 15-3,0,Ignored,0,2023-04-10,Great Lakes Dev College Mens CC 2022,1,15,3,600,12,205.19,986.06,805.19,986.06,0,0,Michigan-B,16
286,Notre Dame-B,Win 15-6,0.92,Counts,0.0942,2023-04-10,Great Lakes Dev College Mens CC 2022,1,15,6,600,9,394.95,985.14,994.95,984.22,994.95,93.72429000000001,Michigan-B,17
