OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
62,Carnegie Mellon,Win 12-6,4,Counts,0.024900000000000002,2023-02-12,Queen City Tune Up 2022,1,12,6,579.31,6,1384.97,1803.83,1964.28,1799.83,1964.28,48.910572,Michigan,1
37,Virginia,Win 12-5,7.73,Counts,0.0246,2023-02-12,Queen City Tune Up 2022,1,12,5,600,7,1514.83,1800.1,2114.83,1792.37,2114.83,52.024817999999996,Michigan,2
30,North Carolina-Wilmington,Loss 9-10,-8.87,Counts,0.0256,2023-02-12,Queen City Tune Up 2022,0,9,10,-125,-1,1594.83,1816.7,1469.83,1825.57,1469.83,37.627648,Michigan,3
14,North Carolina State,Win 14-11,8.75,Counts,0.0256,2023-02-13,Queen City Tune Up 2022,1,14,11,313.34,3,1827.64,1799.08,2140.98,1790.33,2140.98,54.809088,Michigan,4
8,Georgia,Loss 12-13,-0.07,Counts,0.0256,2023-02-13,Queen City Tune Up 2022,0,12,13,-125,-1,1930.07,1807.9,1805.07,1807.97,1805.07,46.209792,Michigan,5
46,Cincinnati,Win 13-8,6.03,Counts,0.0342,2023-03-19,Missouri Loves Company MLC,1,13,8,496.16,5,1482.34,1801.79,1978.5,1795.76,1978.5,67.6647,Michigan,6
12,Northeastern,Loss 9-12,-11.09,Counts,0.0342,2023-03-19,Missouri Loves Company MLC,0,9,12,-345.37,-3,1839.64,1818.92,1494.27,1830.01,1494.27,51.104034,Michigan,7
22,Carleton College,Win 12-9,7.44,Counts,0.0342,2023-03-19,Missouri Loves Company MLC,1,12,9,345.37,3,1672.93,1800.39,2018.3000000000002,1792.95,2018.3000000000002,69.02586000000001,Michigan,8
40,Colorado State,Win 15-11,2.93,Counts,0.0342,2023-03-20,Missouri Loves Company MLC,1,15,11,381.16,4,1509.55,1804.9,1890.71,1801.97,1890.71,64.662282,Michigan,9
9,Vermont,Win 14-13,7.71,Counts,0.0342,2023-03-20,Missouri Loves Company MLC,1,14,13,125,1,1901.02,1800.11,2026.02,1792.3999999999999,2026.02,69.289884,Michigan,10
12,Northeastern,Loss 11-14,-9.95,Counts,0.0342,2023-03-20,Missouri Loves Company MLC,0,11,14,-313.34,-3,1839.64,1817.78,1526.3000000000002,1827.73,1526.3000000000002,52.19946000000001,Michigan,11
21,Wisconsin,Win 11-9,4.82,Counts,0.0383,2023-04-02,Easterns 2022,1,11,9,249.21,2,1679.64,1803,1928.8500000000001,1798.18,1928.8500000000001,73.874955,Michigan,12
24,Ohio State,Win 12-9,7.97,Counts,0.0383,2023-04-02,Easterns 2022,1,12,9,345.37,3,1662.49,1799.86,2007.8600000000001,1791.8899999999999,2007.8600000000001,76.901038,Michigan,13
30,North Carolina-Wilmington,Win 12-11,-3.51,Counts,0.0383,2023-04-02,Easterns 2022,1,12,11,125,1,1594.83,1811.34,1719.83,1814.85,1719.83,65.869489,Michigan,14
1,Brown,Loss 8-13,-3.75,Counts,0.0383,2023-04-02,Easterns 2022,0,8,13,-496.16,-5,2209.79,1811.58,1713.6299999999999,1815.33,1713.6299999999999,65.632029,Michigan,15
2,North Carolina,Loss 10-14,-1.09,Counts,0.0383,2023-04-03,Easterns 2022,0,10,14,-398.7,-4,2179.26,1808.92,1780.5600000000002,1810.01,1780.5600000000002,68.19544800000001,Michigan,16
108,Michigan State,Win 13-3,0,Ignored,0,2023-04-09,Michigan D I College Mens CC 2022,1,13,3,600,10,1129.58,1807.83,1729.58,1807.83,0,0,Michigan,17
278,Eastern Michigan,Win 13-2,0,Ignored,0,2023-04-09,Michigan D I College Mens CC 2022,1,13,2,600,11,447.05,1807.83,1047.05,1807.83,0,0,Michigan,18
194,Western Michigan,Win 13-4,0,Ignored,0,2023-04-09,Michigan D I College Mens CC 2022,1,13,4,600,9,777.6,1807.83,1377.6,1807.83,0,0,Michigan,19
120,Grand Valley State,Win 13-6,-5.4,Counts,0.0406,2023-04-09,Michigan D I College Mens CC 2022,1,13,6,600,7,1080.22,1813.23,1680.22,1818.63,1680.22,68.216932,Michigan,20
194,Western Michigan,Win 15-2,0,Ignored,0,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,2,600,13,777.6,1807.83,1377.6,1807.83,0,0,Michigan,21
91,Kentucky,Win 15-9,-4.79,Counts,0.0483,2023-04-30,Great Lakes D I College Mens Regionals 2022,1,15,9,515.48,6,1197.89,1812.62,1713.3700000000001,1817.4099999999999,1713.3700000000001,82.75577100000001,Michigan,22
70,Chicago,Win 15-4,6.07,Counts,0.0483,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,15,4,600,11,1327.52,1801.75,1927.52,1795.68,1927.52,93.099216,Michigan,23
60,Notre Dame,Win 15-8,7.87,Counts,0.0483,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,15,8,564.81,7,1398.11,1799.96,1962.9199999999998,1792.0900000000001,1962.9199999999998,94.80903599999999,Michigan,24
52,Indiana,Win 15-7,11.84,Counts,0.0483,2023-05-01,Great Lakes D I College Mens Regionals 2022,1,15,7,600,8,1441.23,1795.98,2041.23,1784.14,2041.23,98.59140900000001,Michigan,25
119,Connecticut,Win 15-6,0,Ignored,0,2023-05-27,2022 D I College Championships,1,15,6,600,9,1080.53,1807.83,1680.53,1807.83,0,0,Michigan,26
26,Auburn,Loss 12-14,-26.63,Counts,0.060899999999999996,2023-05-27,2022 D I College Championships,0,12,14,-220.96,-2,1617.76,1834.46,1396.8,1861.0900000000001,1396.8,85.06512,Michigan,27
8,Georgia,Loss 7-15,-30.96,Counts,0.060899999999999996,2023-05-28,2022 D I College Championships,0,7,15,-600,-8,1930.07,1838.78,1330.07,1869.74,1330.07,81.001263,Michigan,28
5,Pittsburgh,Win 15-9,45.8,Counts,0.060899999999999996,2023-05-28,2022 D I College Championships,1,15,9,515.48,6,1999.22,1762.03,2514.7,1716.23,2514.7,153.14522999999997,Michigan,29
15,Utah State,Loss 11-15,-23.66,Counts,0.060899999999999996,2023-05-29,2022 D I College Championships,0,11,15,-381.16,-4,1823.82,1831.49,1442.6599999999999,1855.15,1442.6599999999999,87.85799399999999,Michigan,30
