OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,GameNum
204,Georgia Tech-B,Win 13-1,0,Ignored,0,2023-03-19,College Southerns XX,1,13,1,600,12,726.99,1530.51,1326.99,1530.51,0,0,Middlebury,1
299,North Florida,Win 13-1,0,Ignored,0,2023-03-19,College Southerns XX,1,13,1,600,12,328.78,1530.51,928.78,1530.51,0,0,Middlebury,2
189,Wisconsin-Eau Claire,Win 13-4,0,Ignored,0,2023-03-19,College Southerns XX,1,13,4,600,9,798.26,1530.51,1398.26,1530.51,0,0,Middlebury,3
274,Georgia Southern,Win 15-2,0,Ignored,0,2023-03-20,College Southerns XX,1,15,2,600,13,479.62,1530.51,1079.62,1530.51,0,0,Middlebury,4
117,Appalachian State,Win 14-12,-12.12,Counts,0.0509,2023-03-20,College Southerns XX,1,14,12,220.96,2,1083.57,1542.64,1304.53,1554.76,1304.53,66.400577,Middlebury,5
79,Charleston,Win 15-6,17.28,Counts,0.0509,2023-03-20,College Southerns XX,1,15,6,600,9,1252.6,1513.23,1852.6,1495.95,1852.6,94.29733999999999,Middlebury,6
157,Liberty,Win 13-10,-15.57,Counts,0.053899999999999997,2023-03-26,Rodeo,1,13,10,328.14,3,929.3,1546.08,1257.44,1561.6499999999999,1257.44,67.776016,Middlebury,7
243,Elon,Win 13-5,0,Ignored,0,2023-03-26,Rodeo,1,13,5,600,8,624.96,1530.51,1224.96,1530.51,0,0,Middlebury,8
168,Kennesaw State,Win 13-5,0,Ignored,0,2023-03-26,Rodeo,1,13,5,600,8,890.93,1530.51,1490.9299999999998,1530.51,0,0,Middlebury,9
149,SUNY-Binghamton,Win 13-6,1.52,Counts,0.053899999999999997,2023-03-26,Rodeo,1,13,6,600,7,957.14,1528.99,1557.1399999999999,1527.47,1557.1399999999999,83.92984599999998,Middlebury,10
87,Richmond,Win 10-6,9.73,Counts,0.0495,2023-03-27,Rodeo,1,10,6,496.16,4,1221.1,1520.79,1717.26,1511.06,1717.26,85.00437000000001,Middlebury,11
34,St. Olaf,Loss 12-13,-6.86,Counts,0.053899999999999997,2023-03-27,Rodeo,0,12,13,-125,-1,NA,1537.37,NA,1544.2299999999998,NA,NA,Middlebury,12
148,Bates College,Win 15-12,-18.59,Counts,0.0641,2023-04-17,North New England D III College Mens CC 2022,1,15,12,300.49,3,958.83,1549.1,1259.3200000000002,1567.6899999999998,1259.3200000000002,80.72241200000002,Middlebury,13
267,Colby,Win 15-6,0,Ignored,0,2023-04-17,North New England D III College Mens CC 2022,1,15,6,600,9,503.92,1530.51,1103.92,1530.51,0,0,Middlebury,14
138,Bowdoin,Win 15-7,3.8,Counts,0.0641,2023-04-17,North New England D III College Mens CC 2022,1,15,7,600,8,986.01,1526.71,1586.01,1522.91,1586.01,101.663241,Middlebury,15
248,Worcester Polytechnic Institute,Win 13-4,0,Ignored,0,2023-04-30,New England D III College Mens Regionals 2022,1,13,4,600,9,611.08,1530.51,1211.08,1530.51,0,0,Middlebury,16
284,Bentley,Win 13-3,0,Ignored,0,2023-04-30,New England D III College Mens Regionals 2022,1,13,3,600,10,405.14,1530.51,1005.14,1530.51,0,0,Middlebury,17
123,Williams,Win 13-7,7.84,Counts,0.07200000000000001,2023-04-30,New England D III College Mens Regionals 2022,1,13,7,557.53,6,1073.97,1522.68,1631.5,1514.8400000000001,1631.5,117.46800000000002,Middlebury,18
148,Bates College,Win 15-9,-4.36,Counts,0.07200000000000001,2023-05-01,New England D III College Mens Regionals 2022,1,15,9,515.48,6,958.83,1534.87,1474.31,1539.2299999999998,1474.31,106.15032000000001,Middlebury,19
123,Williams,Win 15-7,11.13,Counts,0.07200000000000001,2023-05-01,New England D III College Mens Regionals 2022,1,15,7,600,8,1073.97,1519.38,1673.97,1508.25,1673.97,120.52584000000002,Middlebury,20
196,Pacific Lutheran,Win 15-5,0,Ignored,0,2023-05-21,2022 D III College Championships,1,15,5,600,10,764.37,1530.51,1364.37,1530.51,0,0,Middlebury,21
155,Grinnell,Win 15-8,-1.52,Counts,0.08560000000000001,2023-05-21,2022 D III College Championships,1,15,8,564.81,7,949.42,1532.04,1514.23,1533.56,1514.23,129.61808800000003,Middlebury,22
126,Claremont,Win 15-11,-7.51,Counts,0.08560000000000001,2023-05-21,2022 D III College Championships,1,15,11,381.16,4,1069.19,1538.02,1450.3500000000001,1545.53,1450.3500000000001,124.14996000000002,Middlebury,23
99,Oberlin,Win 15-5,21.48,Counts,0.08560000000000001,2023-05-22,2022 D III College Championships,1,15,5,600,10,1159.9,1509.03,1759.9,1487.55,1759.9,150.64744000000002,Middlebury,24
31,Oklahoma Christian,Loss 13-14,-5.97,Counts,0.08560000000000001,2023-05-22,2022 D III College Championships,0,13,14,-125,-1,1591.76,1536.48,1466.76,1542.45,1466.76,125.55465600000001,Middlebury,25
